QuocNgu,SinoNom
a,丫
a,了
a,亜
a,亞
a,兮
a,呀
a,呵
a,哑
a,啊
a,啞
a,嗄
a,堊
a,妸
a,娿
a,婀
a,婐
a,婭
a,客
a,屙
a,惡
a,枒
a,桠
a,椏
a,狣
a,疴
a,痾
a,訶
a,鈳
a,錏
a,錒
a,铔
a,锕
a,阿
a,雅
a,鴉
a,鵶
a,鸦
a,䢝
a,𠄮
a,𠲞
a,𣉩
a,𣏎
a,𩭯
a,𩿗
a,𪀨
a,𪀹
á,丫
á,亚
á,亜
á,亞
á,口
á,哑
á,唖
á,啊
á,啞
á,堊
á,娅
á,婭
á,惡
á,掗
á,椏
á,氩
á,氬
á,痖
á,瘂
á,稏
á,襾
á,西
á,覀
á,錏
á,铔
á,阿
á,䛩
á,䢝
á,𠄮
á,𠴀
á,𣉩
á,𣣾
á,𤷸
á,𤺘
à,呀
à,呵
à,哬
à,啊
à,嗄
à,阿
ã,㐌
ả,亞
ả,呵
ả,啊
ả,妸
ả,娿
ả,婀
ả,婍
ả,婭
ả,我
ả,猗
ả,阿
ả,𠵇
ả,𠶚
ạ,呵
ạ,唖
ạ,啊
ạ,啞
ạ,嗄
ạ,瘂
ạ,阿
ạ,䛩
ạ,𠴀
ạ,𠶚
ạ,𣣾
ạ,𤷸
ạ,𤺘
áãp,押
ác,
ác,亞
ác,偓
ác,僫
ác,喔
ác,嗌
ác,噁
ác,垩
ác,堊
ác,幄
ác,恶
ác,悪
ác,惡
ác,捂
ác,握
ác,楃
ác,渥
ác,漚
ác,腛
ác,蝁
ác,雅
ác,鴉
ác,鵶
ác,齷
ác,龌
ác,䌂
ác,䛩
ác,䜑
ác,𡌥
ác,𢙣
ác,𢛫
ác,𢝏
ác,𦥆
ác,𩄌
ác,𩅵
ác,𪀨
ác,𪀹
ác,𪅴
ắc,乙
ắc,乚
ắc,鳦
ắc,𠄌
ạc,哈
ạc,喝
ạc,噁
ạc,恶
ạc,欱
ạc,𠿒
ạc,𡀽
ạc,𡁁
ặc,乙
ặc,乚
ặc,哈
ặc,喝
ặc,欱
ặc,鳦
ặc,𠄌
ặc,𠿒
ặc,𡀽
ặc,𡁁
ách,厄
ách,呃
ách,呝
ách,哑
ách,啞
ách,嗌
ách,戹
ách,扼
ách,搤
ách,搹
ách,枙
ách,蚅
ách,詻
ách,豟
ách,軛
ách,軶
ách,轭
ách,阨
ách,阸
ách,隘
ách,餩
ách,鬲
ách,㧖
ách,𠂘
ách,𠂬
ách,𠍳
ách,𠨗
ách,𠨳
ách,𠲪
ách,𡁐
ách,𢀴
