image,nom_char,label,reading,confidence,bbox,page,source
crops_cleaned/page_0012/col01_char000.png,二,U+4E8C,Nhị,high,"1454,267,1592,346",12,CacThanhTruyen2
crops_cleaned/page_0012/col01_char001.png,月,U+6708,nguyệt,high,"1454,346,1592,479",12,CacThanhTruyen2
crops_cleaned/page_0012/col01_char002.png,二,U+4E8C,nhị,high,"1454,479,1592,546",12,CacThanhTruyen2
crops_cleaned/page_0012/col01_char003.png,十,U+5341,thập,high,"1454,546,1592,675",12,CacThanhTruyen2
crops_cleaned/page_0012/col01_char004.png,八,U+516B,bát,high,"1454,675,1592,748",12,CacThanhTruyen2
crops_cleaned/page_0012/col01_char005.png,日,U+65E5,nhật,high,"1454,748,1592,878",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char000.png,胥,U+80E5,SƠ,high,"1283,95,1454,212",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char001.png,一,U+4E00,NHẤT,high,"1283,212,1454,351",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char002.png,日,U+65E5,NHẬT,high,"1283,351,1454,471",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char003.png,翁,U+7FC1,Ông,high,"1283,471,1454,594",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char004.png,垩,U+57A9,Thánh,high,"1283,594,1454,673",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char005.png,貴,U+8CB4,I,high,"1283,673,1454,829",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char006.png,那,U+90A3,na,high,"1283,829,1454,949",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char007.png,樞,U+6A1E,xu,high,"1283,949,1454,1044",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char008.png,曰,U+66F0,viết,high,"1283,1044,1454,1220",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char009.png,釪,U+91EA,vồ,high,"1283,1220,1454,1303",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char010.png,子,U+5B50,tử,high,"1283,1303,1454,1419",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char011.png,爲,U+7232,vì,high,"1283,1419,1454,1543",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char012.png,導,U+5C0E,đạo,high,"1283,1543,1454,1690",12,CacThanhTruyen2
crops_cleaned/page_0012/col02_char013.png,傳,U+50B3,truyện,high,"1283,1690,1454,1799",12,CacThanhTruyen2
