image,nom_char,label,reading,confidence,bbox,page,source
crops_cleaned/page_0012/col01_char000.png,,U+E029,MỘT,medium,"944,201,1027,235",12,SachThanhTruyen4
crops_cleaned/page_0012/col01_char001.png,,U+E135,Ông,medium,"944,501,1027,611",12,SachThanhTruyen4
crops_cleaned/page_0012/col01_char002.png,偺,U+507A,Thánh,medium,"944,615,1027,687",12,SachThanhTruyen4
crops_cleaned/page_0012/col01_char003.png,𱐍,U+3140D,U,medium,"944,694,1027,776",12,SachThanhTruyen4
crops_cleaned/page_0012/col01_char004.png,估,U+4F30,cô,medium,"944,883,1027,1018",12,SachThanhTruyen4
crops_cleaned/page_0012/col01_char005.png,別,U+5225,viết,medium,"944,1022,1027,1177",12,SachThanhTruyen4
crops_cleaned/page_0012/col01_char006.png,拊,U+62CA,vồ,medium,"944,1182,1027,1244",12,SachThanhTruyen4
crops_cleaned/page_0012/col01_char007.png,伝,U+4F1D,truyện,medium,"944,1249,1027,1326",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char000.png,翁,U+7FC1,Ông,high,"840,205,944,232",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char001.png,偺,U+507A,Thánh,medium,"840,284,944,352",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char002.png,尼,U+5C3C,này,high,"840,356,944,431",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char003.png,生,U+751F,sinh,high,"840,448,944,504",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char004.png,,U+E027,ra,medium,"840,509,944,573",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char005.png,於,U+65BC,ở,high,"840,575,944,692",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char006.png,,U+E604,nước,medium,"840,703,944,764",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char007.png,叵,U+53F5,Pha,medium,"840,775,944,844",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char008.png,兰,U+5170,lan,medium,"840,852,944,926",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char009.png,ヌ,U+30CC,sa,medium,"840,931,944,986",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char010.png,尼,U+5C3C,nơi,high,"840,989,944,1046",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char011.png,刅,U+5205,sang,medium,"840,1055,944,1086",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char012.png,重,U+91CD,trọng,high,"840,1086,944,1146",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char013.png,倛,U+501B,Khi,medium,"840,1146,944,1214",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char014.png,仉,U+4EC9,người,medium,"840,1219,944,1281",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char015.png,群,U+7FA4,còn,high,"840,1291,944,1355",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char016.png,於,U+65BC,ở,high,"840,1363,944,1429",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char017.png,中,U+4E2D,trong,high,"840,1431,944,1482",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char018.png,台,U+53F0,thai,medium,"840,1493,944,1597",12,SachThanhTruyen4
crops_cleaned/page_0012/col02_char019.png,𱢑,U+31891,thì,medium,"840,1602,944,1665",12,SachThanhTruyen4
