char,kDefinition
而,and; and then; and yet; but; Kangxi radical 126
皇,"royal, imperial; ruler, superior"
行,"go; walk; move, travel; circulate; Kangxi radical 144"
人,man; people; mankind; someone else
希,"rare; hope, expect, strive for"
移,"change place, shift; move about"
白,"white; pure, unblemished; bright"
常,"common, normal, frequent, regular"
爾,"you; that, those; final particle"
異,"different, unusual, strange"
妃,"wife, spouse; imperial concubine"
知,"know, perceive, comprehend"
瑪,agate; cornelian
万,ten thousand; innumerable
凜,"shiver with cold or fear, fearful"
無,"negative, no, not; lack, have no"
至,"reach, arrive; extremely, very; Kangxi radical 133"
要,"necessary, essential; necessity"
好,"good, excellent, fine; well"
署,public office
炤,"illumine, light up; reflect"
得,"obtain, get, gain, acquire"
因,"cause, reason; by; because (of)"
用,"use, employ, apply, operate; use"
昇,"rise, ascent; peaceful; peace"
之,"marks preceding phrase as modifier of following phrase; it, him her, them; go to"
僥,"be lucky; by chance, by luck"
罪,"crime, sin, vice; evil; hardship"
洋,"ocean, sea; foreign; western"
以,"by means of; thereby, therefore; consider as; in order to"
色,"color, tint, hue, shade; form, body; beauty, desire for beauty; Kangxi radical 139"
礼,social custom; manners; courtesy; rites
餘,"surplus, excess, remainder"
百,"one hundred; numerous, many"
夜,"night, dark; in night; by night"
身,"body; trunk, hull; Kangxi radical 158"
庄,"village, hamlet; villa, manor"
入,"enter, come in(to), join"
弇,"cover over, hide; narrow-necked"
罡,"the stars making up the handle of the Big Dipper (Alkaid, Mizar, and Alioth)"
吞,"swallow; absorb, annex, engulf"
肆,"indulge; excess; numeral four; particle meaning now, therefore; shop"
可,"may, can, -able; possibly"
廪,granary; stockpile
䏻,"(same as 能) can; to be able to, capability; talent, energy"
槎,"raft; time, occasion; to hew"
分,divide; small unit of time etc.
計,"plan, plot; stratagem; scheme"
街,"street, road, thoroughfare"
㓜,(corrupted form of 幼) young; immature; weak; delicate
衣,"clothes, clothing; cover, skin; Kangxi radical 145"
鲁,"foolish, stupid, rash; vulgar"
個,"numerary adjunct, piece; single"
竈,furnace; kitchen stove
方,"a square, rectangle; a region; local"
例,"precedent, example; regulation"
并,"combine, annex; also, what's more"
輝,"brightness, luster, brilliance"
茂,"thick, lush, dense; talented"
弄,"do, play or fiddle with; alley"
尽,"exhaust, use up; deplete"
戈,"halberd, spear, lance; rad. 62"
平,"flat, level, even; peaceful"
嘿,"be silent, be quiet"
庵,Buddhist monastery or nunnery
祐,"divine intervention, protection"
氏,"clan, family; mister"
罷,"cease, finish, stop; give up"
䆒,(corrupted form of 究) to examine; to study; to investigate exhaustively
遥,"far away, distant, remote"
丸,"small round object; pellet, pill"
裔,"progeny, descendants, posterity"
愈,"more and more, even more"
厅,"hall, central room"
罟,net; snare; pressure come or go
祠,ancestral temple; offer sacrifice
八,"eight; all around, all sides"
团,"sphere, ball, circle; mass, lump"
置,"place, lay out; set aside"
末,"final, last, end; insignificant"
林,"forest, grove; surname"
國,"nation, country, nation-state"
厕,"mingle with; toilet, lavatory"
詩,"poetry; poem, verse, ode"
噐,"receptacle, vessel; instrument"
重,"heavy, weighty; double"
哈,sound of laughter
从,"from, by, since, whence, through"
嚶,seek friends; also used in names; the call of a bird
莒,a Zhou-dynasty vassal state in modern Shandong; (archaic) taro
乔,"tall, lofty; proud, stately"
該,"should, ought to, need to"
勿,"must not, do not; without, never"
對,"correct, right; facing, opposed"
芒,Miscanthus sinensis
切,"cut, mince, slice, carve"
結,"knot, tie; join, connect"
馬,horse; surname; Kangxi radical 187
受,"receive, accept, get; bear, stand"
三,three
心,"heart; mind, intelligence; soul; 5th lunar mansion, determinative star α Scorpii (Antares)"
戞,lance; tap or strike lightly
居,"live, dwell, reside, sit"
戛,lance; tap or strike lightly
解,"loosen, unfasten, untie; explain; hexagram ䷧"
姨,mother/wife's sister; concubine
被,passive indicator 'by'; bedding
娱,"pleasure, enjoyment, amusement"
罕,"rare, scarce; surname"
煜,"bright, shining, brilliant"
丑,"clown, comedian; second earthly branch"
为,"do, handle, govern, act; be"
肉,flesh; meat; Kangxi radical 130
宅,"residence, dwelling, home; grave"
咽,throat; pharynx
渚,"small sand bank, islet"
斥,"to scold, upbraid, accuse, reproach"
廩,"granary; stockpile, store"
燔,to roast; to burn
噀,spurt out of the mouth
舞,"dance, posture, prance; brandish"
采,"collect, gather; pick, pluck"
竣,"terminate, end, finish; quit"
案,"table, bench; legal case"
等,"rank, grade; to wait; equal, “and so forth”"
篭,cage; cage-like basket
歿,die; death; dead
畏,"fear, dread, awe, reverence"
虎,"tiger; brave, fierce; surname"
柩,coffin which contains corpse
辭,"words, speech, expression, phrase"
運,"luck, fortune; ship, transport"
朦,condition or appearance of moon
晁,"morning, dawn; surname"
願,"desire, want; wish; ambition"
喬,"tall, lofty; proud, stately"
及,extend; reach; come up to; and
商,"commerce, business, trade"
張,"stretch, extend, expand; sheet; 26th lunar mansion, determinative star υ¹ Hydrae"
冉,tender; weak; proceed gradually
夢,dream; visionary; wishful
候,wait; expect; visit; greet
媛,"beauty, beautiful woman"
黑,"black; dark; evil, sinister; Kangxi radical 203"
洶,"the rush of water; turbulent; noisy, restless"
屍,"corpse, carcass"
乕,"tiger; brave, fierce; surname"
配,"match, pair; equal; blend"
曰,say; Kangxi radical 73
外,"out, outside, external; foreign"
海,"sea, ocean; maritime"
肭,fat; seal
尒,"you, your"
選,"choose, select; elect; election"
苑,"pasture, park, garden; mansion"
仪,"ceremony, rites gifts; admire"
醉,"intoxicated, drunk; addicted to"
先,"first, former, previous"
安,"peaceful, tranquil, quiet"
牛,"cow, ox, bull; Kangxi radical 93; 9th lunar mansion, determinative star β Capricorni (Dabih)"
姚,"handsome, elegant; surname"
卄,"twenty, twentieth"
其,"his, her, its, their; that"
碾,"roller, crush; roll"
記,"record; keep in mind, remember"
准,"approve, allow, permit; in accord"
喫,"eat; drink; suffer, endure, bear"
迕,"obstinate, perverse"
開,"open; initiate, begin, start"
未,not yet; eighth earthly branch
羅,net for catching birds; gauze
䏷,medicine for a sore; a boil (injure by a sword or a knife)
咤,"scold, bellow, shout at, roar"
哦,oh? really? is that so?
慓,nimble
孔,"opening, hole, orifice; great"
凛,to shiver with cold or fear
敬,"respect, honor; respectfully"
下,"under, underneath, below; down; inferior; bring down"
畀,to give
含,hold in mouth; cherish; contain
僊,"Taoist super-being, transcendent, immortal"
漂,"float, drift; tossed about"
州,"administrative division, state"
修,study; repair; cultivate
燒,burn; bake; heat; roast
樂,"happy, glad; enjoyable; music"
特,"special, unique, distinguished"
荼,"thistle, sowthistle; bitter"
司,"take charge of, control, manage; officer"
喂,interjection to call attention
腐,"rot, decay, spoil; rotten"
姻,relatives by marriage
良,"good, virtuous, respectable"
喁,"the mouth of a fish at the surface of the water, gasping for breath"
婉,"amiable, congenial; restrained"
窀,to bury
咄,"noise of rage, cry out in anger"
媿,"ashamed, conscience-stricken"
仏,Buddha
斧,"axe, hatchet; chop, hew"
暮,"evening, dusk, sunset; ending"
閑,"fence, barrier; defend; idle time"
皮,"skin, hide, fur, feather; outer"
定,"decide, settle, fix"
冊,"book, volume"
六,number six
則,"rule, law, regulation; grades"
卧,lie down; crouch
衡,"measure, weigh, judge, consider"
佃,tenant farmer; be a tenant farmer
駐,"to be stationed at, reside at; to stop"
雜,"mixed, blended; mix, mingle"
閤,small side door; chamber
褒,"praise, commend, honor, cite"
兔,"rabbit, hare"
辟,"law, rule; open up, develop"
召,imperial decree; summon
肃,pay respects; reverently
斾,a pennon; a streamer
呫,"whisper; lick, taste; petty"
嬢,"troubled, oppressed; fat; mother"
欲,"desire, want, long for; intend"
沼,"lake, fishpond, swamps"
次,"order, sequence; next"
滋,"grow, multiply, increase; thrive"
庶,"numerous, various; multitude"
小,"small, tiny, insignificant"
畨,foreign; to repeat
弓,"bow; curved, arched; Kangxi radical 57"
晦,"dark, unclear, obscure; night"
矢,"arrow, dart; vow, swear"
止,"stop, halt, desist; detain"
㢴,"the west; western, European"
姑,father's sister; husband's mother
憂,"sad, grieved; grief, melancholy"
攵,"rap, tap; radical number 66"
嗜,"be fond of, have weakness for"
慎,"act with care, be cautious"
紫,"purple, violet; amethyst; surname"
𡻕,year of age
忌,"jealous, envious; fear"
麦,"wheat, barley, oats; simplified form of Kangxi radical 199"
捲,"curl, roll up; curly, rolled up"
众,"multitude, crowd; masses, public"
店,"shop, store; inn, hotel"
仗,"rely upon; protector; fight; war, weaponry"
久,"long time (ago); time passage, grow late"
庻,"numerous, various; multitude"
丞,"assist, aid, rescue"
廿,"twenty, twentieth"
亮,"bright, brilliant, radiant, light"
弃,"reject, abandon, discard"
志,"purpose, will, determination; annals"
佯,"pretend, feign; false, deceitful"
浦,"bank of river, shore; surname"
俞,"surname; consent, approve"
寘,"put aside, put down; discard"
向,"toward, direction, trend"
薊,"genus Cirsium, thistles; surname"
聒,"clamor, din, hubbub"
衍,"overflow, spill over, spread out"
奸,"crafty, villainous, false"
嫫,Huangdi's ugly concubine; nurse
