Codepoint,Character,kDefinition
U+3400,㐀,(same as 丘) hillock or mound
U+3401,㐁,"to lick; to taste, a mat, bamboo bark"
U+3402,㐂,"(non-standard Japanese variant of 喜), to like, love, enjoy; a joyful thing"
U+3405,㐅,(ancient form of 五) five
U+3406,㐆,"(corrupted form) to follow, to trust to; to put confidence in; to depend on, to turn around; to turn the body, (interchangeable 隱)"
U+340C,㐌,a tribe of savages in South China
U+3416,㐖,"㐖毒, an old name for India"
U+341C,㐜,"(same as 仇) an enemy, enmity, hatred, to hate, a rival, a match"
U+3421,㐡,(same as 懦) weak; timid; imbecile
U+3424,㐤,"to implore; to beseech, to seek after, to beg; to pray"
U+3427,㐧,"(non-standard Japanese variant of 第) sequence, number; grade, degree"
U+3428,㐨,a kind of fish in legend (a record in old books)
U+3429,㐩,wine cups
U+342B,㐫,"(same as 凶) cruel, unfortunate, sad"
U+342C,㐬,"(same as 旒; corrupted form of 荒) a cup with pendants, a pennant, wild, barren, uncultivated"
U+342D,㐭,"(same as 廩) a granary, to supply (foodstuff), to stockpile"
U+342E,㐮,"(same as 襄) to help; to assist, to achieve, to rise; to raise"
U+342F,㐯,"(ancient form of 庸) to employ; to use, to manifest"
U+3430,㐰,"(ancient form of 信) to believe in; to trust, truth, sincerity, confidence, a pledge or token"
U+3431,㐱,"(same as 鬒) bushy, black hair"
U+3432,㐲,name of an island
U+3433,㐳,high and level on the top
U+3434,㐴,"(non-classical of 攀) to drag down; to seize, to pull, to hold to"
U+3435,㐵,Confucianism; scholar
U+3437,㐷,"a kind of punishment in Han Dynasty, name of chessmen in Chinese chess game (simplified form, a variant 罵) to curse; to revile; to abuse, to scold"
U+3438,㐸,"(non-classical form of 欠) to owe money, deficient, to yawn, last name"
U+3439,㐹,"(standard form of 仡) strong; valiant, a minority ethnic group in China"
U+343A,㐺,"(standard form of 眾) all; the whole of; a multitude, a crowd (three or more)"
U+343B,㐻,name of a person
U+343C,㐼,(corrupted form of 拯) to save; to lift up
U+343D,㐽,"(simplified form of 偑) name of a place, last name"
U+3441,㑁,(same as 𠭴) short; of short stature
U+3442,㑂,"(same as 仿) to imitate, like; resembling, according to"
U+3443,㑃,"(same as 拗) to pull; to drag, to break off, to pluck, as a flower"
U+3444,㑄,"(ancient form of 侮) to insult, to ridicule"
U+3445,㑅,"(same as 作) to make; to do; to act, to write; to compose; to rise, work"
U+3447,㑇,"clever, ingenious; cute; pretty"
U+3448,㑈,"(simplified form) rude; barbarous, stupid; dull, last name"
U+3449,㑉,cannot straighten up
U+344A,㑊,a kind of disease
U+344B,㑋,"small, poor, submit to the dominion of; slow; late"
U+344C,㑌,(same as 尪) weak; a rickety person; emaciated
U+344D,㑍,"inferior; secondary, ugly"
U+344E,㑎,last name
U+344F,㑏,(corrupted form of 佇) to stand and wait; to hope for
U+3450,㑐,"to move; to start; to shake, name of a person"
U+3454,㑔,"(a simplified form) (corrupted form of 偦) all together, mutually, last name"
U+3457,㑗,"a god, pregnant"
U+3458,㑘,"(same as 价) a servant, a middle-man, good, great; (a simplified form) price; value"
U+3459,㑙,frivolous; flippant; capricious; playful
U+345A,㑚,"(non-classical form of 那) that, there"
U+345B,㑛,to shake one's head
U+345C,㑜,(a dialect) to engrave
U+345D,㑝,"to make a fool of; idiotic, simple, stupid"
U+345E,㑞,"(same as 媵) (in old time) a maid who accompanies a bride to her new home; to escort, a concubine"
U+345F,㑟,insincere and cunning person; a pretentious person
U+3463,㑣,"stupid; loutish, without ability; unable; lacking power"
U+3464,㑤,"(same as 媌) good looking, a prostitute"
U+3465,㑥,"disrespectful; irreverent, to make light of; to neglect; careless; rush, to exchange, (said of one's personality) easy to get along with"
U+3466,㑦,"anger; rage; angry, (same as 戾) recalcitrant; stubbornly persisting in doing something wrong; cruel; despotic"
U+3467,㑧,"(corrupted form of 悸) perturbed, to throb, palpitation of the heart"
U+3468,㑨,"great; big; tall; vast, noble; high in rank, very; much"
U+3469,㑩,(simplified form of 儸) smart; clever
U+346A,㑪,"(non-classical form of 儕) a generation, a class; a series; a kind"
U+346E,㑮,"last name, girl's name"
U+346F,㑯,"last name, all; together; mutually, a low rank officer to take charge of the bandits in ancient time"
U+3470,㑰,(a corrupted form) distress; very difficulty; anxiety; very tired
U+3471,㑱,"a kind of monkey, fingering for an ancient string instrument"
U+3473,㑳,"(same as 媰) pregnant (妊娠, 妊身); cruel; pretty, cute, clever, ingenious, smart; to be hired; (used for 謅) to jest, to chaff, to bawl, mean person (as opposed to real gentleman)"
U+3474,㑴,"(standard form of 侵) to usurp, to encroach upon, to raid"
U+3475,㑵,"(same as 嫉) envy; jealousy, to hate"
U+3476,㑶,"(non-classical form of 愾) anger; passion; rage, to sigh; to groan"
U+3477,㑷,"(same as 態) manner, bearing, behaviour, policy, attitude"
U+3479,㑹,"(non-classical of 會) to meet; to assemble, to co-operate, a society; a guild; an association"
U+347A,㑺,"(a variant of 俊) superior, handsome, refined, eminent"
U+347B,㑻,"strong, robust, vigorous"
U+347C,㑼,name of a god
U+347D,㑽,"(same as 傏) to ward off; to parry; to keep out, as wind, rain, or cold"
U+347E,㑾,"(interchangeable 繇) joy, delight, gratification"
U+347F,㑿,"long, of space or time, profitable, excelling"
U+3480,㒀,do not fear to
U+3481,㒁,"(same as 俁) of great stature; stalwart, to injure, to grieve"
U+3482,㒂,"to bestow; to grant, to act; to do, quiet; still, peace; tranquility"
U+3483,㒃,"(same as 貳) capital form of two, a second job, to harbour doubts; to hesitate, to revolt"
U+3484,㒄,"brittle and friable, fear; dread; fright; scare"
U+3485,㒅,to unbind the collar
U+3486,㒆,(same as 歙) to gather the harvest; to gather together
U+3487,㒇,"(same as 憮) to skip about; to dance for joy; to soothe, slow, disappointed"
U+3488,㒈,dangerous; lofty; steep; high and dangerous
U+3489,㒉,(same as 惝) alarmed; agitated
U+348A,㒊,loquacious
U+348B,㒋,"a servant; a menial, a woodcutter"
U+348C,㒌,(ancient form of 煢) along; desolate; orphaned
U+348D,㒍,(interchangeable 儽) utterly weary in body and spirits; negligent; lax
U+348E,㒎,"evil, wicked, wrong, foul"
U+3491,㒑,"grow up, commodity prices"
U+3492,㒒,"(same as 僕) a slave; a servant, used conventionally for oneself, a charioteer"
U+3493,㒓,"to escape; to abscond; to flee, (interchangeable 達)"
U+3494,㒔,"to shake one's head, ugly, not in peace"
U+3495,㒕,unyield
U+3496,㒖,(same as 藕) the root-stock of the lotus; arrowroot
U+3497,㒗,(a variant of 儓) a servant
U+3499,㒙,"to hand or bow the head; to droop; to lower, low; beneath"
U+349A,㒚,"(same as 穩) firm; stable; secure, dependent upon others"
U+349B,㒛,to stand alone; independent
U+349C,㒜,"respectful; attentive, carefully; cautious; to heed; to be watchful, to rely on; to trust to; to lean towards"
U+349D,㒝,to deceive; artful; false
U+349E,㒞,"valiant; brave, eminent"
U+349F,㒟,"(same as 褭) with a charming; slim carriage (of a woman), pretty"
U+34A0,㒠,"narrow; contracted, quickly; fast; hasty; soon; promptly"
U+34A1,㒡,name of a person
U+34A4,㒤,"to have one's heart won; to submit, admire, etc. sincerely and willingly, (interchangeable 懾) to fear; to dread; to be scared of"
U+34A5,㒥,an immortal
U+34A6,㒦,"(same as 儡) puppets, very tired; fatigued; weary and weak"
U+34A7,㒧,"(same as 儷) a pair; a couple, luxuriant; lush; exuberant"
U+34A8,㒨,(ancient form of 仙) an immortal; a fairy; a genie
U+34A9,㒩,"(same as 梴 裸) naked, to strip; to unclothe"
U+34AA,㒪,(ancient form of 錫) tin; pewter
U+34AB,㒫,(ancient form of 旡) choked and unable to breath
U+34AD,㒭,(same as 昆) an elder brother
U+34B0,㒰,"(a variant, seal type of 全) perfect, complete, absolute"
U+34B2,㒲,"(a variant of 財) wealth; property; valuables, bribes"
U+34B3,㒳,"(ancient form of 兩) two, a pair; a couple; both"
U+34B4,㒴,to come; to go out
U+34B5,㒵,(same as 貌) manner; appearance; form; face; bearing
U+34B6,㒶,(ancient form of 公) public; open to all
U+34B7,㒷,"(simplified form of 興) to prosper, to begin, to increase; to rise; to raise, flourishing"
U+34B8,㒸,"(same as 遂) to obey; to comply with; to follow the wishes of another, (an ancient form of 歲) a year, age, the harvest"
U+34B9,㒹,"(non-classical of 顛) to upset; to turn over, to fall, upside down"
U+34BB,㒻,"(same as 冒) to go forward with eyes covered, to risk, to rush upon, to put forth, to issue forth"
U+34BC,㒼,"average; equivalent; corresponding, to cover something carefully and tightly without a break; (Cant.) blocked"
U+34BD,㒽,a kind of cap for children
U+34BE,㒾,a kind of wrapper used to cover over the face and head
U+34BF,㒿,a kind of turban used in ancient time
U+34C1,㓁,"a net; net-like, radical 122"
U+34C2,㓂,"(a variant of 寇) tyrannical; cruel, to rob; to plunder, banditti; thieves; highwaymen"
U+34C3,㓃,(standard form of 詫) to sacrifice by pouring out a libation of wine
U+34C4,㓄,"to plough; to till, black color"
U+34C5,㓅,frozen; cold
U+34C8,㓈,sound of flying or speeding
U+34C9,㓉,"ice; icicles, cold; frost, crystallized"
U+34CA,㓊,"cold, indifferent"
U+34CB,㓋,to freeze; to congeal; to curdle
U+34CC,㓌,bitterly cold
U+34CE,㓎,"cold, cold air, bitterly cold"
U+34CF,㓏,bitterly cold
U+34D0,㓐,"to rain, cold; wintry"
U+34D1,㓑,cold
U+34D3,㓓,thin ice
U+34D4,㓔,(same as 謝) faded and fallen -- as blossoms; withered
U+34D6,㓖,"bitterly cold, cold wind; the north wind"
U+34D7,㓗,(non-classical of 潔) clean; pure; clear
U+34D8,㓘,"(same as 玊) jade with some defects, a lapidary, to polish gems; a surname"
U+34D9,㓙,"(non-classical of 凶) cruel, unfortunate, sad"
U+34DA,㓚,"a sickle, a reaping-hook, to gather in the harvest, to pare; to scrape"
U+34DB,㓛,"(incorrect form of 功) merit; achievement; meritorious, efficacy; good results"
U+34DC,㓜,(corrupted form of 幼) young; immature; weak; delicate
U+34DD,㓝,"(same as 刑) a law, to punish; punishment"
U+34DE,㓞,"to engrave, (interchangeable 契) a written contract or agreement"
U+34DF,㓟,"to peel, to pare, to trim, to split, (non-classical form) to open; to unroll; to spread out"
U+34E0,㓠,"(same as 玷) a flaw; a defect, to cut with a sword; to chop"
U+34E1,㓡,"(same as 弣) the middle part of a bow; the handle of a bow, try to dig and get something with a knife"
U+34E2,㓢,to cut the flesh from the bones; to scrape off; to pick out; to get rid of
U+34E3,㓣,"to sink into; to pierce, (ancient form of 割) to cut; to hack; to reap"
U+34E4,㓤,"to strip the skin of the face; an imminent calamity, to engrave; (Cant.) to pierce"
U+34E5,㓥,(dial.) to kill; to slaughter
U+34E6,㓦,to deliberate and plan; to arrange
U+34E7,㓧,agricultural implements
U+34E8,㓨,(same as 刺) to pierce; to stab; to irritate; to hurt
U+34E9,㓩,horned hair
U+34EA,㓪,"(same as 朗) bright, clear, intelligent, light, brilliant, to understand, to illustrate, to cleanse"
U+34EC,㓬,(same as 刳) to cut open; to rip up; to cut out
U+34ED,㓭,(same as 鞨) to make ready the leather for shoes
U+34EE,㓮,(same as 雕) to engrave; to carve; to tattoo
U+34EF,㓯,"(same as 劙) to divide, to partition, to cut; to hack; to reap"
U+34F0,㓰,(a variant of 劃) to rive; to divide; to mark; to cut
U+34F1,㓱,"to cut; to cut out; to pick out; to scoop out, (same as 鄃) name of a county in today's Shandong province"
U+34F2,㓲,to pare; to cut into slices
U+34F3,㓳,use knife to split something
U+34F4,㓴,"to cut in two, to slash"
U+34F5,㓵,(same as 鍔) swords; a double-edged sword
U+34F6,㓶,"(same as 鍥) to carve; to engrave; to cut; to oppress, a sickle"
U+34F7,㓷,(same as 劓) to cut off the nose; cut off
U+34F8,㓸,"(same as 斲) to cut to pieces; to hack; to chop or hew, to carve for ornaments"
U+34F9,㓹,"(same as 銳) a sharp-pointed weapon, acute; zealous; valiant, wound, minor injury"
U+34FA,㓺,"castration, to pare; to scrape; to sharpen to a point"
U+34FB,㓻,(same as 剛) tough; unyielding; inflexible; hard
U+34FC,㓼,an incised wound; cuts
U+34FD,㓽,a kind of farm tool; iron spade; spade
U+34FE,㓾,"to wound the skin; to cut open; to open out, ripped"
U+3500,㔀,"(non-classical form) to brand criminals on the face, to rob; to plunder"
U+3501,㔁,a kind of tool; a hook; a barb; a sickle
U+3502,㔂,to pare; to pare away; to scrape; to sharpen to a point; to shave; to brush away
U+3503,㔃,"(same as 絕) to cut short; to break off; to interrupt, to drag; to pull"
U+3504,㔄,"thin, small cut"
U+3505,㔅,"to cut; to hack; to reap, minced meat mixed up with ginger and cassia"
U+3506,㔆,"to cut; to hack; to reap; to trim or clip, to stab; to pierce; to brand"
U+3507,㔇,(same as 鏺) a kind of farm tool; a reaping-hook; used to cut grass
U+3509,㔉,to dig; to excavate
U+350A,㔊,"to cut; to hack; to reap, to strike; to attack, to chastise rebels"
U+350B,㔋,"cut into thin slices; to mince, sharp"
