id_lop,book,syllable,ma_da_so,ma_thieu_so,n_da_so,n_thieu_so,e3_verdict,quyet,nguoi_ky,ngay,xuat_xu
L001_stt4_thì_6642_5bfa,stt4,thì,時,寺,374,135,MOT,,,,
L002_stt4_chăng_5e84_751f,stt4,chăng,庄,生,161,99,MOT,,,,
L003_stt4_cùng_5171_5176,stt4,cùng,共,其,172,77,MOT,,,,
L004_stt2_cùng_5171_5176,stt2,cùng,共,其,262,57,MOT,,,,
L005_stt2_bỏ_88dc_25677,stt2,bỏ,補,𥙷,37,36,MOT,,,,
L006_stt2_một_6ca1_8511,stt2,một,没,蔑,46,34,MOT,,,,
L007_stt4_con_6606_665c,stt4,con,昆,晜,44,34,MOT,,,,
L008_stt11_xin_771f_55d4,stt11,xin,真,嗔,29,25,MOT,,,,
L009_stt4_lắm_5eea_51dc,stt4,lắm,廪,凜,38,24,MOT,,,,
L010_stt11_cùng_5171_5176,stt11,cùng,共,其,274,23,MOT,,,,
L011_stt11_lấy_793c_22b26,stt11,lấy,礼,𢬦,27,22,MOT,,,,
L012_stt2_giờ_9664_5f90,stt2,giờ,除,徐,90,22,MOT,,,,
L013_stt11_linh_7075_3691,stt11,linh,灵,㚑,30,20,MOT,,,,
L014_stt4_phải_4f02_6c9b,stt4,phải,伂,沛,40,20,MOT,,,,
L015_stt11_bỏ_88dc_25677,stt11,bỏ,補,𥙷,30,19,MOT,,,,
L016_stt2_nói_5450_5185,stt2,nói,呐,内,27,19,MOT,,,,
L017_stt4_như_5982_8304,stt4,như,如,茄,34,19,MOT,,,,
L018_stt2_lắm_51dc_5eea,stt2,lắm,凜,廪,21,17,MOT,,,,
L019_stt2_được_7279_6642,stt2,được,特,時,206,17,MOT,,,,
L020_stt4_liền_9023_84ee,stt4,liền,連,蓮,137,17,MOT,,,,
L021_stt11_đến_65e6_4e14,stt11,đến,旦,且,189,15,MOT,,,,
L022_stt4_một_6ca1_6bb3,stt4,một,没,殳,87,15,MOT,,,,
L023_stt11_thì_6642_5bfa,stt11,thì,時,寺,608,13,MOT,,,,
L024_stt2_liền_9023_84ee,stt2,liền,連,蓮,145,12,MOT,,,,
L025_stt2_đã_340c_4e5f,stt2,đã,㐌,也,28,12,MOT,,,,
L026_stt4_được_7279_6642,stt4,được,特,時,234,12,MOT,,,,
L027_stt11_cả_7ad2_54ff,stt11,cả,竒,哿,14,11,MOT,,,,
L028_stt2_phải_6c9b_4f02,stt2,phải,沛,伂,66,11,MOT,,,,
L029_stt11_hồn_9b42_584a,stt11,hồn,魂,塊,31,10,MOT,,,,
L030_stt11_một_66f4_8511,stt11,một,更,蔑,31,10,MOT,,,,
L031_stt2_được_7279_6301,stt2,được,特,持,206,10,MOT,,,,
L032_stt4_xin_771f_55d4,stt4,xin,真,嗔,22,10,MOT,,,,
L033_stt4_được_7279_6301,stt4,được,特,持,234,10,MOT,,,,
L034_stt11_lần_541d_5404,stt11,lần,吝,各,27,9,MOT,,,,
L035_stt11_nhà_8339_8304,stt11,nhà,茹,茄,76,9,MOT,,,,
L036_stt11_được_7279_6642,stt11,được,特,時,196,9,MOT,,,,
L037_stt2_ai_57c3_5509,stt2,ai,埃,唉,26,9,MOT,,,,
L038_stt2_khăn_4e2d_5dfe,stt2,khăn,中,巾,15,8,MOT,,,,
L039_stt4_đã_340c_4e5f,stt4,đã,㐌,也,74,8,MOT,,,,
L040_stt4_đến_65e6_4f46,stt4,đến,旦,但,140,8,MOT,,,,
L041_stt4_một_6ca1_6b81,stt4,một,没,殁,87,7,MOT,,,,
L042_stt2_về_275f1_885b,stt2,về,𧗱,衛,43,6,MOT,,,,
L043_stt2_lắm_5eea_51db,stt2,lắm,廪,凛,17,5,MOT,,,,
L044_stt11_ngày_6642_2321c,stt11,ngày,時,𣈜,19,1,MOT,,,,
L045_stt2_chăng_5e84_751f,stt2,chăng,庄,生,179,37,mo,,,,
L046_stt2_xin_55d4_771f,stt2,xin,嗔,真,38,37,mo,,,,
L047_stt4_xin_771f_586b,stt4,xin,真,填,22,20,mo,,,,
L048_stt2_nhà_8339_5982,stt2,nhà,茹,如,30,17,mo,,,,
L049_stt2_càng_5f3a_5f37,stt2,càng,强,強,18,14,mo,,,,
L050_stt2_trên_9023_84ee,stt2,trên,連,蓮,36,11,mo,,,,
L051_stt2_để_5e95_3873,stt2,để,底,㡳,16,11,mo,,,,
L052_stt4_tốt_5352_7aa3,stt4,tốt,卒,窣,12,11,mo,,,,
L053_stt2_thờ_9664_870d,stt2,thờ,除,蜍,18,10,mo,,,,
L054_stt2_ngày_6642_2321c,stt2,ngày,時,𣈜,45,6,mo,,,,
L055_stt11_nói_5450_5185,stt11,nói,呐,内,16,7,,,,,
L056_stt2_ma_9ebb_9b54,stt2,ma,麻,魔,11,7,,,,,
L057_stt4_càng_5f3a_5f37,stt4,càng,强,強,9,7,,,,,
L058_stt11_nói_5450_5436,stt11,nói,呐,吶,16,6,,,,,
L059_stt11_rút_637d_690a,stt11,rút,捽,椊,7,6,,,,,
L060_stt11_tôi_788e_7815,stt11,tôi,碎,砕,110,6,,,,,
L061_stt2_khỏi_584a_7470,stt2,khỏi,塊,瑰,64,6,,,,,
L062_stt2_mình_547d_201ee,stt2,mình,命,𠇮,133,6,,,,,
L063_stt2_tôi_788e_7815,stt2,tôi,碎,砕,190,6,,,,,
L064_stt4_câu_67b8_62d8,stt4,câu,枸,拘,9,6,,,,,
L065_stt4_có_56fa_540c,stt4,có,固,同,190,6,,,,,
L066_stt4_cả_54ff_7ad2,stt4,cả,哿,竒,7,6,,,,,
L067_stt4_liệt_70c8_5217,stt4,liệt,烈,列,11,6,,,,,
L068_stt4_tuổi_6b72_6b73,stt4,tuổi,歲,歳,9,6,,,,,
L069_stt4_tô_7a4c_9165,stt4,tô,穌,酥,11,6,,,,,
L070_stt11_càng_5f3a_5f37,stt11,càng,强,強,22,5,,,,,
L071_stt2_lành_51b7_4ee4,stt2,lành,冷,令,22,5,,,,,
L072_stt2_lắm_51dc_51db,stt2,lắm,凜,凛,21,5,,,,,
L073_stt2_rừng_7a1c_68f1,stt2,rừng,稜,棱,10,5,,,,,
L074_stt2_tuổi_6b73_6b72,stt2,tuổi,歳,歲,6,5,,,,,
L075_stt4_khăn_5dfe_4e2d,stt4,khăn,巾,中,8,5,,,,,
L076_stt4_là_7f85_53f7,stt4,là,羅,号,6,5,,,,,
L077_stt4_mô_6a21_6478,stt4,mô,模,摸,22,5,,,,,
