book,syllable,ma_da_so,ma_thieu_so,n_da_so,n_thieu_so,nguon
stt2,cùng,共,邛,262,8,TN
stt4,lấy,礼,𢬦,76,7,TN
stt4,qua,過,戈,9,7,TN
stt11,gian,間,奸,52,7,TN
stt4,chữa,𦔳,助,12,7,TN
stt2,đàng,堂,唐,14,7,TN
stt2,tô,蘇,穌,21,7,TN
stt4,tốt,卒,𡨧,12,7,TN
stt4,tử,死,子,27,7,TN
stt2,ngày,時,㝵,45,7,TN
stt2,gian,間,奸,31,7,TN
stt2,nết,涅,𣵀,7,6,TN
stt2,lại,吏,耒,92,6,TN
stt2,tử,死,于,23,6,TN
stt2,sức,飭,饬,8,6,TN
stt11,tu,脩,須,10,6,TN
stt2,tu,修,須,12,6,TN
stt4,xem,佔,袩,6,6,TN
stt4,xác,壳,殻,48,6,TN
stt4,ong,翁,螉,25,6,TN
stt4,lâu,楼,婁,13,6,TN
stt4,cả,哿,奇,7,6,TN
stt11,cả,竒,奇,14,6,TN
stt4,về,𧗱,衛,11,6,TN
stt2,nhân,仁,因,10,5,TN
stt4,y,衣,依,29,5,TN
stt2,mở,美,馬,13,5,TN
stt11,một,更,没,31,5,TN
stt2,công,功,㓛,36,5,TN
stt4,càng,强,岡,9,5,TN
stt4,ca,歌,𰙔,10,5,TN
stt2,cùng,共,穹,262,5,TN
stt4,lên,連,年,51,5,TN
stt11,mươi,邁,迈,19,5,TN
stt11,chị,姊,姉,7,5,TN
stt11,răng,浪,𦝄,83,5,TN
stt11,một,更,墓,31,5,TN
stt11,đàng,堂,唐,36,5,TN
stt4,giữ,佇,抒,11,4,TN
stt4,có,固,個,190,4,TN
stt11,mắt,末,沫,9,4,TN
stt2,chi,之,支,41,4,TN
stt2,kia,其,箕,48,4,TN
stt2,lâu,婁,娄,12,4,TN
stt11,nhân,因,仁,7,4,TN
stt4,xác,壳,殼,48,4,TN
stt11,thiếu,烧,少,4,4,TN
stt2,tối,最,碎,10,4,TN
stt4,nhà,如,茹,7,4,TN
stt4,lành,冷,苓,37,4,TN
stt11,chi,之,支,16,4,TN
stt4,nết,𣵀,涅,4,4,TN
stt2,thương,傷,伤,10,4,TN
stt2,ý,意,衣,19,4,TN
stt4,vì,爲,位,160,4,TN
stt2,thì,寺,𥊘,257,4,TN
stt4,yêu,腰,夭,20,4,TN
stt2,xác,壳,殻,5,4,TN
stt2,bà,婆,把,11,4,TN
stt11,qua,戈,过,18,4,TN
stt2,su,秋,樞,101,4,TN
stt11,nhà,茹,如,76,4,TN
stt4,hết,歇,欱,44,4,TN
stt2,uống,枉,㕵,4,4,TN
stt4,cùng,共,邛,172,3,TN
stt4,xa,車,賖,16,3,TN
stt11,làm,乄,爫,10,3,TN
stt4,công,功,公,41,3,TN
stt11,hồ,虖,湖,4,3,TN
stt2,thế,世,体,49,3,TN
stt4,áo,襖,袄,27,3,TN
stt11,chúng,众,衆,4,3,TN
stt4,khuyên,勧,勸,19,3,TN
stt4,nói,呐,㐻,41,3,TN
stt11,phạt,罰,罚,28,3,TN
stt4,nhớ,女,汝,3,3,TN
stt4,phù,扶,符,6,3,TN
stt11,ong,翁,蜂,15,3,TN
stt4,ra,加,囉,5,3,TN
stt11,cùng,共,邛,274,3,TN
stt4,tha,赦,他,20,3,TN
stt4,kinh,經,𦀇,5,3,TN
stt4,nhân,因,仁,8,3,TN
stt4,câu,枸,句,9,3,TN
stt2,sợ,怍,𢜝,3,3,TN
stt2,trở,把,呂,5,3,TN
stt2,chưng,烝,徴,4,3,TN
stt2,trách,责,責,8,3,TN
stt2,yêu,夭,腰,12,3,TN
stt2,yêu,夭,㤇,12,3,TN
stt2,bánh,軿,迸,6,3,TN
stt11,mười,邁,迈,11,3,TN
stt2,ca,歌,𰙔,6,3,TN
stt2,chưng,烝,徵,4,3,TN
stt2,nuôi,餒,浽,4,3,CS+TN
stt2,ong,蜂,翁,8,3,TN
stt2,chức,聀,職,20,3,TN
stt2,a,阿,亜,19,3,TN
stt2,chữa,𦔳,助,24,3,TN
stt2,qua,戈,过,13,3,TN
stt2,nước,渃,匿,13,3,TN
stt2,ba,巴,波,54,3,TN
stt11,vợ,嬏,婦,25,3,TN
stt2,nát,𣵀,涅,4,3,TN
stt2,lên,連,年,44,3,TN
stt2,lành,冷,苓,22,3,TN
stt11,câu,拘,勾,17,3,TN
stt2,xưa,𥘉,初,8,3,TN
stt11,ý,意,衣,11,3,TN
stt2,rừng,稜,楼,10,3,CS+TN
stt2,hãi,㤥,咳,5,3,TN
stt2,ơn,恩,㤙,26,3,TN
stt11,độc,毒,讀,4,3,TN
stt2,dòng,用,𣳔,15,3,TN
stt11,sức,飭,饬,18,3,TN
stt2,và,𢯓,喡,4,3,TN
stt11,vẻ,尾,彼,6,3,TN
stt2,nuôi,餒,挼,4,3,TN
stt2,khát,渇,渴,3,3,TN
