id_lop,uu_tien,nguon,book,syllable,ma_da_so,u_da_so,ma_thieu_so,u_thieu_so,n_da_so,n_thieu_so,n_da_so_moi_tier,n_thieu_so_moi_tier,e3_verdict,e3_nB,e3_knn,e3_hog,e3_look,e3_M,e3_L,hog_bacc_v3,tn_look,da_so_trong_R,thieu_so_trong_R,R_am,nhan_khac_cung_sach,sach_khac,cs_ket_luan,cs_sua_thanh,cs_ung_vien,cs_so_dong,da_co_yaml_id
L001_stt4_thì_6642_5bfa,1,CS+E3+TN,stt4,thì,時,U+6642,寺,U+5BFA,374,135,374,135,MOT,136,0.58,0.51,False,時,寺,0.5,False,True,True,𱢑匙埘塒寺峕常提时旹時晨曟榯氏畤秲茄莳蒔辰鍉鰣鲥㔭㫑㫭㮛䈕䢈𠨱𠨷𠩐𠩟𠱾𡗶𡺈𡺞𢁈𣅱𣈜𥊘𥫽𦔌𦱎𦱗𦸎𨑃𨑄𨥌𩶬𪰛𬀦󰣡󱞑㖘,,stt2: 時 16 / 寺 257; stt11: 時 608 / 寺 13,G. ÂM LỆCH – NÊN XEM LẠI,時,"時(1001), 时(2), 莳(2), 鰣(2), 塒(1)",411,
L002_stt4_chăng_5e84_751f,1,E3+TN,stt4,chăng,庄,U+5E84,生,U+751F,161,99,161,99,MOT,99,0.57,0.5,False,庄,生,0.55,False,True,True,丕仳庄庒弡張拯生空荘莊㔻㽵𠗎𠦓𠲕𤕶𤖄𤖈𦀾𦻊𧜖𫽄󰝸󱣟,,stt2: 庄 179 / 生 37; stt11: 庄 64 / 生 1,,,,,
L003_stt4_cùng_5171_5176,1,CS+E3+TN,stt4,cùng,共,U+5171,其,U+5176,172,77,172,77,MOT,77,0.48,0.52,True,共,其,0.48,True,True,True,供共其塘廾弯強拱拲珙穷穹窮竆藭蛩蛬邛䓖䠻𠔏𡀳𡃕𥧺𥨪𦱹𧅉𧅓𧉨𧊡𧊮𧋄𧋯𧋳𧌪𧎦𧏒𨉺𩇿󰠃棩筇跫銎,穷:14 邛:3,stt2: 共 262 / 其 57; stt11: 共 274 / 其 23,G. ÂM LỆCH – NÊN XEM LẠI,共,"共(709), 穷(47), 蛩(1), 窮(0), 藭(0)",158,dt_5171_5176
L004_stt2_cùng_5171_5176,1,CS+E3+TN,stt2,cùng,共,U+5171,其,U+5176,262,57,262,57,MOT,58,0.52,0.5,True,共,其,0.53,True,True,True,供共其塘廾弯強拱拲珙穷穹窮竆藭蛩蛬邛䓖䠻𠔏𡀳𡃕𥧺𥨪𦱹𧅉𧅓𧉨𧊡𧊮𧋄𧋯𧋳𧌪𧎦𧏒𨉺𩇿󰠃棩筇跫銎,穷:11 邛:8 穹:5 拱:3,stt4: 共 172 / 其 77; stt11: 共 274 / 其 23,G. ÂM LỆCH – NÊN XEM LẠI,共,"共(709), 穷(47), 蛩(1), 窮(0), 藭(0)",158,dt_5171_5176
L005_stt2_bỏ_88dc_25677,1,E3+TN,stt2,bỏ,補,U+88DC,𥙷,U+25677,37,36,37,36,MOT,36,0.49,0.59,False,補,𥙷,0.56,False,True,True,哺怖悑抪捕补補䋠𠬃𠬕𠬖𢒏𢼹𥙷𥸨󱉿󱣎鮑,,stt4: 補 43 / 𥙷 2; stt11: 補 30 / 𥙷 19,,,,,
L006_stt2_một_6ca1_8511,1,E3+TN,stt2,một,没,U+6CA1,蔑,U+8511,46,34,46,34,MOT,34,0.44,0.47,False,没,蔑,0.45,False,True,True,𱥺刎圽堆墓更歾歿殁殳沒没痗蔑車默𠬛𠬠𠬸𣇶𣧒𣨏𣳚𣴬𦐲𩑦󰓳󰜋󱘴,,stt4: 没 87 / 蔑 1; stt11: 没 5 / 蔑 10,,,,,
L007_stt4_con_6606_665c,1,E3+TN,stt4,con,昆,U+6606,晜,U+665C,44,34,44,34,MOT,34,0.6,0.45,False,昆,晜,0.47,False,True,True,ヌ婫岞昆晜罤群㒭𡥵𣋥𤙭𥊽𧲟𫴾,,stt2: 昆 73 / 晜 0; stt11: 昆 134 / 晜 0,,,,,
L008_stt11_xin_771f_55d4,1,CS+E3+TN,stt11,xin,真,U+771F,嗔,U+55D4,29,25,29,25,MOT,25,0.6,0.56,True,真,嗔,0.56,True,True,True,吀吒嗔填真謓㥲𡃑,,stt2: 真 37 / 嗔 38; stt4: 真 22 / 嗔 10,G. ÂM LỆCH – NÊN XEM LẠI,吀,吀(0),75,
L009_stt4_lắm_5eea_51dc,1,E3+TN,stt4,lắm,廪,U+5EEA,凜,U+51DC,38,24,38,24,MOT,25,0.44,0.53,False,廪,凜,0.54,False,True,True,凛凜夦廩廪林澟禀稟贑㐭𡀫𡗋𢈺𢊣𢊬𢊸𢋏𢋕𤯑𥜘𥠌𪥀𪩦󰖎󰡌󱚒󱞴󱨫󱪖,廩:30 凛:2,stt2: 廪 17 / 凜 21; stt11: 廪 1 / 凜 69,,,,,
L010_stt11_cùng_5171_5176,1,CS+E3+TN,stt11,cùng,共,U+5171,其,U+5176,274,23,274,23,MOT,23,0.5,0.5,True,共,其,0.49,True,True,True,供共其塘廾弯強拱拲珙穷穹窮竆藭蛩蛬邛䓖䠻𠔏𡀳𡃕𥧺𥨪𦱹𧅉𧅓𧉨𧊡𧊮𧋄𧋯𧋳𧌪𧎦𧏒𨉺𩇿󰠃棩筇跫銎,穷:19 邛:3 拱:1,stt2: 共 262 / 其 57; stt4: 共 172 / 其 77,G. ÂM LỆCH – NÊN XEM LẠI,共,"共(709), 穷(47), 蛩(1), 窮(0), 藭(0)",158,dt_5171_5176
L011_stt11_lấy_793c_22b26,1,E3+TN,stt11,lấy,礼,U+793C,𢬦,U+22B26,27,22,27,22,MOT,22,0.5,0.41,False,礼,𢬦,0.39,False,True,True,以娎拟礼禮穊豊蹺𠃞𢬦𤔑𥘆𥙩𥛉𥜨𥜪𥝏𫩉󰜡󰟵󰭼,,stt2: 礼 66 / 𢬦 1; stt4: 礼 76 / 𢬦 7,,,,,
L012_stt2_giờ_9664_5f90,1,E3+TN,stt2,giờ,除,U+9664,徐,U+5F90,90,22,90,22,MOT,22,0.53,0.45,True,除,徐,0.47,True,True,True,俆徐除𠀺𣇞𣉹𨑦𪬪𪱡𬁊𬁐󱤗󱤫󱮠,,stt4: 除 61 / 徐 1; stt11: 除 88 / 徐 1,,,,,
L013_stt11_linh_7075_3691,1,E3+TN,stt11,linh,灵,U+7075,㚑,U+3691,30,20,30,20,MOT,20,0.5,0.53,False,灵,㚑,0.56,False,True,True,令伶冷刢呤呬囹姈孁岭彾忴怜拎柃棂櫺欞泠澪火灳灵狑玲瓴竛笒笭羚翎聆舲苓蓮蘦蛄蛉蛌衑詅軡軨酃醽釘鈴铃零霊霗霛霝靇靈鯪鲮鴒鸰麢齡齢龄龗㚑㦭㩕䉖䕘䨩䳥䴇䴒䴫𠎜𠏡𠘤𠳄𡀓𡈍𢩙𢩝𢺰𣬹𤅫𤅷𤫊𤫩𤴤𦏪𦏰𦐽𦪩𦫃𦫄𦫊𧈀𧕅𧨈𩁎𩁻𩂊𩂙𩂳𩃏𩃗𩃞𩄇𩅶𩆒𩆕𩆖𩆜𩆮𩆼𩇎𪈝𪋓𪋚𪋦𪋪𪋳𪋶𪹂𬌴󱨈皊領领,,stt2: 灵 58 / 㚑 1; stt4: 灵 69 / 㚑 2,,,,,
L014_stt4_phải_4f02_6c9b,1,E3+TN,stt4,phải,伂,U+4F02,沛,U+6C9B,40,20,40,20,MOT,20,0.39,0.39,False,伂,沛,0.41,False,True,True,仕伂塊折拜拝朝沛派芾霈㳈𡴬𢪙𢫶𢮠𢰛𢱭𢳎𢴽𢷎𢹄𣧙𣬊𣬓𥙅𨀪𨀲𨙶𬆃,,stt2: 伂 11 / 沛 66; stt11: 伂 2 / 沛 78,,,,,
L015_stt11_bỏ_88dc_25677,1,E3+TN,stt11,bỏ,補,U+88DC,𥙷,U+25677,30,19,30,19,MOT,19,0.42,0.39,False,補,𥙷,0.4,False,True,True,哺怖悑抪捕补補䋠𠬃𠬕𠬖𢒏𢼹𥙷𥸨󱉿󱣎鮑,,stt2: 補 37 / 𥙷 36; stt4: 補 43 / 𥙷 2,,,,,
L016_stt2_nói_5450_5185,1,E3+TN,stt2,nói,呐,U+5450,内,U+5185,27,19,27,19,MOT,19,0.56,0.52,True,呐,内,0.46,True,True,True,內内叻吶呐唁尼曰訥㐻㕯𠺶𡗠𧨣,吶:1,stt4: 呐 41 / 内 5; stt11: 呐 16 / 内 7,,,,,
