book,page,column,nom_idx,fold,p_visual,argmax_syl,max_prob
stt11,page_0010,1,0,2,0.4153,tháng,0.4153
stt11,page_0010,1,1,2,0.3845,mươi,0.3845
stt11,page_0010,1,2,2,0.7199,một,0.7199
stt11,page_0010,1,3,2,0.9225,có,0.9225
stt11,page_0010,1,4,2,0.9419,ba,0.9419
stt11,page_0010,1,5,2,0.6173,mươi,0.6173
stt11,page_0010,1,6,2,0.8695,ngày,0.8695
stt11,page_0010,2,0,2,0.1895,mong,0.1895
stt11,page_0010,2,1,2,0.17,một,0.17
stt11,page_0010,2,2,2,0.0889,lấy,0.7617
stt11,page_0010,2,3,2,0.4709,các,0.4709
stt11,page_0010,2,4,2,0.9207,thánh,0.9207
stt11,page_0010,2,5,2,0.7565,hôm,0.7565
stt11,page_0010,2,6,2,0.0781,nơi,0.4635
stt11,page_0010,2,7,2,0.0005,ấy,0.5055
stt11,page_0010,2,8,2,0.0,ghê,0.9576
stt11,page_0010,2,9,2,0.0003,a,0.4242
stt11,page_0010,2,10,2,0.0011,gia,0.3963
stt11,page_0010,2,11,2,0.7481,lễ,0.7481
stt11,page_0010,2,12,2,0.0987,lễ,0.4237
stt11,page_0010,2,13,2,0.7051,các,0.7051
stt11,page_0010,2,14,2,0.9374,thánh,0.9374
stt11,page_0010,2,15,2,0.3348,được,0.3348
stt11,page_0010,2,16,2,0.8264,phúc,0.8264
stt11,page_0010,2,17,2,0.2241,cực,0.2241
stt11,page_0010,2,18,2,0.0447,do,0.1974
stt11,page_0010,2,19,2,0.9908,là,0.9908
stt11,page_0010,3,0,2,0.6213,thấy,0.6213
stt11,page_0010,3,1,2,0.7578,đức,0.7578
stt11,page_0010,3,2,2,0.7788,chúa,0.7788
stt11,page_0010,3,3,2,0.9238,trời,0.9238
stt11,page_0010,3,4,2,0.5396,tỏ,0.5396
stt11,page_0010,3,5,2,0.8148,tường,0.8148
stt11,page_0010,3,6,2,0.8573,đời,0.8573
stt11,page_0010,3,7,2,0.0026,một,0.2872
stt11,page_0010,3,8,2,0.863,một,0.863
stt11,page_0010,3,9,2,0.0198,làm,0.953
stt11,page_0010,3,10,2,0.4901,làm,0.4901
stt11,page_0010,3,11,2,0.6045,cho,0.6045
stt11,page_0010,3,12,2,0.0,mình,0.7398
stt11,page_0010,3,13,2,0.5726,vui,0.5726
stt11,page_0010,3,14,2,0.0,sang,0.2932
stt11,page_0010,3,15,2,0.9494,lành,0.9494
stt11,page_0010,3,16,2,0.9407,đức,0.9407
stt11,page_0010,3,17,2,0.919,chúa,0.919
stt11,page_0010,3,18,2,0.9184,trời,0.9184
stt11,page_0010,3,19,2,0.7098,là,0.7098
stt11,page_0010,4,0,2,0.0433,mà,0.1996
stt11,page_0010,4,1,2,0.9062,mọi,0.9062
stt11,page_0010,4,2,2,0.8578,sự,0.8578
stt11,page_0010,4,3,2,0.5207,thịnh,0.5207
stt11,page_0010,4,4,2,0.0561,thánh,0.1028
stt11,page_0010,4,5,2,0.59,thánh,0.59
stt11,page_0010,4,6,2,0.9258,pha,0.9258
stt11,page_0010,4,7,2,0.705,pha,0.705
stt11,page_0010,4,8,2,0.0,vào,0.1556
stt11,page_0010,4,9,2,0.1319,pha,0.416
stt11,page_0010,4,10,2,0.0754,lâu,0.1364
stt11,page_0010,4,11,2,0.4307,si,0.4307
stt11,page_0010,4,12,2,0.9501,ô,0.9501
stt11,page_0010,4,13,2,0.9771,thứ,0.9771
stt11,page_0010,4,14,2,0.1016,tội,0.1193
stt11,page_0010,4,15,2,0.909,thấy,0.909
stt11,page_0010,4,16,2,0.5877,một,0.5877
stt11,page_0010,4,17,2,0.9182,nhà,0.9182
stt11,page_0010,4,18,2,0.8118,quỷ,0.8118
stt11,page_0010,4,19,2,0.9897,ở,0.9897
stt11,page_0010,4,20,2,0.5478,thành,0.5478
stt11,page_0010,5,0,2,0.8038,rô,0.8038
stt11,page_0010,5,1,2,0.3292,ma,0.3292
stt11,page_0010,5,2,2,0.2779,khéo,0.2779
stt11,page_0010,5,3,2,0.9859,lắm,0.9859
stt11,page_0010,5,4,2,0.2642,ông,0.2642
stt11,page_0010,5,5,2,0.0275,ông,0.0625
stt11,page_0010,5,6,2,0.0026,kia,0.9657
stt11,page_0010,5,7,2,0.0009,tên,0.9492
stt11,page_0010,5,8,2,0.0,là,0.9857
stt11,page_0010,5,9,2,1e-04,đến,0.1959
stt11,page_0010,5,10,2,0.0,trời,0.0935
stt11,page_0010,5,11,2,0.0,le,0.9201
stt11,page_0010,5,12,2,0.008,pha,0.7205
stt11,page_0010,5,13,2,0.0539,làm,0.7354
stt11,page_0010,5,14,2,0.01,xưa,0.351
stt11,page_0010,5,15,2,0.0351,mà,0.2381
stt11,page_0010,5,16,2,0.0005,thờ,0.9615
stt11,page_0010,5,17,2,0.011,nó,0.2496
stt11,page_0010,5,18,2,0.0101,ông,0.572
stt11,page_0010,5,19,2,0.0087,thánh,0.8999
stt11,page_0010,5,20,2,0.4222,pha,0.4222
stt11,page_0010,6,0,2,0.8401,thấy,0.8401
stt11,page_0010,6,1,2,0.9244,hạ,0.9244
stt11,page_0010,6,2,2,0.9433,đã,0.9433
stt11,page_0010,6,3,2,0.7282,học,0.7282
stt11,page_0010,6,4,2,0.5451,đạo,0.5451
stt11,page_0010,6,5,2,0.9272,thật,0.9272
stt11,page_0010,6,6,2,0.1331,chẳng,0.8348
stt11,page_0010,6,7,2,0.0012,tâu,0.1464
stt11,page_0010,6,8,2,0.9664,thờ,0.9664
stt11,page_0010,6,9,2,0.9543,quỷ,0.9543
stt11,page_0010,6,10,2,0.7299,nữa,0.7299
stt11,page_0010,6,11,2,0.9352,thì,0.9352
stt11,page_0010,6,12,2,0.6846,người,0.6846
stt11,page_0010,6,13,2,0.9418,lấy,0.9418
stt11,page_0010,6,14,2,0.6685,nhà,0.6685
stt11,page_0010,6,15,2,0.9782,làm,0.9782
stt11,page_0010,6,16,2,0.126,đền,0.126
stt11,page_0010,6,17,2,0.7277,thờ,0.7277
stt11,page_0010,6,18,2,0.5235,chúa,0.5235
stt11,page_0010,6,19,2,0.5574,các,0.5574
stt11,page_0010,7,0,2,0.8119,thánh,0.8119
stt11,page_0010,7,1,2,0.9508,là,0.9508
stt11,page_0010,7,2,2,0.9334,rất,0.9334
stt11,page_0010,7,3,2,0.9747,thánh,0.9747
stt11,page_0010,7,4,2,0.0002,đức,0.9096
stt11,page_0010,7,5,2,0.0048,bà,0.8946
stt11,page_0010,7,6,2,0.0,lớn,0.1767
stt11,page_0010,7,7,2,0.3161,a,0.3161
stt11,page_0010,7,8,2,0.8591,cùng,0.8591
stt11,page_0010,7,9,2,0.9895,các,0.9895
stt11,page_0010,7,10,2,0.8513,thánh,0.8513
stt11,page_0010,7,11,2,0.9566,nam,0.9566
stt11,page_0010,7,12,2,0.7993,nữ,0.7993
stt11,page_0010,7,13,2,0.9392,ở,0.9392
stt11,page_0010,7,14,2,0.3803,trên,0.3803
stt11,page_0010,7,15,2,0.435,trời,0.435
stt11,page_0010,7,16,2,0.9938,vì,0.9938
stt11,page_0010,7,17,2,0.6335,vậy,0.6335
stt11,page_0010,7,18,2,0.0,dọn,0.4688
stt11,page_0010,7,19,2,0.3294,nhà,0.3294
stt11,page_0010,7,20,2,0.9901,ấy,0.9901
stt11,page_0010,8,0,2,0.2346,mà,0.2346
stt11,page_0010,8,1,2,0.9367,bỏ,0.9367
stt11,page_0010,8,2,2,0.9171,những,0.9171
stt11,page_0010,8,3,2,0.0688,hình,0.0688
stt11,page_0010,8,4,2,0.7979,tượng,0.7979
stt11,page_0010,8,5,2,0.8039,quỷ,0.8039
stt11,page_0010,8,6,2,0.9552,đi,0.9552
stt11,page_0010,8,7,2,0.3822,liền,0.3822
stt11,page_0010,8,8,2,0.9139,lấy,0.9139
stt11,page_0010,8,9,2,0.0219,là,0.1891
stt11,page_0010,8,10,2,0.4888,mươi,0.4888
stt11,page_0010,8,11,2,0.1158,lên,0.1385
stt11,page_0010,8,12,2,0.0029,hết,0.0616
stt11,page_0010,8,13,2,0.7282,những,0.7282
stt11,page_0010,8,14,2,0.9625,xác,0.9625
stt11,page_0010,8,15,2,0.8947,các,0.8947
stt11,page_0010,8,16,2,0.601,thánh,0.601
stt11,page_0010,8,17,2,0.8785,tử,0.8785
stt11,page_0010,8,18,2,0.6568,vì,0.6568
stt11,page_0010,8,19,2,0.9389,đạo,0.9389
stt11,page_0010,8,20,2,0.9477,xưa,0.9477
stt11,page_0010,9,0,2,0.3533,mà,0.3533
stt11,page_0010,9,1,2,0.667,đem,0.667
stt11,page_0010,9,2,2,0.9667,về,0.9667
stt11,page_0010,9,3,2,0.8842,táng,0.8842
stt11,page_0010,9,4,2,0.9234,trong,0.9234
stt11,page_0010,9,5,2,0.1404,đền,0.1404
stt11,page_0010,9,6,2,0.4934,ấy,0.4934
stt11,page_0010,9,7,2,0.9405,lại,0.9405
stt11,page_0010,9,8,2,0.4157,dạy,0.4157
stt11,page_0010,9,9,2,0.0,hề,0.2687
stt11,page_0010,9,10,2,0.9652,là,0.9652
stt11,page_0010,9,11,2,0.5957,một,0.5957
stt11,page_0010,9,12,2,0.9769,năm,0.9769
stt11,page_0010,9,13,2,0.2375,một,0.2375
stt11,page_0010,9,14,2,0.0266,một,0.3489
stt11,page_0010,9,15,2,0.1212,lần,0.2658
stt11,page_0010,9,16,2,0.2637,làm,0.6083
stt11,page_0010,9,17,2,0.783,kính,0.783
stt11,page_0010,9,18,2,0.91,các,0.91
stt11,page_0010,9,19,2,0.9777,thánh,0.9777
stt11,page_0010,9,20,2,0.0,thánh,0.4102
stt11,page_0010,9,21,2,0.9219,lại,0.9219
stt11,page_0010,9,22,2,0.7952,làm,0.7952
stt11,page_0010_p0028,2,0,1,0.0031,người,0.3302
stt11,page_0010_p0028,2,1,1,0.0003,mà,0.8522
stt11,page_0010_p0028,2,2,1,0.0,chừa,0.3558
stt11,page_0010_p0028,2,3,1,0.0,sau,0.9569
stt11,page_0010_p0028,2,4,1,0.0,hết,0.5176
stt11,page_0010_p0028,2,5,1,0.0,hết,0.5191
stt11,page_0010_p0028,2,6,1,0.0,người,0.8582
stt11,page_0010_p0028,2,7,1,0.0011,công,0.3081
stt11,page_0010_p0028,2,8,1,0.0,nghiệp,0.7013
stt11,page_0010_p0028,2,9,1,1e-04,cùng,0.8463
stt11,page_0010_p0028,2,10,1,1e-04,làm,0.3844
stt11,page_0010_p0028,2,11,1,0.0,nhiều,0.9091
stt11,page_0010_p0028,2,12,1,1e-04,phép,0.9652
stt11,page_0010_p0028,2,13,1,1e-04,lạ,0.7332
stt11,page_0010_p0028,2,14,1,0.0007,có,0.7947
stt11,page_0010_p0028,2,15,1,0.0047,ý,0.8803
stt11,page_0010_p0028,2,16,1,0.0005,xin,0.13
stt11,page_0010_p0028,2,17,1,0.0,cùng,0.9542
stt11,page_0010_p0028,2,18,1,0.6751,ông,0.6751
stt11,page_0010_p0028,2,19,1,0.9109,thánh,0.9109
stt11,page_0010_p0028,3,0,1,0.0,về,0.9275
stt11,page_0010_p0028,3,1,1,0.0003,ấy,0.1203
stt11,page_0010_p0028,3,2,1,0.0,ghê,0.8081
stt11,page_0010_p0028,3,3,1,1e-04,ô,0.1863
stt11,page_0010_p0028,3,4,1,0.001,gia,0.3869
stt11,page_0010_p0028,3,5,1,0.0002,nước,0.7518
stt11,page_0010_p0028,3,6,1,0.0005,ấy,0.8854
stt11,page_0010_p0028,3,7,1,0.0,chẳng,0.5287
stt11,page_0010_p0028,3,8,1,0.0003,hay,0.2848
stt11,page_0010_p0028,3,9,1,0.0,đức,0.7094
stt11,page_0010_p0028,3,10,1,0.0002,chúa,0.6961
stt11,page_0010_p0028,3,11,1,0.0,công,0.9511
stt11,page_0010_p0028,3,12,1,0.0014,truyện,0.0635
stt11,page_0010_p0028,3,13,1,0.0002,cho,0.7628
stt11,page_0010_p0028,3,14,1,0.8296,mà,0.8296
stt11,page_0010_p0028,3,15,1,1e-04,đến,0.8293
stt11,page_0010_p0028,3,16,1,0.0086,nhà,0.8768
stt11,page_0010_p0028,3,17,1,1e-04,thờ,0.9427
stt11,page_0010_p0028,3,18,1,1e-04,ông,0.9712
stt11,page_0010_p0028,3,19,1,1e-04,thánh,0.6637
stt11,page_0010_p0028,3,20,1,0.0004,thâu,0.1778
stt11,page_0010_p0028,4,0,1,0.9659,thì,0.9659
stt11,page_0010_p0028,4,1,1,0.0,cùng,0.5008
stt11,page_0010_p0028,4,2,1,1e-04,chịu,0.7353
stt11,page_0010_p0028,4,3,1,0.9525,các,0.9525
stt11,page_0010_p0028,4,4,1,0.0,phép,0.9767
stt11,page_0010_p0028,4,5,1,0.0,sa,0.878
stt11,page_0010_p0028,4,6,1,0.0028,ca,0.1689
stt11,page_0010_p0028,4,7,1,0.0002,ra,0.487
stt11,page_0010_p0028,4,8,1,0.0002,min,0.0933
stt11,page_0010_p0028,4,9,1,0.0,tô,0.6138
stt11,page_0010_p0028,4,10,1,1e-04,mà,0.7468
stt11,page_0010_p0028,4,11,1,1e-04,mà,0.4058
stt11,page_0010_p0028,4,12,1,0.0,vui,0.986
stt11,page_0010_p0028,4,13,1,1e-04,mặt,0.4132
stt11,page_0010_p0028,4,14,1,0.0002,kẻ,0.4916
stt11,page_0010_p0028,4,15,1,0.0002,kẻ,0.6462
stt11,page_0010_p0028,4,16,1,0.005,vui,0.4357
stt11,page_0010_p0028,4,17,1,0.0,sinh,0.134
stt11,page_0010_p0028,5,0,1,0.002,dòng,0.1027
stt11,page_0010_p0028,5,1,1,0.0152,trong,0.0492
stt11,page_0010_p0028,5,2,1,0.0233,trong,0.1525
stt11,page_0010_p0028,5,3,1,0.0545,song,0.0734
stt11,page_0010_p0028,5,4,1,0.0049,ai,0.232
stt11,page_0010_p0028,5,5,1,0.0018,cùng,0.1451
stt11,page_0010_p0028,5,6,1,0.0005,trong,0.2206
stt11,page_0010_p0028,5,7,1,0.0532,là,0.0614
stt11,page_0010_p0028,5,8,1,0.0015,làm,0.0655
stt11,page_0010_p0028,5,9,1,0.002,làm,0.0776
stt11,page_0010_p0028,5,10,1,0.0006,làm,0.3157
stt11,page_0010_p0028,5,11,1,0.0021,khi,0.0967
stt11,page_0010_p0028,5,12,1,0.0156,thấy,0.1196
stt11,page_0010_p0028,5,13,1,0.0021,cùng,0.1568
stt11,page_0010_p0028,5,14,1,1e-04,khốn,0.1215
stt11,page_0010_p0028,5,15,1,0.0026,trong,0.0994
stt11,page_0010_p0028,5,16,1,0.0007,vậy,0.073
stt11,page_0010_p0028,5,17,1,0.0002,làm,0.1618
stt11,page_0010_p0028,5,18,1,0.0,vậy,0.1994
stt11,page_0010_p0028,5,19,1,0.0009,kẻ,0.0473
stt11,page_0010_p0028,6,0,1,0.9713,ông,0.9713
stt11,page_0010_p0028,6,1,1,0.9912,thánh,0.9912
