book,page,column,n,n_usable,n_lock
stt11,page_0024,9,23,19,2
stt11,page_0040,3,22,20,1
stt11,page_0056,4,20,19,1
stt11,page_0092,7,21,20,1
stt11,page_0094,5,24,19,1
stt11,page_0096,9,22,18,2
stt11,page_0098,9,21,18,1
stt11,page_0100,1,20,19,1
stt11,page_0106,8,23,17,1
stt11,page_0108,1,20,15,1
stt11,page_0110,2,20,20,1
stt11,page_0112,6,21,14,1
stt11,page_0112,8,22,13,1
stt11,page_0126,6,21,20,2
stt11,page_0126,8,21,18,1
stt11,page_0140,8,23,22,1
stt11,page_0142,3,21,18,2
stt11,page_0156,7,22,21,1
stt11,page_0156,9,21,16,1
stt11,page_0162,3,21,20,1
stt11,page_0162,4,23,21,2
stt11,page_0162,7,22,18,3
stt11,page_0196,3,19,17,1
stt11,page_0208,5,22,18,1
stt11,page_0210,4,21,18,1
stt11,page_0228,5,22,20,1
stt11,page_0238,7,24,23,1
stt11,page_0266,7,20,17,1
stt11,page_0272,1,22,19,2
stt2,page_0034,1,21,17,2
stt2,page_0038,6,20,15,2
stt2,page_0038,9,20,16,1
stt2,page_0054,3,20,13,2
stt2,page_0056,5,23,20,1
stt2,page_0080,3,22,20,1
stt2,page_0080,8,19,18,1
stt2,page_0080,9,19,17,2
stt2,page_0084,4,21,18,2
stt2,page_0084,6,22,20,2
stt2,page_0090,5,23,20,1
stt2,page_0104,5,19,16,1
stt2,page_0104,7,21,17,3
stt2,page_0104,9,21,17,1
stt2,page_0112,3,20,17,1
stt2,page_0112,4,21,21,1
stt2,page_0118,9,22,22,1
stt2,page_0154,4,19,16,1
stt2,page_0154,9,19,16,1
stt2,page_0156,7,20,17,1
stt2,page_0158,2,19,18,1
stt2,page_0160,2,18,15,2
stt2,page_0160,4,19,16,2
stt2,page_0178,4,18,14,1
stt2,page_0180,3,19,17,1
stt2,page_0194,4,18,14,1
stt2,page_0194,9,17,10,1
stt2,page_0196,5,18,18,1
stt2,page_0206,4,18,12,1
stt2,page_0212,7,20,19,1
stt2,page_0226,7,21,16,1
stt2,page_0228,6,20,16,1
stt2,page_0270,8,22,15,1
stt2,page_0274,3,23,19,1
stt2,page_0278,2,17,16,1
stt2,page_0278,4,20,19,2
stt2,page_0284,4,19,15,1
stt2,page_0296,9,16,14,2
stt2,page_0306,3,19,18,1
stt2,page_0316,3,20,17,1
stt4,page_0026,3,22,21,1
stt4,page_0046,8,21,19,1
stt4,page_0054,8,20,19,2
stt4,page_0062,4,22,17,2
stt4,page_0072,5,15,15,2
stt4,page_0078,2,24,19,1
stt4,page_0080,6,21,17,1
stt4,page_0084,8,23,20,2
stt4,page_0088,4,24,20,1
stt4,page_0090,9,24,21,1
stt4,page_0112,2,22,22,1
stt4,page_0112,5,22,21,2
stt4,page_0118,3,23,22,2
stt4,page_0120,2,20,16,2
stt4,page_0130,4,21,19,1
stt4,page_0134,7,20,14,1
stt4,page_0136,3,21,16,2
stt4,page_0136,6,21,21,2
stt4,page_0140,4,22,19,1
stt4,page_0140,8,20,19,1
stt4,page_0144,2,21,18,2
stt4,page_0144,4,22,19,2
stt4,page_0144,6,22,19,1
stt4,page_0168,2,19,17,1
stt4,page_0168,7,22,16,2
stt4,page_0170,4,21,20,1
stt4,page_0170,6,21,19,2
stt4,page_0192,7,20,16,1
stt4,page_0196,6,22,18,1
stt4,page_0196,9,22,19,3
stt4,page_0224,9,20,18,1
stt4,page_0226,7,22,17,1
stt4,page_0228,8,22,19,1
stt4,page_0232,3,20,18,1
stt4,page_0260,2,21,19,2
stt4,page_0260,7,21,20,2
stt4,page_0262,4,20,18,2
stt4,page_0264,1,20,13,1
stt4,page_0272,1,23,21,1
stt4,page_0272,8,22,18,1
stt4,page_0282,8,22,19,1
stt4,page_0290,9,23,22,2
