book,page,column,nom_idx,syl_idx,tier,syllable,bbox_truoc,bbox_sau,image
stt11,page_0094,5,16,16,SYLLABLE,sạch,"[863, 1715, 969, 1813]","[879, 1781, 983, 1882]",syllable/stt11_page_0094_c05_104.png
stt11,page_0098,9,15,14,GOLD,các,"[252, 1752, 356, 1866]","[279, 1836, 381, 1947]",gold/stt11_page_0098_c09_162.png
stt11,page_0108,1,14,15,REVIEW,một,"[1471, 1865, 1576, 1985]","[1455, 1775, 1574, 1891]",
stt11,page_0110,2,15,14,GOLD,kia,"[1293, 1830, 1409, 1953]","[1314, 1918, 1432, 2035]",gold/stt11_page_0110_c02_035.png
stt11,page_0112,8,0,0,REVIEW,sức,"[269, 415, 379, 529]","[414, 420, 528, 534]",
stt11,page_0126,8,9,7,GOLD,thiên,"[408, 1268, 509, 1385]","[411, 1094, 507, 1212]",gold/stt11_page_0126_c08_133.png
stt11,page_0156,7,15,15,GOLD,liền,"[575, 1751, 685, 1864]","[574, 1818, 680, 1931]",gold/stt11_page_0156_c07_151.png
stt11,page_0156,9,12,11,GOLD,cây,"[264, 1422, 362, 1534]","[261, 1512, 367, 1622]",gold/stt11_page_0156_c09_190.png
stt11,page_0196,3,4,4,GOLD,nghe,"[1177, 788, 1282, 902]","[1178, 858, 1281, 989]",gold/stt11_page_0196_c03_048.png
stt11,page_0208,5,18,18,GOLD,thì,"[927, 2070, 1031, 2182]","[944, 2142, 1041, 2256]",gold/stt11_page_0208_c05_107.png
stt11,page_0272,1,7,8,GOLD,khi,"[1524, 1176, 1630, 1289]","[1539, 1105, 1646, 1217]",gold/stt11_page_0272_c01_007.png
stt2,page_0034,1,5,6,GOLD,đêm,"[1410, 1019, 1513, 1136]","[1423, 955, 1516, 1072]",gold/stt2_page_0034_c01_005.png
stt2,page_0038,6,8,9,GOLD,được,"[690, 1396, 803, 1520]","[698, 1298, 812, 1420]",gold/stt2_page_0038_c06_112.png
stt2,page_0038,6,10,11,GOLD,thì,"[692, 1601, 800, 1723]","[698, 1502, 812, 1624]",gold/stt2_page_0038_c06_114.png
stt2,page_0054,3,4,4,SYLLABLE,nhiêu,"[1128, 955, 1239, 1071]","[1125, 848, 1239, 964]",syllable/stt2_page_0054_c03_046.png
stt2,page_0056,5,13,13,GOLD,lòng,"[817, 1637, 921, 1743]","[822, 1585, 922, 1685]",gold/stt2_page_0056_c05_098.png
stt2,page_0090,5,4,5,GOLD,giờ,"[815, 902, 919, 1006]","[806, 831, 920, 938]",gold/stt2_page_0090_c05_081.png
stt2,page_0104,5,3,4,GOLD,nên,"[824, 813, 932, 938]","[827, 735, 930, 864]",gold/stt2_page_0104_c05_090.png
stt2,page_0104,7,18,18,GOLD,mặc,"[513, 2083, 622, 2199]","[508, 2165, 620, 2282]",gold/stt2_page_0104_c07_145.png
stt2,page_0160,2,15,15,SYLLABLE,vào,"[1263, 2067, 1376, 2200]","[1265, 2158, 1371, 2293]",syllable/stt2_page_0160_c02_034.png
stt2,page_0178,4,16,16,GOLD,theo,"[987, 2191, 1096, 2323]","[987, 2285, 1091, 2418]",gold/stt2_page_0178_c04_072.png
stt2,page_0180,3,12,12,GOLD,kêu,"[1122, 1690, 1232, 1819]","[1121, 1766, 1230, 1895]",gold/stt2_page_0180_c03_050.png
stt2,page_0194,4,12,12,GOLD,lắm,"[943, 1749, 1059, 1884]","[930, 1831, 1060, 1965]",gold/stt2_page_0194_c04_068.png
stt2,page_0206,4,17,16,SYLLABLE,vì,"[987, 2216, 1101, 2347]","[981, 2312, 1110, 2442]",syllable/stt2_page_0206_c04_073.png
stt2,page_0226,7,1,2,GOLD,cho,"[571, 675, 674, 791]","[579, 585, 670, 701]",gold/stt2_page_0226_c07_120.png
stt2,page_0228,6,5,6,GOLD,kẻo,"[696, 1060, 798, 1179]","[695, 987, 805, 1108]",gold/stt2_page_0228_c06_090.png
stt2,page_0278,2,10,10,GOLD,mặc,"[1273, 1541, 1393, 1677]","[1269, 1654, 1390, 1793]",gold/stt2_page_0278_c02_029.png
stt2,page_0278,4,14,14,GOLD,ta,"[982, 1816, 1089, 1935]","[984, 1891, 1090, 2012]",gold/stt2_page_0278_c04_070.png
stt2,page_0296,9,3,2,GOLD,sự,"[241, 833, 368, 989]","[264, 710, 385, 862]",gold/stt2_page_0296_c09_147.png
stt2,page_0296,9,7,6,GOLD,khó,"[243, 1317, 364, 1464]","[264, 1217, 385, 1369]",gold/stt2_page_0296_c09_151.png
stt2,page_0306,3,14,14,GOLD,ta,"[1134, 1904, 1242, 2027]","[1148, 1972, 1246, 2100]",gold/stt2_page_0306_c03_052.png
stt4,page_0062,4,14,15,REVIEW,nghìn,"[653, 1160, 726, 1236]","[655, 1102, 728, 1174]",
stt4,page_0140,4,7,6,GOLD,cất,"[661, 595, 732, 671]","[662, 656, 732, 730]",gold/stt4_page_0140_c04_071.png
stt4,page_0140,8,13,13,SYLLABLE,rằng,"[269, 1092, 338, 1173]","[270, 1135, 338, 1220]",syllable/stt4_page_0140_c08_168.png
stt4,page_0142,4,21,21,SYLLABLE,chết,"[756, 1595, 831, 1672]","[707, 1597, 779, 1667]",syllable/stt4_page_0142_c04_087.png
stt4,page_0232,3,12,12,SYLLABLE,rằng,"[766, 1025, 837, 1105]","[771, 1069, 839, 1152]",syllable/stt4_page_0232_c03_052.png
stt4,page_0260,7,9,10,SYLLABLE,chém,"[371, 886, 435, 963]","[375, 819, 440, 895]",syllable/stt4_page_0260_c07_146.png
stt4,page_0260,7,16,17,SYLLABLE,đem,"[376, 1326, 445, 1408]","[375, 1266, 440, 1342]",syllable/stt4_page_0260_c07_153.png
stt4,page_0262,4,19,19,GOLD,chớ,"[681, 1505, 751, 1585]","[671, 1566, 745, 1644]",gold/stt4_page_0262_c04_069.png
