book,page,n_cells
stt2,page_0314,12
stt2,page_0280,12
stt4,page_0060,11
stt4,page_0078,11
stt4,page_0080,10
stt2,page_0104,10
stt4,page_0272,10
stt4,page_0168,10
stt4,page_0140,10
stt11,page_0144,10
stt2,page_0312,10
stt2,page_0272,10
stt11,page_0010_p0220,10
stt11,page_0096,9
stt2,page_0130,9
stt4,page_0152,9
stt11,page_0208,9
stt2,page_0084,9
stt11,page_0162,9
stt4,page_0118,9
stt4,page_0062,9
stt2,page_0192,9
stt2,page_0210,9
stt4,page_0228,9
stt2,page_0142_p0132,9
stt11,page_0034,9
stt4,page_0300,9
stt4,page_0082,8
stt2,page_0268,8
stt4,page_0256,8
stt11,page_0128,8
stt11,page_0292,8
stt4,page_0158,8
stt2,page_0138,8
stt4,page_0114,8
stt2,page_0148,8
stt2,page_0282,8
stt11,page_0108,8
stt11,page_0056,8
stt11,page_0146,8
stt11,page_0226,8
stt2,page_0050,8
stt2,page_0040,8
stt4,page_0220,8
stt11,page_0256,8
stt2,page_0160,8
stt4,page_0024,8
stt11,page_0254,7
stt11,page_0154,7
stt11,page_0296,7
stt11,page_0158,7
stt11,page_0040,7
stt4,page_0278,7
stt4,page_0262,7
stt11,page_0270,7
stt2,page_0278,7
stt11,page_0222,7
stt4,page_0030,7
stt2,page_0156,7
stt4,page_0260,7
