book,page,column,nom_idx,syl_idx,bbox_cu,bbox_truoc_lock,iou,box_source_truoc_lock,count_source,n_ocr,n_qn,n_det,same,dy,h,dy_pitch
stt11,page_0024,9,4,4,"[262, 785, 359, 830]","[262, 785, 359, 896]",0.405,detector,equal_qn,23,23,23,False,33.0,45,0.7333333333333333
stt11,page_0040,3,7,9,"[1177, 1066, 1267, 1172]","[1170, 1103, 1274, 1212]",0.423,detector,equal_ocr,23,24,23,False,38.5,106,0.3632075471698113
stt11,page_0056,4,10,11,"[1029, 1418, 1140, 1537]","[1029, 1523, 1143, 1643]",0.061,detector,equal_qn,20,21,21,False,105.5,119,0.8865546218487395
stt11,page_0092,7,11,11,"[558, 1476, 696, 1592]","[567, 1419, 672, 1536]",0.286,detector,equal_qn,21,22,22,False,-56.5,116,-0.4870689655172414
stt11,page_0094,5,15,15,"[863, 1715, 969, 1813]","[866, 1640, 966, 1739]",0.134,detector,equal_qn,24,25,25,False,-74.5,98,-0.7602040816326531
stt11,page_0096,9,21,21,"[275, 2395, 361, 2498]","[283, 2322, 383, 2430]",0.161,detector,equal_qn,22,23,23,False,-70.5,103,-0.6844660194174758
stt11,page_0098,9,14,13,"[279, 1744, 381, 1854]","[255, 1657, 355, 1770]",0.096,detector,equal_qn,22,22,22,False,-85.5,110,-0.7772727272727272
stt11,page_0100,1,10,10,"[1463, 1462, 1592, 1588]","[1479, 1419, 1584, 1539]",0.389,detector,equal_qn,20,21,21,False,-46.0,126,-0.36507936507936506
stt11,page_0106,8,11,11,"[435, 1442, 553, 1549]","[422, 1410, 526, 1524]",0.438,detector,conflict,23,23,22,False,-28.5,107,-0.26635514018691586
stt11,page_0108,1,15,16,"[1471, 1865, 1576, 1985]","[1472, 1971, 1576, 2090]",0.062,detector,equal_qn,21,21,21,False,105.5,120,0.8791666666666667
stt11,page_0110,2,14,13,"[1314, 1821, 1432, 1938]","[1293, 1738, 1409, 1856]",0.138,detector,equal_qn,21,21,21,False,-82.5,117,-0.7051282051282052
stt11,page_0112,6,7,6,"[712, 1080, 811, 1193]","[705, 958, 813, 1072]",0.0,detector,equal_qn,22,23,23,False,-121.5,113,-1.075221238938053
stt11,page_0126,6,5,6,"[722, 898, 828, 1012]","[721, 984, 830, 1097]",0.138,detector,equal_qn,21,22,22,False,85.5,114,0.75
stt11,page_0126,6,14,15,"[732, 1780, 839, 1898]","[713, 1818, 819, 1932]",0.392,detector,equal_qn,21,22,22,False,36.0,118,0.3050847457627119
