book,page,column,nom_idx,syl_idx,bbox_cu,bbox_truoc_lock,iou,box_source_truoc_lock,count_source,n_ocr,n_qn,n_det
stt11,page_0010,6,12,13,"[699, 1676, 808, 1793]","[699, 1676, 808, 1793]",1.000,detector,conflict,20,22,21
stt11,page_0010_p0028,9,18,43,"[279, 2090, 375, 2199]","[283, 2090, 381, 2205]",0.857,detector,equal_ocr,22,47,22
stt11,page_0010_p0220,1,1,1,"[1472, 542, 1576, 657]","[1472, 542, 1576, 657]",1.000,detector,equal_qn,22,22,22
stt11,page_0010_p0220,2,19,19,"[1315, 2310, 1418, 2429]","[1315, 2310, 1418, 2429]",1.000,detector,equal_qn,21,21,21
stt11,page_0010_p0220,3,8,8,"[1166, 1202, 1271, 1320]","[1166, 1202, 1271, 1320]",1.000,detector,equal_qn,21,21,21
stt11,page_0010_p0220,4,4,4,"[1028, 802, 1129, 911]","[1028, 802, 1129, 911]",1.000,detector,equal_qn,23,23,23
stt11,page_0010_p0220,5,6,7,"[868, 1019, 972, 1138]","[868, 1019, 972, 1138]",1.000,detector,equal_ocr,21,22,21
stt11,page_0010_p0220,5,16,17,"[860, 2002, 960, 2118]","[860, 2002, 960, 2118]",1.000,detector,equal_ocr,21,22,21
stt11,page_0010_p0220,6,20,20,"[712, 2302, 809, 2411]","[712, 2302, 809, 2411]",1.000,detector,equal_qn,22,22,22
stt11,page_0010_p0220,7,19,20,"[562, 2193, 660, 2304]","[562, 2193, 660, 2304]",1.000,detector,equal_ocr,22,23,22
stt11,page_0010_p0220,9,2,2,"[263, 628, 359, 739]","[263, 628, 359, 739]",1.000,detector,equal_qn,22,22,22
stt11,page_0010_p0220,9,17,17,"[256, 1996, 355, 2106]","[269, 2005, 360, 2110]",0.739,detector,equal_qn,22,22,22
stt11,page_0012,3,5,5,"[1197, 937, 1303, 1054]","[1197, 937, 1303, 1054]",1.000,detector,equal_qn,21,21,21
stt11,page_0012,9,11,11,"[270, 1519, 377, 1641]","[270, 1519, 377, 1641]",1.000,detector,equal_qn,21,21,21
stt11,page_0014,7,8,8,"[533, 1216, 641, 1335]","[533, 1216, 641, 1335]",1.000,detector,equal_qn,21,21,21
stt11,page_0014,9,7,8,"[242, 1108, 340, 1212]","[242, 1108, 340, 1212]",1.000,detector,equal_qn,22,24,24
stt11,page_0016,4,22,23,"[1039, 2430, 1152, 2538]","[1039, 2430, 1152, 2538]",1.000,detector,equal_ocr,23,24,23
stt11,page_0016,5,18,17,"[877, 2135, 996, 2248]","[880, 2128, 990, 2247]",0.867,detector,equal_ocr,22,21,22
stt11,page_0016,6,11,11,"[731, 1476, 839, 1590]","[731, 1476, 839, 1590]",1.000,detector,equal_qn,22,22,22
stt11,page_0018,4,4,3,"[1020, 794, 1130, 906]","[1017, 795, 1126, 910]",0.899,detector,equal_ocr,22,21,22
stt11,page_0018,7,15,15,"[559, 1718, 655, 1823]","[559, 1718, 655, 1823]",1.000,detector,equal_qn,24,24,24
stt11,page_0020,2,12,12,"[1318, 1524, 1427, 1630]","[1325, 1524, 1430, 1632]",0.895,detector,equal_qn,23,23,23
stt11,page_0022,9,8,8,"[235, 1096, 324, 1194]","[235, 1096, 324, 1194]",1.000,detector,equal_qn,24,25,25
stt11,page_0024,9,4,4,"[262, 785, 359, 830]","[262, 785, 359, 896]",0.405,detector,equal_qn,23,23,23
stt11,page_0024,9,8,8,"[257, 1130, 378, 1238]","[271, 1137, 372, 1246]",0.735,detector,equal_qn,23,23,23
stt11,page_0026,2,1,1,"[1292, 506, 1397, 622]","[1292, 506, 1397, 622]",1.000,detector,equal_qn,22,22,22
stt11,page_0026,2,14,14,"[1291, 1729, 1398, 1845]","[1291, 1729, 1398, 1845]",1.000,detector,equal_qn,22,22,22
stt11,page_0026,2,20,20,"[1293, 2301, 1396, 2410]","[1293, 2301, 1396, 2410]",1.000,detector,equal_qn,22,22,22
stt11,page_0026,3,11,11,"[1143, 1444, 1250, 1561]","[1143, 1444, 1250, 1561]",1.000,detector,equal_qn,22,22,22
