book,page,column,shift,run_len,nom_idx,syl_idx,ocr_char,syllable,argmax,max_prob,p_syl,tier,tier_v3,box_source,qd01_locked,n_ocr,n_qn,n_det
stt11,page_0014,4,-1,6,11,11,支,giê,chúa,0.664682,0.296756,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0014,4,-1,6,12,12,秋,su,giê,0.760388,0.0256783,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0014,4,-1,6,13,13,嘿,ra,su,0.738976,0.00492959,SYLLABLE,SYL,detector,0,22,22,22
stt11,page_0014,4,-1,6,14,14,代,đời,ra,0.750979,4.8707e-05,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0014,4,-1,6,15,15,巴,ba,đời,0.681109,0.034893,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0014,4,-1,6,16,16,罟,là,ba,0.523373,0.382534,SYLLABLE,SYL,detector,0,22,22,22
stt11,page_0014,8,-1,6,4,6,楼,lâu,cho,0.58415,0.000115933,GOLD,CHAR_A,midpoint,0,20,22,23
stt11,page_0014,8,-1,6,5,7,爲,vì,lâu,0.568393,0.000503589,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0014,8,-1,6,6,8,朱,cho,vì,0.981212,2.04942e-08,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0014,8,-1,6,7,9,各,các,cho,0.909067,4.9474e-05,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0014,8,-1,6,8,10,垩,thánh,các,0.998946,7.99673e-07,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0014,8,-1,6,9,11,享,hưởng,thánh,0.869027,,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0016,1,-1,3,8,5,年,nên,đạo,0.552522,0.211668,GOLD,CHAR_A,detector,0,25,22,22
stt11,page_0016,1,-1,3,9,6,共,cùng,nên,0.94814,0.00366336,GOLD,CHAR_A,detector,0,25,22,22
stt11,page_0016,1,-1,3,10,7,塊,khỏi,cùng,0.516266,0.153056,GOLD,CHAR_A,detector,0,25,22,22
stt11,page_0016,4,1,3,6,6,八,ý,khuyên,0.85639,5.47628e-05,REVIEW,REVIEW,legacy_locked_col,0,23,24,23
stt11,page_0016,4,1,3,7,7,觔,khuyên,các,0.712055,0.013611,REVIEW,REVIEW,legacy_locked_col,0,23,24,23
stt11,page_0016,4,1,3,8,8,各,các,con,0.982725,0.000138753,GOLD,CHAR_A,legacy_locked_col,0,23,24,23
stt11,page_0016,9,1,5,3,3,朱,cho,được,0.928865,0.0504724,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0016,9,1,5,4,4,特,được,phần,0.814882,0.00472226,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0016,9,1,5,5,5,分,phần,vui,0.873494,0.00342799,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0016,9,1,5,6,6,盃,vui,cùng,0.769352,0.02104,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0016,9,1,5,7,7,共,cùng,các,0.572292,0.291301,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0018,7,-1,4,10,10,庒,chăng,chân,0.848896,0.000259225,GOLD,CHAR_A,legacy_locked_col,0,24,24,24
stt11,page_0018,7,-1,4,11,11,特,được,chăng,0.78827,1.49713e-05,GOLD,CHAR_A,legacy_locked_col,0,24,24,24
stt11,page_0018,7,-1,4,12,12,𡖋,làm,được,0.914855,0.000911882,SYLLABLE,SYL,legacy_locked_col,0,24,24,24
stt11,page_0018,7,-1,4,13,13,伴,bạn,làm,0.626701,0.188999,GOLD,CHAR_A,legacy_locked_col,0,24,24,24
stt11,page_0020,3,-1,6,14,14,中,trong,cầm,0.868709,0.0243117,GOLD,CHAR_A,detector,0,24,24,24
stt11,page_0020,3,-1,6,15,15,内,tù,trong,0.840339,0.000289187,SYLLABLE,SYL,detector,0,24,24,24
stt11,page_0020,3,-1,6,16,16,落,rạc,tù,0.68461,0.000298367,GOLD,CHAR_A,detector,0,24,24,24
stt11,page_0020,3,-1,6,17,17,煴,lửa,rạc,0.853051,0.000151205,REVIEW,REVIEW,detector,0,24,24,24
stt11,page_0020,3,-1,6,18,18,朱,cho,lửa,0.899354,1.92235e-05,GOLD,CHAR_A,detector,0,24,24,24
stt11,page_0020,3,-1,6,19,19,症,sạch,cho,0.587296,8.03043e-05,SYLLABLE,SYL,detector,0,24,24,24
stt11,page_0020,8,-1,4,9,9,忌,này,lời,0.878842,1.70978e-05,GOLD,CHAR_B,detector,0,26,26,26
stt11,page_0020,8,-1,4,10,10,庒,chăng,này,0.736634,0.000335463,GOLD,CHAR_A,detector,0,26,26,26
stt11,page_0020,8,-1,4,11,11,固,có,chăng,0.897708,0.00270119,GOLD,CHAR_A,detector,0,26,26,26
stt11,page_0020,8,-1,4,12,12,唱,nói,có,0.997491,4.41622e-07,REVIEW,REVIEW,detector,0,26,26,26
stt11,page_0020,8,-1,3,20,20,中,trong,ở,0.932785,3.76379e-05,GOLD,CHAR_A,detector,0,26,26,26
stt11,page_0020,8,-1,3,21,21,八,ấy,trong,0.944415,0.000460318,SYLLABLE,SYL,detector,0,26,26,26
stt11,page_0020,8,-1,3,22,22,厅,đức,ấy,0.646122,0.0574166,SYLLABLE,SYL,detector,0,26,26,26
