image,book,page,column,nom_idx,syl_idx,ocr_char,syllable,tier,tier_v3,rule,tier_goc,rule_goc,bbox,p_syl_v3,argmax,max_prob,p_left,p_right,fold,gate_09,gate_08,rule_de_xuat
,stt11,page_0010,6,1,2,平,hạ,REVIEW,REVIEW,no_context,,,"[698, 504, 807, 627]",0.831258,hạ,0.831258,,0.000269552,4,0,1,visual_syl_gate
,stt11,page_0010,8,8,8,柩,lấy,REVIEW,REVIEW,no_context,,,"[394, 1169, 500, 1290]",0.977521,lấy,0.977521,0.000296045,3.12029e-05,4,1,1,visual_syl_gate
,stt11,page_0010,9,8,8,化,dạy,REVIEW,REVIEW,no_context,,,"[245, 1133, 337, 1242]",0.935408,dạy,0.935408,3.41977e-06,,4,1,1,visual_syl_gate
,stt11,page_0010_p0028,9,6,31,瓦,trời,REVIEW,REVIEW,no_context,,,"[279, 993, 375, 1102]",0.88282,trời,0.88282,0.000507539,0.0227497,0,0,1,visual_syl_gate
,stt11,page_0010_p0220,3,5,5,眠,dạy,REVIEW,REVIEW,no_context,,,"[1168, 915, 1268, 1030]",0.933697,dạy,0.933697,0.000354319,2.26509e-05,1,1,1,visual_syl_gate
,stt11,page_0010_p0220,6,9,9,肾,tiếng,REVIEW,REVIEW,no_context,,,"[708, 1298, 812, 1415]",0.894918,tiếng,0.894918,0.000390667,2.09486e-05,1,0,1,visual_syl_gate
,stt11,page_0010_p0220,9,8,8,应,nhà,REVIEW,REVIEW,no_context,,,"[256, 1173, 355, 1283]",0.829839,nhà,0.829839,0.0137178,0.000801596,1,0,1,visual_syl_gate
,stt11,page_0012,4,5,5,咩,còn,REVIEW,REVIEW,no_context,,,"[1046, 915, 1153, 1028]",0.913238,còn,0.913238,7.90593e-05,0.000128326,0,1,1,visual_syl_gate
,stt11,page_0012,5,18,18,美,nghĩa,REVIEW,REVIEW,no_context,,,"[885, 2200, 998, 2322]",0.934381,nghĩa,0.934381,0.00139045,1.72319e-05,0,1,1,visual_syl_gate
,stt11,page_0012,8,15,16,喚,ăn,REVIEW,REVIEW,no_context,,,"[417, 1829, 529, 1949]",0.987747,ăn,0.987747,0.00226576,7.96794e-05,0,1,1,visual_syl_gate
,stt11,page_0014,9,4,4,人,ấy,REVIEW,REVIEW,low_posterior,,,"[232, 796, 332, 908]",0.831056,ấy,0.831056,,,0,0,1,visual_syl_gate
,stt11,page_0016,5,16,15,兴,là,REVIEW,REVIEW,no_context,,,"[877, 1947, 996, 2059]",0.861212,là,0.861212,0.000113247,7.31179e-05,0,0,1,visual_syl_gate
