book,page,column,nom_idx,syl_idx,syllable,ocr_char,label,unicode,bbox_cu,prev_bbox_cu,next_bbox_cu,image_md5_cu,image_cu,tier_build,rule_build
stt11,page_0010,6,12,13,người,㝵,𠊚,U+2029A,"[699, 1676, 808, 1793]","[697, 1570, 809, 1690]","[697, 1743, 802, 1866]",d7204c246924,gold/stt11_page_0010_c06_101.png,GOLD,s1_inter_s2_direct
stt11,page_0010_p0028,9,18,43,người,㝵,𠊚,U+2029A,"[279, 2090, 375, 2199]","[283, 2047, 381, 2110]","[282, 2200, 381, 2261]",fbcf713a90cd,gold/stt11_page_0010_p0028_c09_147.png,GOLD,s1_inter_s2_direct
stt11,page_0010_p0220,1,1,1,người,昇,𠊚,U+2029A,"[1472, 542, 1576, 657]","[1470, 454, 1581, 561]","[1471, 630, 1578, 746]",944cea7d731e,silver/stt11_page_0010_p0220_c01_001.png,SILVER,s2_inter_s3_corrected
stt11,page_0010_p0220,2,19,19,người,㝵,𠊚,U+2029A,"[1315, 2310, 1418, 2429]","[1316, 2211, 1417, 2333]","[1315, 2408, 1419, 2517]",c8f7ea650baa,gold/stt11_page_0010_p0220_c02_039.png,GOLD,s1_inter_s2_direct
stt11,page_0010_p0220,3,8,8,người,早,𠊚,U+2029A,"[1166, 1202, 1271, 1320]","[1167, 1106, 1267, 1222]","[1165, 1305, 1271, 1427]",95784637f093,gold/stt11_page_0010_p0220_c03_048.png,GOLD,s1_inter_s2_similar
stt11,page_0010_p0220,4,4,4,người,昇,𠊚,U+2029A,"[1028, 802, 1129, 911]","[1026, 715, 1130, 828]","[1027, 888, 1129, 998]",a5ac779baae0,silver/stt11_page_0010_p0220_c04_065.png,SILVER,s2_inter_s3_corrected
stt11,page_0010_p0220,5,6,7,người,㝵,𠊚,U+2029A,"[868, 1019, 972, 1138]","[867, 922, 975, 1044]","[868, 1118, 970, 1236]",4895c6d48f76,gold/stt11_page_0010_p0220_c05_090.png,GOLD,s1_inter_s2_direct
stt11,page_0010_p0220,5,16,17,người,旱,𠊚,U+2029A,"[860, 2002, 960, 2118]","[859, 1913, 961, 2031]","[860, 2097, 959, 2214]",2a283aca15a4,gold/stt11_page_0010_p0220_c05_100.png,GOLD,s1_inter_s2_similar
stt11,page_0010_p0220,6,20,20,người,早,𠊚,U+2029A,"[712, 2302, 809, 2411]","[711, 2217, 810, 2324]","[711, 2390, 810, 2491]",b2d8620cab14,gold/stt11_page_0010_p0220_c06_125.png,GOLD,s1_inter_s2_similar
stt11,page_0010_p0220,7,19,20,người,早,𠊚,U+2029A,"[562, 2193, 660, 2304]","[554, 2100, 648, 2210]","[563, 2280, 660, 2391]",c596d1e78149,gold/stt11_page_0010_p0220_c07_146.png,GOLD,s1_inter_s2_similar
stt11,page_0010_p0220,9,2,2,người,早,𠊚,U+2029A,"[263, 628, 359, 739]","[256, 535, 355, 645]","[258, 715, 353, 826]",868255266407,gold/stt11_page_0010_p0220_c09_173.png,GOLD,s1_inter_s2_similar
