book	edition	page_id	page_image	verse_idx_in_page	col_index	part	patch_image	patch_preprocessed	split	col_bbox_xywh	nom_text	nom_unicode	n_nom	qn_verse	n_qn_syll	len_match	nomnaocr_label	nna_eq_ihr
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	0	0	1	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_0_1.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_0_1.jpg	train	424.3,152.1,41.4,520.9	畧畑䀡傳西銘	U+7567 U+7551 U+4021 U+50B3 U+897F U+9298	6	Trước đèn xem chuyện Tây Minh	6	1	畧畑䀡傳西銘	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	1	0	2	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_0_2.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_0_2.jpg	train	424.3,152.1,41.4,520.9	𡄎唭𠄩𡦂人情喓𠻗	U+2110E U+552D U+20129 U+21982 U+4EBA U+60C5 U+5593 U+20ED7	8	Ngẫm cười hai chữ nhân tình éo le	8	1	𡄎唭𠄩𡦂人情喓𠻗	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	2	1	1	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_1_1.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_1_1.jpg	train	371.9,152.7,43.2,522.1	埃匕𠳺匕麻𦖑	U+57C3 U+5315 U+20CFA U+5315 U+9EBB U+26591	6	Ai ai lẳng lặng mà nghe	6	1	埃匕𠳺匕麻𦖑	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	3	1	2	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_1_2.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_1_2.jpg	train	371.9,152.7,43.2,522.1	𡨺噒役畧苓𠽮身𡢐	U+21A3A U+5652 U+5F79 U+7567 U+82D3 U+20F6E U+8EAB U+21890	8	Dữ răn việc trước, lành dè thân sau	8	1	𡨺噒役畧苓𠽮身𡢐	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	4	2	1	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_2_1.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_2_1.jpg	train	318.3,152.7,40.8,523.3	𤳆辰忠孝󰥎頭	U+24CC6 U+8FB0 U+5FE0 U+5B5D U+F094E U+982D	6	Trai thời trung hiếu làm đầu	6	1	𤳆辰忠孝󰥎頭	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	5	2	2	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_2_2.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_2_2.jpg	train	318.3,152.7,40.8,523.3	𡛔辰節行󰑼句捞𨉓	U+216D4 U+8FB0 U+7BC0 U+884C U+F047C U+53E5 U+635E U+28253	8	Gái thời tiết hạnh là câu trau mình	8	1	𡛔辰節行󰑼句捞𨉓	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	6	3	1	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_3_1.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_3_1.jpg	train	269.0,153.3,40.8,525.1	固𠊛扵郡東城	U+56FA U+2029B U+6275 U+90E1 U+6771 U+57CE	6	Có người ở quận Ðông Thành	6	1	固𠊛扵郡東城	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	7	3	2	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_3_2.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_3_2.jpg	train	269.0,153.3,40.8,525.1	修仁積󱉎󰉲生昆䝨	U+4FEE U+4EC1 U+7A4D U+F124E U+F0272 U+751F U+6606 U+4768	8	Tu nhân tích đức sớm sinh con hiền	8	1	修仁積󱉎󰉲生昆䝨	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	8	4	1	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_4_1.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_4_1.jpg	train	218.5,153.3,42.0,525.7	達𠸜󰑼陸雲仙	U+9054 U+20E1C U+F047C U+9678 U+96F2 U+4ED9	6	Ðặt tên là Lục Vân Tiên	6	1	達𠸜󰑼陸雲仙	1
LucVanTien1916	nlvnpf-0059 (in mộc bản 1916)	nlvnpf-0059-002	data/LucVanTien1916/pages/images/nlvnpf-0059-002.jpg	9	4	2	data/LucVanTien1916/patches/nlvnpf-0059-002.jpg_4_2.jpg	data/LucVanTien1916/patches_preprocessed/train/nlvnpf-0059-002.jpg_4_2.jpg	train	218.5,153.3,42.0,525.7	歲𣃣𠄩糁芸專斈行	U+6B72 U+230E3 U+20129 U+7CC1 U+82B8 U+5C08 U+6588 U+884C	8	Tuổi vừa hai tám, nghề chuyên học hành	8	1	歲𣃣𠄩糁芸專斈行	1
