book	edition	page_id	page_image	verse_idx_in_page	col_index	part	patch_image	patch_preprocessed	split	col_bbox_xywh	nom_text	nom_unicode	n_nom	qn_verse	n_qn_syll	len_match	nomnaocr_label	nna_eq_ihr
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	0	0	1	data/TruyenKieu1872/patches/page02a.jpg_0_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_0_1.jpg	train	355.3,7.6,33.2,563.7	𤾓𢆥𥪝𡎝𠊛些	U+24F93 U+221A5 U+25A9D U+2139D U+2029B U+4E9B	6	Trăm năm trong cõi người ta,	6	1	𤾓𢆥𥪝𡎝𠊛些	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	1	0	2	data/TruyenKieu1872/patches/page02a.jpg_0_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_0_2.jpg	train	355.3,7.6,33.2,563.7	𡦂才𡦂色窖󰑼󰡒僥	U+21982 U+624D U+21982 U+8272 U+7A96 U+F047C U+F0852 U+50E5	8	Chữ tài chữ SẮC khéo là CỢT nhau.	8	1	𡦂才𡦂色窖󰑼󰡒僥	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	2	1	1	data/TruyenKieu1872/patches/page02a.jpg_1_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_1_1.jpg	train	316.6,8.8,33.4,561.9	󰠵戈蔑局波橷	U+F0835 U+6208 U+8511 U+5C40 U+6CE2 U+6A77	6	Trải qua một cuộc bể dâu,	6	1	󰠵戈蔑局波橷	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	3	1	2	data/TruyenKieu1872/patches/page02a.jpg_1_2.jpg	data/TruyenKieu1872/patches_preprocessed/val/page02a.jpg_1_2.jpg	val	316.6,8.8,33.4,561.9	仍調𬂙𧡊㐌𤴬疸𢚸	U+4ECD U+8ABF U+2C099 U+2784A U+340C U+24D2C U+75B8 U+226B8	8	Những điều trông thấy ĐÃ đau đớn lòng.	8	1	仍調𬂙𧡊㐌𤴬疸𢚸	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	4	2	1	data/TruyenKieu1872/patches/page02a.jpg_2_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_2_1.jpg	train	282.2,10.5,30.4,558.2	𨔍之彼嗇斯豊	U+2850D U+4E4B U+5F7C U+55C7 U+65AF U+8C4A	6	Lạ gì bỉ sắc tư phong,	6	1	𨔍之彼嗇斯豊	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	5	2	2	data/TruyenKieu1872/patches/page02a.jpg_2_2.jpg	data/TruyenKieu1872/patches_preprocessed/val/page02a.jpg_2_2.jpg	val	282.2,10.5,30.4,558.2	𡗶撑涓貝𦟐紅打悭	U+215F6 U+6491 U+6D93 U+8C9D U+267D0 U+7D05 U+6253 U+60AD	8	Trời xanh quen VỚI má hồng đánh ghen.	8	1	𡗶撑涓貝𦟐紅打悭	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	6	3	1	data/TruyenKieu1872/patches/page02a.jpg_3_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_3_1.jpg	train	243.9,8.8,31.7,560.8	稿𦹳吝捕畧畑	U+7A3F U+26E73 U+541D U+6355 U+7567 U+7551	6	Cảo thơm lần GIỞ trước đèn,	6	1	稿𦹳吝捕畧畑	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	7	3	2	data/TruyenKieu1872/patches/page02a.jpg_3_2.jpg	data/TruyenKieu1872/patches_preprocessed/val/page02a.jpg_3_2.jpg	val	243.9,8.8,31.7,560.8	風情固錄群傳史撑	U+98A8 U+60C5 U+56FA U+9304 U+7FA4 U+50B3 U+53F2 U+6491	8	Phong tình có lục còn truyền sử xanh.	8	1	風情固錄群傳史撑	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	8	4	1	data/TruyenKieu1872/patches/page02a.jpg_4_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_4_1.jpg	train	211.3,10.3,28.9,562.4	浪𢆥嘉靖朝明	U+6D6A U+221A5 U+5609 U+9756 U+671D U+660E	6	Rằng: năm Gia Tĩnh triều Minh,	6	1	浪𢆥嘉靖朝明	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	9	4	2	data/TruyenKieu1872/patches/page02a.jpg_4_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_4_2.jpg	train	211.3,10.3,28.9,562.4	𦊚方滂𣼽𠄩京凭鐄	U+2629A U+65B9 U+6EC2 U+23F3D U+20129 U+4EAC U+51ED U+9404	8	Bốn phương phẳng lặng hai kinh vững vàng	8	1	𦊚方滂𣼽𠄩京凭鐄	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	10	5	1	data/TruyenKieu1872/patches/page02a.jpg_5_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_5_1.jpg	train	173.2,9.6,30.2,561.4	固茹員外户王	U+56FA U+8339 U+54E1 U+5916 U+6237 U+738B	6	Có nhà viên ngoại họ Vương,	6	1	固茹員外户王	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	11	5	2	data/TruyenKieu1872/patches/page02a.jpg_5_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_5_2.jpg	train	173.2,9.6,30.2,561.4	家資𢪀拱常常堛中	U+5BB6 U+8CC7 U+22A80 U+62F1 U+5E38 U+5E38 U+581B U+4E2D	8	Gia tư NGHĨ cũng thường thường bực trung.	8	1	家資𢪀拱常常堛中	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	12	6	1	data/TruyenKieu1872/patches/page02a.jpg_6_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_6_1.jpg	train	135.4,11.6,30.9,559.4	𠬠󰜩𡥵次卒𢚸	U+20B20 U+F0729 U+21975 U+6B21 U+5352 U+226B8	6	Một trai con thứ rốt lòng,	6	1	𠬠󰜩𡥵次卒𢚸	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	13	6	2	data/TruyenKieu1872/patches/page02a.jpg_6_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_6_2.jpg	train	135.4,11.6,30.9,559.4	王󰞹󰑼𡦂綏𣳔儒家	U+738B U+F07B9 U+F047C U+21982 U+7D8F U+23CD4 U+5112 U+5BB6	8	Vương Quan là chữ nối dòng nho gia.	8	1	王󰞹󰑼𡦂綏𣳔儒家	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	14	7	1	data/TruyenKieu1872/patches/page02a.jpg_7_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_7_1.jpg	train	100.7,10.4,30.7,559.2	頭𢚸𠄩妸素娥	U+982D U+226B8 U+20129 U+59B8 U+7D20 U+5A25	6	Đầu lòng hai ả tố nga,	6	1	頭𢚸𠄩妸素娥	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	15	7	2	data/TruyenKieu1872/patches/page02a.jpg_7_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_7_2.jpg	train	100.7,10.4,30.7,559.2	翠翹󰑼姉㛪󰑼翠雲	U+7FE0 U+7FF9 U+F047C U+59C9 U+36EA U+F047C U+7FE0 U+96F2	8	Thuý Kiều là chị em là Thuý Vân.	8	1	翠翹󰑼姉㛪󰑼翠雲	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	16	8	1	data/TruyenKieu1872/patches/page02a.jpg_8_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_8_1.jpg	train	61.6,10.0,33.0,555.0	梅骨格雪精神	U+6885 U+9AA8 U+683C U+96EA U+7CBE U+795E	6	Mai cốt cách tuyết tinh thần,	6	1	梅骨格雪精神	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	17	8	2	data/TruyenKieu1872/patches/page02a.jpg_8_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_8_2.jpg	train	61.6,10.0,33.0,555.0	󰓳𠊚󰓳𨤔𨒒分院𨒒	U+F04F3 U+2029A U+F04F3 U+28914 U+28492 U+5206 U+9662 U+28492	8	MỘT người MỘT vẻ mười phân vẹn mười.	8	1	󰓳𠊚󰓳𨤔𨒒分院𨒒	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	18	9	1	data/TruyenKieu1872/patches/page02a.jpg_9_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_9_1.jpg	train	25.7,10.5,31.1,554.0	雲𫀅莊重恪潙	U+96F2 U+2B005 U+838A U+91CD U+606A U+6F59	6	Vân xem trang trọng khác vời,	6	1	雲𫀅莊重恪潙	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02a	data/TruyenKieu1872/pages/images/page02a.jpg	19	9	2	data/TruyenKieu1872/patches/page02a.jpg_9_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02a.jpg_9_2.jpg	train	25.7,10.5,31.1,554.0	姿丰苔𬊤湿𧍋𦬑囔	U+59FF U+4E30 U+82D4 U+2C2A4 U+6E7F U+2734B U+26B11 U+56D4	8	TƯ PHONG đầy đặn nét ngài nở nang.	8	1	姿丰苔𬊤湿𧍋𦬑囔	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	0	0	1	data/TruyenKieu1872/patches/page02b.jpg_0_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_0_1.jpg	train	341.8,14.4,32.5,556.8	花唭玉説端莊	U+82B1 U+552D U+7389 U+8AAC U+7AEF U+838A	6	Hoa cười ngọc THỐT đoan trang,	6	1	花唭玉説端莊	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	1	0	2	data/TruyenKieu1872/patches/page02b.jpg_0_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_0_2.jpg	train	341.8,14.4,32.5,556.8	𩄲誇渃󰖥雪讓牟𦝄	U+29132 U+8A87 U+6E03 U+F05A5 U+96EA U+8B93 U+725F U+26744	8	Mây KHOE nước tóc tuyết nhường màu da.	8	1	𩄲誇渃󰖥雪讓牟𦝄	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	2	1	1	data/TruyenKieu1872/patches/page02b.jpg_1_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_1_1.jpg	train	305.5,14.8,31.0,554.8	翹𫀅色稍漫麻	U+7FF9 U+2B005 U+8272 U+7A0D U+6F2B U+9EBB	6	Kiều XEM sắc sảo mặn mà,	6	1	翹𫀅色稍漫麻	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	3	1	2	data/TruyenKieu1872/patches/page02b.jpg_1_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_1_2.jpg	train	305.5,14.8,31.0,554.8	芻皮才色吏󰑼分欣	U+82BB U+76AE U+624D U+8272 U+540F U+F047C U+5206 U+6B23	8	So bề tài sắc lại là phần hơn.	8	1	芻皮才色吏󰑼分欣	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	4	2	1	data/TruyenKieu1872/patches/page02b.jpg_2_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_2_1.jpg	train	268.7,13.6,31.3,558.7	香秋水疸春山	U+9999 U+79CB U+6C34 U+75B8 U+6625 U+5C71	6	HƯƠNG thu thuỷ VẾT xuân sơn,	6	1	香秋水疸春山	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	5	2	2	data/TruyenKieu1872/patches/page02b.jpg_2_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_2_2.jpg	train	268.7,13.6,31.3,558.7	花性輸審柳𪬡劍撑	U+82B1 U+6027 U+8F38 U+5BE9 U+67F3 U+2AB21 U+528D U+6491	8	Hoa GHEN thua thắm liễu hờn kém xanh.	8	1	花性輸審柳𪬡劍撑	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	6	3	1	data/TruyenKieu1872/patches/page02b.jpg_3_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_3_1.jpg	train	235.5,14.0,30.0,560.4	𠬠𠄩迎渃迎城	U+20B20 U+20129 U+8FCE U+6E03 U+8FCE U+57CE	6	Một hai nghiêng nước nghiêng thành,	6	1	𠬠𠄩迎渃迎城	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	7	3	2	data/TruyenKieu1872/patches/page02b.jpg_3_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_3_2.jpg	train	235.5,14.0,30.0,560.4	色停隊󰓳才停和𠄩	U+8272 U+505C U+968A U+F04F3 U+624D U+505C U+548C U+20129	8	Sắc đành TRỌI một tài đành hoạ hai.	8	1	色停隊󰓳才停和𠄩	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	8	4	1	data/TruyenKieu1872/patches/page02b.jpg_4_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_4_1.jpg	train	198.6,13.3,32.2,558.8	聰明本産資𡗶	U+8070 U+660E U+672C U+7523 U+8CC7 U+215F6	6	Thông minh vốn sẵn tư trời,	6	1	聰明本産資𡗶	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	9	4	2	data/TruyenKieu1872/patches/page02b.jpg_4_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_4_2.jpg	train	198.6,13.3,32.2,558.8	披芸書𪽗覩味𰙔吟	U+62AB U+82B8 U+66F8 U+2AF57 U+89A9 U+5473 U+30654 U+541F	8	Pha nghề THƯ hoạ đủ mùi ca ngâm.	8	1	披芸書𪽗覩味𰙔吟	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	10	5	1	data/TruyenKieu1872/patches/page02b.jpg_5_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_5_1.jpg	train	164.4,12.5,29.6,562.3	宫商漏堛𠄼音	U+5BAB U+5546 U+6F0F U+581B U+2013C U+97F3	6	Cung thương làu bậc năm âm,	6	1	宫商漏堛𠄼音	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	11	5	2	data/TruyenKieu1872/patches/page02b.jpg_5_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_5_2.jpg	train	164.4,12.5,29.6,562.3	芸𥢆咹󰡖胡琴𠬠張	U+82B8 U+25886 U+54B9 U+F0856 U+80E1 U+7434 U+20B20 U+5F35	8	Nghề riêng ăn đứt hồ cầm một trương.	8	1	芸𥢆咹󰡖胡琴𠬠張	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	12	6	1	data/TruyenKieu1872/patches/page02b.jpg_6_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_6_1.jpg	train	128.8,13.2,29.5,558.7	曲茹𢬣𢫘𢧚腔	U+66F2 U+8339 U+22B23 U+22AD8 U+229DA U+8154	6	Khúc nhà tay lựa nên XOANG ,	6	1	曲茹𢬣𢫘𢧚腔	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	13	6	2	data/TruyenKieu1872/patches/page02b.jpg_6_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_6_2.jpg	train	128.8,13.2,29.5,558.7	𠬠篇薄𠇮吏強󰞽人	U+20B20 U+7BC7 U+8584 U+201EE U+540F U+5F37 U+F07BD U+4EBA	8	Một thiên Bạc mệnh lại càng não nhân.	8	1	𠬠篇薄𠇮吏強󰞽人	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	14	7	1	data/TruyenKieu1872/patches/page02b.jpg_7_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_7_1.jpg	train	89.2,15.5,29.7,557.7	󰘩流窒墨紅裙	U+F0629 U+6D41 U+7A92 U+58A8 U+7D05 U+88D9	6	Phong lưu rất mực hồng quần,	6	1	󰘩流窒墨紅裙	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	15	7	2	data/TruyenKieu1872/patches/page02b.jpg_7_2.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_7_2.jpg	train	89.2,15.5,29.7,557.7	春撑执齿𨖲旬及筓	U+6625 U+6491 U+6267 U+9F7F U+285B2 U+65EC U+53CA U+7B53	8	Xuân xanh xấp xỉ LÊN tuần cập kê.	8	1	春撑执齿𨖲旬及筓	1
TruyenKieu1872	Kiều 1872 (in mộc bản)	page02b	data/TruyenKieu1872/pages/images/page02b.jpg	16	8	1	data/TruyenKieu1872/patches/page02b.jpg_8_1.jpg	data/TruyenKieu1872/patches_preprocessed/train/page02b.jpg_8_1.jpg	train	52.1,12.7,30.2,563.3	淹𧛋帳𢷀幔𩂏	U+6DF9 U+276CB U+5E33 U+22DC0 U+5E54 U+2908F	6	ÊM NỀM trướng rủ màn che,	6	1	淹𧛋帳𢷀幔𩂏	1
