verse_no	luc_bat	qn_verse	nom_text
1	6	Trăm năm trong cõi người ta,	𤾓𢆥𥪝𡎝𠊛些
2	8	Chữ tài chữ SẮC khéo là CỢT nhau.	𡦂才𡦂色窖󰑼󰡒僥
3	6	Trải qua một cuộc bể dâu,	󰠵戈蔑局波橷
4	8	Những điều trông thấy ĐÃ đau đớn lòng.	仍調𬂙𧡊㐌𤴬疸𢚸
5	6	Lạ gì bỉ sắc tư phong,	𨔍之彼嗇斯豊
6	8	Trời xanh quen VỚI má hồng đánh ghen.	𡗶撑涓貝𦟐紅打悭
7	6	Cảo thơm lần GIỞ trước đèn,	稿𦹳吝捕畧畑
8	8	Phong tình có lục còn truyền sử xanh.	風情固錄群傳史撑
9	6	Rằng: năm Gia Tĩnh triều Minh,	浪𢆥嘉靖朝明
10	8	Bốn phương phẳng lặng hai kinh vững vàng	𦊚方滂𣼽𠄩京凭鐄
11	6	Có nhà viên ngoại họ Vương,	固茹員外户王
12	8	Gia tư NGHĨ cũng thường thường bực trung.	家資𢪀拱常常堛中
13	6	Một trai con thứ rốt lòng,	𠬠󰜩𡥵次卒𢚸
14	8	Vương Quan là chữ nối dòng nho gia.	王󰞹󰑼𡦂綏𣳔儒家
15	6	Đầu lòng hai ả tố nga,	頭𢚸𠄩妸素娥
16	8	Thuý Kiều là chị em là Thuý Vân.	翠翹󰑼姉㛪󰑼翠雲
17	6	Mai cốt cách tuyết tinh thần,	梅骨格雪精神
18	8	MỘT người MỘT vẻ mười phân vẹn mười.	󰓳𠊚󰓳𨤔𨒒分院𨒒
19	6	Vân xem trang trọng khác vời,	雲𫀅莊重恪潙
20	8	TƯ PHONG đầy đặn nét ngài nở nang.	姿丰苔𬊤湿𧍋𦬑囔
21	6	Hoa cười ngọc THỐT đoan trang,	花唭玉説端莊
22	8	Mây KHOE nước tóc tuyết nhường màu da.	𩄲誇渃󰖥雪讓牟𦝄
23	6	Kiều XEM sắc sảo mặn mà,	翹𫀅色稍漫麻
24	8	So bề tài sắc lại là phần hơn.	芻皮才色吏󰑼分欣
25	6	HƯƠNG thu thuỷ VẾT xuân sơn,	香秋水疸春山
26	8	Hoa GHEN thua thắm liễu hờn kém xanh.	花性輸審柳𪬡劍撑
27	6	Một hai nghiêng nước nghiêng thành,	𠬠𠄩迎渃迎城
28	8	Sắc đành TRỌI một tài đành hoạ hai.	色停隊󰓳才停和𠄩
29	6	Thông minh vốn sẵn tư trời,	聰明本産資𡗶
30	8	Pha nghề THƯ hoạ đủ mùi ca ngâm.	披芸書𪽗覩味𰙔吟
31	6	Cung thương làu bậc năm âm,	宫商漏堛𠄼音
32	8	Nghề riêng ăn đứt hồ cầm một trương.	芸𥢆咹󰡖胡琴𠬠張
33	8	Khúc nhà tay lựa nên XOANG ,	曲茹𢬣𢫘𢧚腔
34	8	Một thiên Bạc mệnh lại càng não nhân.	𠬠篇薄𠇮吏強󰞽人
