chunom,translation
膿㺧,nọng heo
扽檜𤽗𡗉𩵜伵鮮,"đòn củi ngươi nhiều, cá tớ tươi"
帝皆不問獨命勘,đế giai bất vấn độc mệnh khám
董鼎箕埃𩧍㗂持,đủng đỉnh kìa ai ruổi tiếng chày
香兔沉沁海若茹蛟豸俸蟾宫,hương thỏ chìm tăm hải nhược. nhà giao giãi bóng thiềm cung
璜復從海道出其不意逕至州,"hoàng phục tòng hải đạo, xuất kì bất ý kính chí châu"
𠰺学路冬𡗋,dạy học trò đông lắm
元旦嘗作十禽詩有云人言寄子與老鴉不識老鴉怜愛否,"nguyên đán thường tác thập cầm thi hữu vân nhân ngôn ký tử dữ lão nha, bất thức lão nha liên ái phủ"
英㛪𢜠謝丹庭調𨆢,anh em mừng tạ đan đình đều lui
泠汀㳥漝󱙳洡𣈙滝埋泳󰋇囬󰠡𮥷,lênh đênh sóng dập gió giồi. rày sông mai vịnh mấy hồi gian nan
行皇帝謚庙號太宗母枚氏為金天皇太后,"hành hoàng đế thuỵ, miếu hiệu thái tông, mẫu mai thị vi kim thiên hoàng thái hậu"
㳥𪷧󰘇𣷭𬔗󱘷,sóng cồn cửa bể nhấp nhô
熒惑守心勾以旬餘,huỳnh hoặc thủ tâm câu dĩ tuần dư
𠫾𦖑𢈱呐吏奔墫尋,đi nghe lời nói lại bôn chôn tìm
可謂不辱君命,khả vị bất nhục quân mệnh
于明,vu minh
𧊉浪𦋦之𥹰,bướm rằng ra chi lâu
人生羅世意如䏾畑如𥒥浡如𩄲浽如占包,"nhân sinh là thế ấy, như bóng đèn, như đá bọt, như mây nổi, như chiêm bao"
濤涵哿某蒲農,đào hàm cả mỏ bồ nông
麻𡛔𤳇𬙾󱛢哇供饒,mà gái trai đẹp mánh khóe cùng nhau
生浪邂逅󰑼緣,sinh rằng giải cấu là duyên
女,nữa
團魚󰑼丐巴巴,đoàn ngư là cái ba ba
惟餘偽乾統莫敬恭莫玉󱗲及次王慶王莫敬寬安勇王唐國公德國公東國公文國公忠國公福國公等偽賊而已,"duy dư nguỵ càn thống mạc kính cung, mạc ngọc liễn cập thứ vương, khánh vương mạc kính khoan, yên dũng vương, đường quốc công, đức quốc công, đông quốc công, văn quốc công, trung quốc công, phúc quốc công đẳng nguỵ tặc nhi dĩ"
𠊚吀取消𦓡󱤎件,người xin thủ tiêu mà thua kiện
怨時者怨恩時者恩,oán thì giả oán ân thì giả ân
𣳔渃瀘𣻄𫽄㵢,dòng nước lờ đờ
海陽之民頻罹兵火多至流亡,hải dương chi dân tần li binh hoả đa chí lưu vong
