source,page,column,char_idx,char,confidence
CacThanhTruyen2,page_0012,1,0,二,0.669
CacThanhTruyen2,page_0012,1,1,月,0.967
CacThanhTruyen2,page_0012,1,2,二,0.110
CacThanhTruyen2,page_0012,1,3,1,0.197
CacThanhTruyen2,page_0012,1,4,2,0.106
CacThanhTruyen2,page_0012,1,5,月,0.436
CacThanhTruyen2,page_0012,2,0,初,0.166
CacThanhTruyen2,page_0012,2,1,日,0.656
CacThanhTruyen2,page_0012,2,2,翁,0.922
CacThanhTruyen2,page_0012,2,3,共,0.061
CacThanhTruyen2,page_0012,2,4,底,0.100
CacThanhTruyen2,page_0012,2,5,部,0.213
CacThanhTruyen2,page_0012,2,6,福,0.165
CacThanhTruyen2,page_0012,2,7,白,0.114
CacThanhTruyen2,page_0012,2,8,無,0.061
CacThanhTruyen2,page_0012,2,9,苑,0.131
CacThanhTruyen2,page_0012,2,10,唐,0.097
CacThanhTruyen2,page_0012,2,11,道,0.773
CacThanhTruyen2,page_0012,2,12,傅,0.535
CacThanhTruyen2,page_0012,3,0,翁,0.480
CacThanhTruyen2,page_0012,3,1,我,0.099
CacThanhTruyen2,page_0012,3,2,点,0.034
CacThanhTruyen2,page_0012,3,3,单,0.134
CacThanhTruyen2,page_0012,3,4,\,0.585
CacThanhTruyen2,page_0012,3,5,S,0.169
CacThanhTruyen2,page_0012,3,6,翁,0.925
CacThanhTruyen2,page_0012,3,7,垂,0.239
CacThanhTruyen2,page_0012,3,8,拉,0.056
CacThanhTruyen2,page_0012,3,9,福,0.113
CacThanhTruyen2,page_0012,3,10,电,0.036
CacThanhTruyen2,page_0012,3,11,共,0.530
CacThanhTruyen2,page_0012,3,12,S,0.104
CacThanhTruyen2,page_0012,3,13,奇,0.982
CacThanhTruyen2,page_0012,3,14,海,0.488
CacThanhTruyen2,page_0012,3,15,华,0.118
CacThanhTruyen2,page_0012,3,16,舌,0.178
CacThanhTruyen2,page_0012,3,17,我,0.171
CacThanhTruyen2,page_0012,3,18,共,0.990
CacThanhTruyen2,page_0012,3,19,体,0.989
CacThanhTruyen2,page_0012,3,20,爆,0.165
CacThanhTruyen2,page_0012,3,21,南,0.072
CacThanhTruyen2,page_0012,4,0,德,0.970
CacThanhTruyen2,page_0012,4,1,婆,0.102
CacThanhTruyen2,page_0012,4,2,馬,0.225
CacThanhTruyen2,page_0012,4,3,,0.000
CacThanhTruyen2,page_0012,4,4,2,0.049
CacThanhTruyen2,page_0012,4,5,华,0.105
CacThanhTruyen2,page_0012,4,6,笔,0.218
CacThanhTruyen2,page_0012,4,7,欢,0.104
CacThanhTruyen2,page_0012,4,8,世,0.775
CacThanhTruyen2,page_0012,4,9,回,0.335
CacThanhTruyen2,page_0012,4,10,朱,0.959
CacThanhTruyen2,page_0012,4,11,年,0.936
CacThanhTruyen2,page_0012,4,12,哥,0.417
CacThanhTruyen2,page_0012,4,13,,0.000
CacThanhTruyen2,page_0012,4,14,羊,0.137
CacThanhTruyen2,page_0012,4,15,奇,0.272
CacThanhTruyen2,page_0012,4,16,等,0.238
CacThanhTruyen2,page_0012,4,17,不,0.077
CacThanhTruyen2,page_0012,4,18,日,0.461
CacThanhTruyen2,page_0012,4,19,舞,0.130
CacThanhTruyen2,page_0012,4,20,您,0.049
CacThanhTruyen2,page_0012,4,21,条,0.078
CacThanhTruyen2,page_0012,5,0,怎,0.051
CacThanhTruyen2,page_0012,5,1,算,0.140
CacThanhTruyen2,page_0012,5,2,能,0.338
CacThanhTruyen2,page_0012,5,3,光,0.025
CacThanhTruyen2,page_0012,5,4,,0.000
CacThanhTruyen2,page_0012,5,5,x,0.369
CacThanhTruyen2,page_0012,5,6,阿,0.076
CacThanhTruyen2,page_0012,5,7,百,0.197
CacThanhTruyen2,page_0012,5,8,福,0.049
CacThanhTruyen2,page_0012,5,9,先,0.210
CacThanhTruyen2,page_0012,5,10,業,0.174
CacThanhTruyen2,page_0012,5,11,查,0.410
CacThanhTruyen2,page_0012,5,12,服,0.084
CacThanhTruyen2,page_0012,5,13,铁,0.193
CacThanhTruyen2,page_0012,5,14,打,0.841
CacThanhTruyen2,page_0012,5,15,特,0.993
CacThanhTruyen2,page_0012,5,16,航,0.318
CacThanhTruyen2,page_0012,5,17,污,0.171
CacThanhTruyen2,page_0012,5,18,批,0.367
CacThanhTruyen2,page_0012,5,19,吹,0.469
CacThanhTruyen2,page_0012,5,20,何,0.963
CacThanhTruyen2,page_0012,6,0,麻,0.976
CacThanhTruyen2,page_0012,6,1,街,0.234
CacThanhTruyen2,page_0012,6,2,寺,0.517
CacThanhTruyen2,page_0012,6,3,超,0.111
CacThanhTruyen2,page_0012,6,4,学,0.151
CacThanhTruyen2,page_0012,6,5,城,0.425
CacThanhTruyen2,page_0012,6,6,安,0.402
CacThanhTruyen2,page_0012,6,7,中,0.401
CacThanhTruyen2,page_0012,6,8,白,0.090
CacThanhTruyen2,page_0012,6,9,县,0.945
CacThanhTruyen2,page_0012,6,10,连,0.418
CacThanhTruyen2,page_0012,6,11,面,0.397
CacThanhTruyen2,page_0012,6,12,寻,0.918
CacThanhTruyen2,page_0012,6,13,麻,0.972
CacThanhTruyen2,page_0012,6,14,课,0.204
CacThanhTruyen2,page_0012,6,15,福,0.127
CacThanhTruyen2,page_0012,6,16,,0.000
CacThanhTruyen2,page_0012,6,17,下,0.111
CacThanhTruyen2,page_0012,6,18,依,0.740
CacThanhTruyen2,page_0012,6,19,那,0.929
CacThanhTruyen2,page_0012,7,0,福,0.305
CacThanhTruyen2,page_0012,7,1,导,0.244
CacThanhTruyen2,page_0012,7,2,些,0.975
CacThanhTruyen2,page_0012,7,3,誉,0.159
CacThanhTruyen2,page_0012,7,4,混,0.110
CacThanhTruyen2,page_0012,7,5,,0.000
CacThanhTruyen2,page_0012,7,6,我,0.130
CacThanhTruyen2,page_0012,7,7,硬,0.148
CacThanhTruyen2,page_0012,7,8,具,0.095
CacThanhTruyen2,page_0012,7,9,有,0.205
CacThanhTruyen2,page_0012,7,10,,0.000
CacThanhTruyen2,page_0012,7,11,鑫,0.209
CacThanhTruyen2,page_0012,7,12,子,0.090
CacThanhTruyen2,page_0012,7,13,字,0.274
CacThanhTruyen2,page_0012,7,14,享,0.283
CacThanhTruyen2,page_0012,7,15,还,0.078
CacThanhTruyen2,page_0012,7,16,家,0.211
CacThanhTruyen2,page_0012,7,17,奏,0.945
CacThanhTruyen2,page_0012,7,18,对,0.114
CacThanhTruyen2,page_0012,8,0,饰,0.308
CacThanhTruyen2,page_0012,8,1,您,0.134
CacThanhTruyen2,page_0012,8,2,骨,0.481
CacThanhTruyen2,page_0012,8,3,此,0.867
CacThanhTruyen2,page_0012,8,4,海,0.159
CacThanhTruyen2,page_0012,8,5,,0.000
CacThanhTruyen2,page_0012,8,6,华,0.271
CacThanhTruyen2,page_0012,8,7,锁,0.065
CacThanhTruyen2,page_0012,8,8,招,0.100
CacThanhTruyen2,page_0012,8,9,,0.000
CacThanhTruyen2,page_0012,8,10,店,0.281
CacThanhTruyen2,page_0012,8,11,中,0.647
CacThanhTruyen2,page_0012,8,12,主,0.375
CacThanhTruyen2,page_0012,8,13,酒,0.122
CacThanhTruyen2,page_0012,8,14,指,0.310
CacThanhTruyen2,page_0012,8,15,,0.000
CacThanhTruyen2,page_0012,8,16,\,0.689
CacThanhTruyen2,page_0012,8,17,支,0.855
CacThanhTruyen2,page_0012,8,18,艾,0.106
CacThanhTruyen2,page_0012,8,19,华,0.433
CacThanhTruyen2,page_0012,8,20,,0.000
CacThanhTruyen2,page_0012,8,21,,0.000
CacThanhTruyen2,page_0012,9,0,超,0.253
CacThanhTruyen2,page_0012,9,1,海,0.536
CacThanhTruyen2,page_0012,9,2,滨,0.225
CacThanhTruyen2,page_0012,9,3,我,0.057
CacThanhTruyen2,page_0012,9,4,平,0.915
CacThanhTruyen2,page_0012,9,5,固,0.328
CacThanhTruyen2,page_0012,9,6,相,0.144
CacThanhTruyen2,page_0012,9,7,2,0.058
CacThanhTruyen2,page_0012,9,8,李,0.433
CacThanhTruyen2,page_0012,9,9,学,0.022
CacThanhTruyen2,page_0012,9,10,尘,0.208
CacThanhTruyen2,page_0012,9,11,序,0.111
CacThanhTruyen2,page_0012,9,12,字,0.040
CacThanhTruyen2,page_0012,9,13,\,0.089
CacThanhTruyen2,page_0012,9,14,污,0.669
CacThanhTruyen2,page_0012,9,15,,0.000
CacThanhTruyen2,page_0012,9,16,味,0.311
CacThanhTruyen2,page_0012,9,17,等,0.336
CacThanhTruyen2,page_0012,9,18,把,0.973
CacThanhTruyen2,page_0012,9,19,2,0.151
CacThanhTruyen2,page_0012,9,20,展,0.161
CacThanhTruyen2,page_0012,9,21,用,0.409
CacThanhTruyen2,page_0014,1,0,忌,0.466
CacThanhTruyen2,page_0014,1,1,法,0.971
CacThanhTruyen2,page_0014,1,2,学,0.822
CacThanhTruyen2,page_0014,1,3,2,0.118
CacThanhTruyen2,page_0014,1,4,不,0.199
CacThanhTruyen2,page_0014,1,5,一,0.050
CacThanhTruyen2,page_0014,1,6,萍,0.485
CacThanhTruyen2,page_0014,1,7,法,0.390
