source,page,column,char_idx,char,confidence
CacThanhTruyen2,page_0012,1,0,日,0.766
CacThanhTruyen2,page_0012,1,1,宗,0.299
CacThanhTruyen2,page_0012,1,2,下,0.960
CacThanhTruyen2,page_0012,1,3,十,0.934
CacThanhTruyen2,page_0012,1,4,丁,0.333
CacThanhTruyen2,page_0012,1,5,山,0.522
CacThanhTruyen2,page_0012,2,0,國,0.400
CacThanhTruyen2,page_0012,2,1,丁,0.294
CacThanhTruyen2,page_0012,2,2,敵,0.550
CacThanhTruyen2,page_0012,2,3,如,0.497
CacThanhTruyen2,page_0012,2,4,怒,0.248
CacThanhTruyen2,page_0012,2,5,州,0.500
CacThanhTruyen2,page_0012,2,6,𥰊,0.500
CacThanhTruyen2,page_0012,2,7,州,0.500
CacThanhTruyen2,page_0012,2,8,龍,0.741
CacThanhTruyen2,page_0012,2,9,𧘇,0.500
CacThanhTruyen2,page_0012,2,10,紀,0.982
CacThanhTruyen2,page_0012,2,11,宗,0.499
CacThanhTruyen2,page_0012,2,12,感,0.250
CacThanhTruyen2,page_0012,3,0,一,0.400
CacThanhTruyen2,page_0012,3,1,如,0.331
CacThanhTruyen2,page_0012,3,2,制,0.751
CacThanhTruyen2,page_0012,3,3,奴,0.500
CacThanhTruyen2,page_0012,3,4,一,0.784
CacThanhTruyen2,page_0012,3,5,宗,0.250
CacThanhTruyen2,page_0012,3,6,城,0.840
CacThanhTruyen2,page_0012,3,7,也,0.489
CacThanhTruyen2,page_0012,3,8,如,0.250
CacThanhTruyen2,page_0012,3,9,怒,0.900
CacThanhTruyen2,page_0012,3,10,一,0.783
CacThanhTruyen2,page_0012,3,11,如,0.499
CacThanhTruyen2,page_0012,3,12,宗,0.250
CacThanhTruyen2,page_0012,3,13,十,0.799
CacThanhTruyen2,page_0012,3,14,十,0.619
CacThanhTruyen2,page_0012,3,15,城,0.869
CacThanhTruyen2,page_0012,3,16,八,0.250
CacThanhTruyen2,page_0012,3,17,純,0.588
CacThanhTruyen2,page_0012,3,18,觧,0.389
CacThanhTruyen2,page_0012,3,19,如,0.500
CacThanhTruyen2,page_0012,3,20,令,0.200
CacThanhTruyen2,page_0012,3,21,懺,0.500
CacThanhTruyen2,page_0012,4,0,無,0.784
CacThanhTruyen2,page_0012,4,1,如,0.547
CacThanhTruyen2,page_0012,4,2,奴,0.500
CacThanhTruyen2,page_0012,4,3,如,0.740
CacThanhTruyen2,page_0012,4,4,撿,0.674
CacThanhTruyen2,page_0012,4,5,城,0.807
CacThanhTruyen2,page_0012,4,6,下,0.273
CacThanhTruyen2,page_0012,4,7,魚,0.250
CacThanhTruyen2,page_0012,4,8,如,0.553
CacThanhTruyen2,page_0012,4,9,一,0.400
CacThanhTruyen2,page_0012,4,10,宗,0.418
CacThanhTruyen2,page_0012,4,11,十,0.993
CacThanhTruyen2,page_0012,4,12,八,0.498
CacThanhTruyen2,page_0012,4,13,山,0.500
CacThanhTruyen2,page_0012,4,14,下,0.579
CacThanhTruyen2,page_0012,4,15,同,0.499
CacThanhTruyen2,page_0012,4,16,将,0.533
CacThanhTruyen2,page_0012,4,17,一,0.250
CacThanhTruyen2,page_0012,4,18,自,0.500
CacThanhTruyen2,page_0012,4,19,奴,0.779
CacThanhTruyen2,page_0012,4,20,聀,0.498
CacThanhTruyen2,page_0012,4,21,奴,0.500
CacThanhTruyen2,page_0012,5,0,宗,0.500
CacThanhTruyen2,page_0012,5,1,紀,0.287
CacThanhTruyen2,page_0012,5,2,如,0.250
CacThanhTruyen2,page_0012,5,3,城,0.618
CacThanhTruyen2,page_0012,5,4,二,0.788
CacThanhTruyen2,page_0012,5,5,城,0.500
CacThanhTruyen2,page_0012,5,6,八,0.498
CacThanhTruyen2,page_0012,5,7,一,0.753
CacThanhTruyen2,page_0012,5,8,降,0.835
CacThanhTruyen2,page_0012,5,9,二,0.681
CacThanhTruyen2,page_0012,5,10,下,0.836
CacThanhTruyen2,page_0012,5,11,𢙇,0.790
CacThanhTruyen2,page_0012,5,12,八,0.477
CacThanhTruyen2,page_0012,5,13,一,0.528
CacThanhTruyen2,page_0012,5,14,相,0.707
CacThanhTruyen2,page_0012,5,15,如,0.500
CacThanhTruyen2,page_0012,5,16,如,0.487
CacThanhTruyen2,page_0012,5,17,奴,0.776
CacThanhTruyen2,page_0012,5,18,奴,0.846
CacThanhTruyen2,page_0012,5,19,如,0.900
CacThanhTruyen2,page_0012,5,20,如,0.723
CacThanhTruyen2,page_0012,6,0,隋,0.685
CacThanhTruyen2,page_0012,6,1,如,0.200
CacThanhTruyen2,page_0012,6,2,懺,0.820
CacThanhTruyen2,page_0012,6,3,如,0.500
CacThanhTruyen2,page_0012,6,4,日,0.794
CacThanhTruyen2,page_0012,6,5,除,0.251
CacThanhTruyen2,page_0012,6,6,作,0.500
CacThanhTruyen2,page_0012,6,7,隙,0.544
CacThanhTruyen2,page_0012,6,8,如,0.497
CacThanhTruyen2,page_0012,6,9,同,0.900
CacThanhTruyen2,page_0012,6,10,城,0.500
CacThanhTruyen2,page_0012,6,11,奴,0.900
CacThanhTruyen2,page_0012,6,12,乙,0.525
CacThanhTruyen2,page_0012,6,13,水,0.900
CacThanhTruyen2,page_0012,6,14,匕,0.200
