crop_file,nom_char,unicode,syllable,matched,tier,bbox,page,source
crops_cleaned/page_0012/col02_char003.png,鶲,U+9DB2,Ông,True,3,"[1283, 471, 1454, 594]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col02_char012.png,道,U+9053,đạo,True,2,"[1283, 1542, 1454, 1690]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col02_char013.png,傳,U+50B3,truyện,True,1,"[1283, 1690, 1454, 1797]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col03_char000.png,鶲,U+9DB2,Ông,True,3,"[1088, 381, 1283, 470]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col03_char004.png,蓊,U+84CA,đầy,True,3,"[1088, 727, 1283, 853]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col03_char006.png,蓊,U+84CA,ông,True,3,"[1088, 926, 1283, 1017]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col03_char013.png,奇,U+5947,cả,True,1,"[1088, 1568, 1283, 1629]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col03_char017.png,㮲,U+3BB2,su,True,3,"[1088, 1917, 1283, 2014]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col03_char018.png,穹,U+7A79,cùng,True,3,"[1088, 2014, 1283, 2075]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char003.png,𠅼,U+2017C,ri,True,3,"[902, 726, 1088, 827]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char004.png,扵,U+6275,a,True,3,"[902, 827, 1088, 922]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char005.png,󱫦,U+F1AE6,còn,True,3,"[902, 922, 1088, 1032]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char006.png,烏,U+70CF,ở,True,3,"[902, 1032, 1088, 1096]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char007.png,屉,U+5C49,thế,True,3,"[902, 1096, 1088, 1219]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char008.png,襕,U+8955,gian,True,3,"[902, 1219, 1088, 1343]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char010.png,号,U+53F7,nên,True,3,"[902, 1427, 1088, 1497]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char011.png,𣟫,U+237EB,người,True,3,"[902, 1497, 1088, 1614]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char012.png,𣩂,U+23A42,làm,True,3,"[902, 1614, 1088, 1699]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char014.png,仍,U+4ECD,cả,True,3,"[902, 1825, 1088, 1895]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char015.png,和,U+548C,và,True,3,"[902, 1895, 1088, 2026]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char016.png,𣩂,U+23A42,làm,True,3,"[902, 2026, 1088, 2124]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char017.png,䧹,U+49F9,viết,True,3,"[902, 2124, 1088, 2210]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char018.png,䧹,U+49F9,vồ,True,3,"[902, 2210, 1088, 2327]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char019.png,城,U+57CE,thành,True,1,"[902, 2327, 1088, 2429]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col04_char020.png,安,U+5B89,An,True,1,"[902, 2429, 1088, 2515]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char000.png,戽,U+623D,ô,True,3,"[713, 92, 902, 224]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char003.png,意,U+610F,ấy,True,1,"[713, 447, 902, 553]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char005.png,渃,U+6E03,nước,True,1,"[713, 659, 902, 797]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char006.png,粵,U+7CB5,Rô,True,3,"[713, 797, 902, 953]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char007.png,摁,U+6441,ma,True,3,"[713, 953, 902, 1060]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char008.png,先,U+5148,tên,True,1,"[713, 1060, 902, 1135]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char009.png,穉,U+7A49,là,True,3,"[713, 1135, 902, 1296]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char011.png,加,U+52A0,gia,True,1,"[713, 1418, 902, 1547]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char012.png,奴,U+5974,nô,True,1,"[713, 1547, 902, 1626]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char015.png,特,U+7279,được,True,1,"[713, 1903, 902, 2001]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char016.png,賊,U+8CCA,giặc,True,1,"[713, 2001, 902, 2183]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col05_char017.png,渃,U+6E03,nước,True,1,"[713, 2183, 902, 2236]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col06_char000.png,傌,U+508C,mà,True,3,"[562, 315, 713, 411]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col06_char001.png,撝,U+649D,về,True,3,"[562, 411, 713, 530]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col06_char008.png,烏,U+70CF,ô,True,1,"[562, 1137, 713, 1221]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col06_char011.png,塢,U+5862,đòi,True,3,"[562, 1465, 713, 1537]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col06_char015.png,嘛,U+561B,rằng,True,3,"[562, 1872, 713, 1953]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col06_char019.png,㖠,U+35A0,na,True,3,"[562, 2236, 713, 2374]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col07_char001.png,㝵,U+3775,người,True,1,"[348, 233, 562, 371]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col07_char002.png,些,U+4E9B,ta,True,1,"[348, 371, 562, 477]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col07_char004.png,𠳒,U+20CD2,rằng,True,3,"[348, 621, 562, 732]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col07_char010.png,庄,U+5E84,chẳng,True,1,"[348, 1396, 562, 1557]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col07_char013.png,庄,U+5E84,chăng,True,1,"[348, 1805, 562, 1943]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col07_char014.png,㝵,U+3775,Người,True,1,"[348, 1943, 562, 2080]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col07_char018.png,対,U+5BFE,vua,True,3,"[348, 2489, 562, 2609]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char001.png,碎,U+788E,Tôi,True,1,"[190, 213, 348, 309]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char002.png,㝵,U+3775,người,True,1,"[190, 309, 348, 406]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char003.png,些,U+4E9B,ta,True,1,"[190, 406, 348, 497]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char004.png,考,U+8003,gọi,True,3,"[190, 497, 348, 576]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char010.png,瑇,U+7447,trong,True,3,"[190, 1048, 348, 1142]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char017.png,㮲,U+3BB2,su,True,3,"[190, 1706, 348, 1830]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char018.png,𬗢,U+2C5E2,là,True,3,"[190, 1830, 348, 1899]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char019.png,女,U+5973,Chúa,True,3,"[190, 1899, 348, 2000]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col08_char021.png,𪝬,U+2A76C,tôi,True,3,"[190, 2097, 348, 2198]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col09_char002.png,浪,U+6D6A,rằng,True,1,"[0, 279, 190, 395]",page_0012,CacThanhTruyen2
crops_cleaned/page_0012/col09_char005.png,固,U+56FA,có,True,1,"[0, 638, 190, 749]",page_0012,CacThanhTruyen2
