crop_file,nom_char,unicode,syllable,matched,tier,bbox,page,source
crops_cleaned/page_0012/col08_char000.png,𫢚,U+2B89A,ấy,True,3,"[148, 85, 307, 186]",page_0012,CacThanhTruyen11
crops_cleaned/page_0020/col01_char001.png,奴,U+5974,Nó,True,1,"[1497, 227, 1675, 320]",page_0020,CacThanhTruyen2
crops_cleaned/page_0016/col07_char013.png,弯,U+5F2F,cùng,True,3,"[294, 1285, 439, 1363]",page_0016,CacThanhTruyen11
crops_cleaned/page_0010/col08_char013.png,仍,U+4ECD,những,True,1,"[137, 1255, 286, 1340]",page_0010,CacThanhTruyen11
crops_cleaned/page_0016/col09_char016.png,𬗢,U+2C5E2,là,True,3,"[24, 1296, 162, 1367]",page_0016,CacThanhTruyen11
crops_cleaned/page_0016/col08_char016.png,窖,U+7A96,có,True,3,"[194, 1671, 354, 1777]",page_0016,CacThanhTruyen2
crops_cleaned/page_0018/col05_char005.png,朱,U+6731,cho,True,1,"[754, 599, 970, 707]",page_0018,CacThanhTruyen2
crops_cleaned/page_0012/col02_char018.png,固,U+56FA,có,True,1,"[1004, 1638, 1135, 1715]",page_0012,CacThanhTruyen11
crops_cleaned/page_0012/col01_char006.png,鶲,U+9DB2,Ông,True,3,"[1149, 1124, 1260, 1188]",page_0012,CacThanhTruyen4
crops_cleaned/page_0016/col09_char021.png,朱,U+6731,cho,True,1,"[34, 2368, 194, 2502]",page_0016,CacThanhTruyen2
crops_cleaned/page_0016/col05_char006.png,椅,U+6905,ấy,True,3,"[568, 513, 701, 579]",page_0016,CacThanhTruyen4
crops_cleaned/page_0014/col02_char016.png,其,U+5176,cùng,True,2,"[1383, 1949, 1596, 2045]",page_0014,CacThanhTruyen2
crops_cleaned/page_0020/col06_char015.png,如,U+5982,như,True,1,"[590, 1967, 776, 2072]",page_0020,CacThanhTruyen2
crops_cleaned/page_0018/col01_char020.png,本,U+672C,bổn,True,1,"[1563, 2265, 1738, 2396]",page_0018,CacThanhTruyen2
crops_cleaned/page_0012/col07_char017.png,𬏝,U+2C3DD,ngày,True,3,"[307, 1618, 434, 1692]",page_0012,CacThanhTruyen11
crops_cleaned/page_0010/col05_char004.png,翁,U+7FC1,ông,True,1,"[581, 437, 742, 521]",page_0010,CacThanhTruyen11
crops_cleaned/page_0018/col03_char007.png,朱,U+6731,cho,True,1,"[882, 633, 1056, 704]",page_0018,CacThanhTruyen4
crops_cleaned/page_0012/col09_char019.png,忍,U+5FCD,những,True,3,"[31, 1623, 148, 1708]",page_0012,CacThanhTruyen11
crops_cleaned/page_0018/col03_char006.png,扵,U+6275,thờ,True,3,"[1143, 658, 1344, 753]",page_0018,CacThanhTruyen2
