image,bleed_frac,detached_frac,bleed_px,ink_px,repro_md5,md5_match
silver/stt11_page_0010_c01_000.png,0.04144385026737968,0.0,124,2992,be76cd9bd23d,True
gold/stt11_page_0010_c01_001.png,0.00628140703517588,0.0,25,3980,ffffa95050e8,True
silver/stt11_page_0010_c01_002.png,0.0364293659621802,0.0008342602892102336,131,3596,0b1883585fa7,True
gold/stt11_page_0010_c01_003.png,0.02689075630252101,0.0,80,2975,6da084420aab,True
gold/stt11_page_0010_c01_004.png,0.038834951456310676,0.0,112,2884,f574ec8b91bf,True
gold/stt11_page_0010_c01_005.png,0.08855850032320621,0.024348200818789054,411,4641,2772d4ce7d09,True
silver/stt11_page_0010_c01_006.png,0.06417842512517069,0.0,282,4394,2413910495f8,True
gold/stt11_page_0010_c02_007.png,0.0012480499219968799,0.0,4,3205,8ea7124ffa45,True
gold/stt11_page_0010_c02_008.png,0.08428246013667426,0.0,259,3073,d11ef33c1d4e,True
syllable/stt11_page_0010_c02_009.png,0.21170435999067383,0.00046630916297505244,908,4289,e9d439981371,True
gold/stt11_page_0010_c02_010.png,0.10531520395550062,0.0,426,4045,cc757a062bc0,True
gold/stt11_page_0010_c02_011.png,0.12133688544441754,0.0,501,4129,c1dca3da6683,True
silver/stt11_page_0010_c02_012.png,0.03557483731019523,0.0,164,4610,1f21879c96f9,True
gold/stt11_page_0010_c02_013.png,0.1103914390312588,0.0,392,3551,17a5b78e9d13,True
syllable/stt11_page_0010_c02_018.png,0.06949394155381326,0.0014255167498218105,195,2806,4ad83b885d6a,True
gold/stt11_page_0010_c02_019.png,0.08036138849262958,0.008559201141226819,338,4206,41d70cf85e77,True
gold/stt11_page_0010_c02_020.png,0.1434854315557999,0.0,522,3638,3cce85d4ff52,True
gold/stt11_page_0010_c02_021.png,0.05739018916319333,0.0,179,3119,71ce7c2e0d59,True
gold/stt11_page_0010_c02_022.png,0.07501254390366283,0.04616156547917712,299,3986,6e2e3cadddaf,True
gold/stt11_page_0010_c02_023.png,0.044474761255115965,0.0,163,3665,7151137a2f10,True
gold/stt11_page_0010_c02_024.png,0.1630194246373248,0.0,663,4067,003d6aa4eada,True
gold/stt11_page_0010_c02_025.png,0.14878980891719745,0.0035668789808917197,584,3925,027bd1841396,True
gold/stt11_page_0010_c03_027.png,0.049927113702623906,0.049927113702623906,137,2744,f6861f67466e,True
syllable/stt11_page_0010_c03_028.png,0.015047291487532245,0.0,35,2326,1a3c61b9a4a1,True
gold/stt11_page_0010_c03_029.png,0.11196443007275667,0.0,277,2474,3bd8ed13a825,True
gold/stt11_page_0010_c03_030.png,0.1524390243902439,0.0,500,3280,0188402dba16,True
gold/stt11_page_0010_c03_031.png,0.045437189767086675,0.0,119,2619,134fec6a1dd2,True
gold/stt11_page_0010_c03_032.png,0.09222737819025523,0.0,318,3448,4beed111ca33,True
gold/stt11_page_0010_c03_033.png,0.00041631973355537054,0.005412156536219817,1,2402,e1e0595506fa,True
gold/stt11_page_0010_c03_035.png,0.15034269290294053,0.0008843687817820031,680,4523,3c738b2baa25,True
gold/stt11_page_0010_c03_036.png,0.24930318984205638,0.0,805,3229,2112459a099f,True
syllable/stt11_page_0010_c03_037.png,0.1203847347192057,0.0,388,3223,2e4a7f7ec834,True
gold/stt11_page_0010_c03_038.png,0.17998897464167585,0.0,653,3628,e9e28d974a0a,True
gold/stt11_page_0010_c03_040.png,0.1401151631477927,0.0,438,3126,deb6fab60786,True
gold/stt11_page_0010_c03_042.png,0.029497568881685577,0.0,91,3085,9bc6f4faa59e,True
gold/stt11_page_0010_c03_044.png,0.050724637681159424,0.0,126,2484,139616809b28,True
silver/stt11_page_0010_c03_045.png,0.037037037037037035,0.0,69,1863,89be3e5a0198,True
syllable/stt11_page_0010_c03_046.png,0.0,0.0,0,1752,638196991b40,True
gold/stt11_page_0010_c04_047.png,0.05458290422245108,0.0,159,2913,4f9d5ac7da15,True
gold/stt11_page_0010_c04_048.png,0.12630966239813737,0.002910360884749709,434,3436,40c621e492c6,True
gold/stt11_page_0010_c04_049.png,0.00821287779237845,0.0,25,3044,ea1ea5919222,True
gold/stt11_page_0010_c04_050.png,0.006442376521116679,0.006442376521116679,18,2794,44cf0ae0009f,True
gold/stt11_page_0010_c04_051.png,0.021904472163066627,0.0,72,3287,2b92fb4ba701,True
gold/stt11_page_0010_c04_052.png,0.1850629874025195,0.0,617,3334,c94ba784a145,True
gold/stt11_page_0010_c04_053.png,0.04443763407906834,0.0,145,3263,897880f7229a,True
syllable/stt11_page_0010_c04_054.png,0.060275080906148866,0.0,149,2472,ad7162ef5a09,True
gold/stt11_page_0010_c04_055.png,0.12890855457227138,0.0,437,3390,95b802adaf29,True
gold/stt11_page_0010_c04_056.png,0.11494995156603165,0.0006457862447529867,356,3097,572f4688d41b,True
syllable/stt11_page_0010_c04_057.png,0.05165028974552784,0.0,205,3969,aa5c2f2ff6c6,True
syllable/stt11_page_0010_c04_058.png,0.10711553175210406,0.0,420,3921,cbe8346cbba0,True
