ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
而,làm,453,270,3,SYLLABLE,True,hay nhe nhi nhỉ năn năng nưng nấng nằng,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,7,,,syllable/stt2_page_0012_c04_050.png syllable/stt2_page_0014_c06_122.png syllable/stt2_page_0016_c03_057.png syllable/stt2_page_0016_c04_068.png syllable/stt2_page_0018_c04_078.png
皇,thánh,183,94,1,SYLLABLE,True,hoàng huỳnh hàng,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,21,,,syllable/stt4_page_0012_c02_012.png syllable/stt4_page_0012_c06_105.png syllable/stt4_page_0014_c03_055.png syllable/stt4_page_0014_c04_085.png syllable/stt4_page_0016_c01_008.png
行,đức,142,97,2,SYLLABLE,True,hàng hành hãng hăng hạng hạnh làng lời ngành đợi,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,53,,,syllable/stt2_page_0098_c02_023.png syllable/stt2_page_0108_c09_161.png syllable/stt2_page_0142_c04_060.png syllable/stt2_page_0168_c01_014.png syllable/stt2_page_0168_c06_102.png
人,ấy,136,82,2,SYLLABLE,True,ngã nhi nhân nhơn,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,2,,,syllable/stt2_page_0328_c09_161.png syllable/stt11_page_0012_c02_030.png syllable/stt11_page_0012_c03_060.png syllable/stt11_page_0012_c06_110.png syllable/stt11_page_0012_c09_188.png
希,vua,119,57,1,SYLLABLE,True,he hi hoe hy hây hê hì hơi hề si sè sé,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,4,,,syllable/stt11_page_0014_c02_026.png syllable/stt11_page_0016_c09_189.png syllable/stt11_page_0060_c05_087.png syllable/stt11_page_0060_c05_094.png syllable/stt11_page_0060_c07_122.png
移,ri,118,88,3,SYLLABLE,True,chòm day di dày dây dè dê dầy dị dời giay lả,12,咦 夷 洟 荑 蛦 鴺 鵜 𠶋 𠺹 𦯔 𪅨 󱸗,,13,,,syllable/stt2_page_0030_c08_170.png syllable/stt2_page_0046_c05_090.png syllable/stt2_page_0046_c09_182.png syllable/stt2_page_0080_c07_125.png syllable/stt2_page_0084_c07_132.png
白,làm,113,85,3,SYLLABLE,True,bá bác bạc bạch nhật trắng,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,2,,,syllable/stt2_page_0020_c01_005.png syllable/stt2_page_0036_c03_055.png syllable/stt2_page_0040_c06_124.png syllable/stt4_page_0014_c07_141.png syllable/stt4_page_0020_c02_031.png
𭃡,xưa,105,89,3,SYLLABLE,False,,20,初 如 汖 㧅 䃼 䥚 𠁉 𠜆 𠫎 𠸗 𡔈 𢀯 𢀰 𣦂 𥘉 𥘋 𥘨 𫋶 󱊨 󱓽,,0,,,syllable/stt2_page_0020_c04_072.png syllable/stt2_page_0028_c01_000.png syllable/stt2_page_0030_c04_073.png syllable/stt2_page_0030_c08_178.png syllable/stt2_page_0044_c06_109.png
常,và,96,82,2,SYLLABLE,True,hằng sàn thì thường trường,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,8,,,syllable/stt2_page_0016_c05_103.png syllable/stt2_page_0024_c02_041.png syllable/stt2_page_0030_c06_123.png syllable/stt2_page_0032_c08_155.png syllable/stt2_page_0034_c07_126.png
爾,trời,96,70,2,SYLLABLE,True,ne nhãi nhé nhĩ nhẫy nhẽ nhễ nẻ nể nễ,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt2_page_0264_c02_034.png syllable/stt2_page_0270_c05_110.png syllable/stt2_page_0272_c09_167.png syllable/stt2_page_0288_c05_098.png syllable/stt2_page_0292_c03_055.png
