image,image_v2,book,page,column,nom_idx,syl_idx,tier,tier_v3,qd01_locked,bbox,bbox_v2,bbox_v2_win,crop_mode,guard_reason,prior_used,recenter_shift,pitch,image_md5,image_md5_v2,ink_pct_v2,crop_w_v2,crop_h_v2,crop_quality_flag_v2,stray_ink_v2,border_ink_v2
gold/stt11_page_0010_c01_001.png,gold/stt11_page_0010_c01_001.png,stt11,page_0010,1,1,1,GOLD,CHAR_A,0,"[1453, 801, 1577, 942]","[1453, 817, 1577, 942]","[1453, 805, 1577, 954]",f3g,,1,0.0663,120.75,ffffa95050e8,1f3b01f95173,0.2053,138,139,ok,0.0,0.0
gold/stt11_page_0010_c01_003.png,gold/stt11_page_0010_c01_003.png,stt11,page_0010,1,3,3,GOLD,CHAR_A,0,"[1455, 1041, 1574, 1185]","[1455, 1064, 1574, 1185]","[1455, 1052, 1574, 1197]",f3g,,1,0.0952,120.75,6da084420aab,1112e34a9297,0.2723,80,116,ok,0.0,0.0
gold/stt11_page_0010_c01_004.png,gold/stt11_page_0010_c01_004.png,stt11,page_0010,1,4,4,GOLD,CHAR_A,0,"[1455, 1167, 1574, 1314]","[1455, 1178, 1574, 1301]","[1455, 1166, 1574, 1313]",f3g,,1,-0.0083,120.75,f574ec8b91bf,5bf7f24962ba,0.2118,98,116,ok,0.0,0.0
gold/stt11_page_0010_c01_005.png,gold/stt11_page_0010_c01_005.png,stt11,page_0010,1,5,5,GOLD,CHAR_A,0,"[1458, 1293, 1588, 1437]","[1458, 1301, 1588, 1424]","[1458, 1289, 1588, 1436]",f3g,,1,-0.0207,120.75,2772d4ce7d09,a1fafaa3e026,0.2077,147,132,ok,0.0,0.0
gold/stt11_page_0010_c02_007.png,gold/stt11_page_0010_c02_007.png,stt11,page_0010,2,0,0,GOLD,CHAR_A,0,"[1307, 403, 1425, 519]","[1307, 412, 1425, 509]","[1307, 402, 1425, 519]",f3g,,0,-0.0052,95.5,8ea7124ffa45,a40a1f9540c7,0.2594,103,102,ok,0.0,0.0
gold/stt11_page_0010_c02_008.png,gold/stt11_page_0010_c02_008.png,stt11,page_0010,2,1,1,GOLD,CHAR_A,0,"[1306, 492, 1426, 616]","[1306, 492, 1426, 616]","[1306, 492, 1426, 616]",fallback,guard,1,0.4555,95.5,a36e9ff1fd88,a36e9ff1fd88,0.2811,99,150,ok,0.0,0.0303
gold/stt11_page_0010_c02_010.png,gold/stt11_page_0010_c02_010.png,stt11,page_0010,2,3,3,GOLD,CHAR_A,0,"[1306, 684, 1422, 805]","[1306, 684, 1422, 805]","[1306, 684, 1422, 805]",fallback,guard,1,0.4817,95.5,59320e7b535f,59320e7b535f,0.245,115,149,ok,0.0,0.0913
gold/stt11_page_0010_c02_011.png,gold/stt11_page_0010_c02_011.png,stt11,page_0010,2,4,4,GOLD,CHAR_A,0,"[1300, 789, 1415, 909]","[1300, 839, 1415, 933]","[1300, 829, 1415, 943]",f3g,,1,0.3874,95.5,0a6675f4d3d9,10063d141f32,0.2597,114,91,ok,0.0,0.0
gold/stt11_page_0010_c02_013.png,gold/stt11_page_0010_c02_013.png,stt11,page_0010,2,6,6,GOLD,CHAR_A,0,"[1308, 981, 1422, 1098]","[1308, 981, 1422, 1098]","[1308, 981, 1422, 1098]",fallback,guard,1,0.4084,95.5,abe4032301b1,abe4032301b1,0.2201,124,145,ok,0.0,0.0121
gold/stt11_page_0010_c02_018.png,gold/stt11_page_0010_c02_018.png,stt11,page_0010,2,11,12,GOLD,CHAR_A,0,"[1308, 1580, 1424, 1700]","[1308, 1588, 1424, 1683]","[1308, 1578, 1424, 1693]",f3g,,0,-0.0471,95.5,cb6c1448e66b,e0d339e2e488,0.1868,123,86,ok,0.0,0.0
