page,canvas_nom,first_seq,n_pairs,n_cau,formula_verse_no,formula_thieu,formula_trung,formula_cau_dau,formula_qn_page,anchor_start_seq,anchor_offset,anchor_neo_verse,anchor_neo_seq,anchor_neo_nguon,anchor_nhip,anchor_n_neo,anchor_offsets_trong_dai,anchor_cau_dau,anchor_qn_page,n_cau_khac,khuyen_nghi
80,87,1581,10,20,1581–1600,1582,-,"Rằng : «Trong ngọc đá vàng than,",vol2 canvas 0021,1581,0,1580,1580,ocr_num,20/20,39,1,"Rằng : «Trong ngọc đá vàng than,",vol2 canvas 0021,19,"DÙNG anchor (offset 0, nhịp 20/20): số in nhảy 1581→1583 là lỗi đánh số bản in, văn bản liên tục; formula lệch 1 dòng"
81,86,1601,10,20,1601–1620,-,-,Vó cu thẳng ruỗổi nước non quê người.,vol2 canvas 0027,1601,0,1580,1580,ocr_num,20/20,40,1,Long đong đáy nước ím tròi;,vol2 canvas 0027,20,"DÙNG anchor (offset 0, nhịp 20/20): số in nhảy 1581→1583 là lỗi đánh số bản in, văn bản liên tục; formula lệch 1 dòng"
82,85,1621,10,20,1621–1640,-,-,"Chìu con, mới dạy mặc dầu ra tay.",vol2 canvas 0029,1621,0,1580,1580,ocr_num,18/20,42,1,Đứa sang buổm gió lèo mây;,vol2 canvas 0029,20,"DÙNG anchor (offset 0, nhịp 20/20): số in nhảy 1581→1583 là lỗi đánh số bản in, văn bản liên tục; formula lệch 1 dòng"
83,84,1641,10,20,1641–1660,-,-,"Âm ẩm khốc qui, kinh thần mọc ral",vol2 canvas 0035,1641,0,1580,1580,ocr_num,20/20,41,1,Đẩy sân sươm tót sáng lòa!,vol2 canvas 0035,20,"DÙNG anchor (offset 0, nhịp 20/20): số in nhảy 1581→1583 là lỗi đánh số bản in, văn bản liên tục; formula lệch 1 dòng"
84,83,1661,10,20,1661–1680,-,-,'Trong than thấy một đồng xương cháy tàn!,vol2 canvas 0037,1661,0,1580,1580,ocr_num,20/20,40,1,"Ngay tình, ai biết mưu gian?",vol2 canvas 0037,20,"DÙNG anchor (offset 0, nhịp 20/20): số in nhảy 1581→1583 là lỗi đánh số bản in, văn bản liên tục; formula lệch 1 dòng"
107,60,2121,10,20,2121–2140,-,-,"«Bán hùm, buôn qui, chẳo vào lưng đâu?",vol2 canvas 0113,2119,2,2230,2228,ocr_num,20/20,22,1,"«Nữa. khi muôn một thể nào,",vol2 canvas 0113,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
108,59,2141,10,20,2141–2160,-,-,"Mỗi hàng một đã ra mười, thì buông.",vol2 canvas 0119,2139,2,2230,2228,ocr_num,18/20,22,-,"Xem người định giá vủa rổi,",vol2 canvas 0117,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
109,58,2161,10,20,2161–2180,-,-,"«Má hông đến quá nủa, thì chủa thôi?",vol2 canvas 0121,2159,2,2230,2228,ocr_num,18/20,22,1,«Đầu xanh đã tội tình chỉ?,vol2 canvas 0121,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
110,57,2181,10,20,2181–2200,-,-,cMắt xanh chẳng đễ ai vào đổng không!,vol2 canvas 0127,2179,2,2230,2228,ocr_num,19/20,25,1,«Bấy lâu nehe tiếng má đào!,vol2 canvas 0127,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
111,56,2201,10,20,2201–2220,-,-,«Anh hùng đứng giữa trần ai! Mới già!,vol2 canvas 0131,2199,2,2230,2228,ocr_num,19/20,22,1,«Khen cho eon mắt tỉnh đời!,vol2 canvas 0131,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
112,55,2221,10,20,2221–2240,2221,2232,(không có dòng),,2219,2,2230,2228,ocr_num,20/20,20,1 2,"«Bao giờ mười vạn tĩnh bính,",vol2 canvas 0133,9,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm | mâu thuẫn neo trong dải (offset 1 và 2); formula thiếu 2221 + trùng 2232"
113,54,2241,10,20,2241–2260,-,-,"«Du lìa mỗi chỉ, còn vương tơ lòng!",vol2 canvas 0139,2239,2,2230,2228,ocr_num,20/20,19,1,‹ Tiễc thay chút ngãi eũ cường!,vol2 canvas 0137,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
114,53,2261,10,20,2261–2280,-,-,"Đặt gươm, cỗi giáp, trước sân khâu đấu.",vol2 canvas 0141,2259,2,2230,2228,ocr_num,20/20,21,1,Hai bên mười vị tướng quân,vol2 canvas 0141,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
115,52,2281,10,20,2281–2300,-,-,<Mà lòng đã chắc những ngày một hai!›,vol2 canvas 0145,2279,2,2230,2228,ocr_num,18/20,22,1,«Đến bây giờ mới thấy dây!,vol2 canvas 0145,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
