syllable,ma_troi,so_o_troi,sach_troi,ma_phu,so_o_phu,sach_phu,giong_hai_chieu,ty_le,may_nghi,NGUOI_DUYET,GHI_CHU
chăng,庄,405,3,庒,278,2,CO,0.686,CAN_NGUOI_XEM,,
đức,徳,308,3,德,158,3,CO,0.513,CAN_NGUOI_XEM,,
cùng,共,705,3,其,156,3,CO,0.221,DI_THE,,
biết,别,138,3,別,82,3,CO,0.594,CAN_NGUOI_XEM,,
xin,真,89,3,嗔,75,3,mot_chieu,0.843,CAN_NGUOI_XEM,,
chẳng,庄,204,3,庒,63,3,CO,0.309,CAN_NGUOI_XEM,,
cũng,共,62,3,拱,58,3,CO,0.935,CAN_NGUOI_XEM,,
được,特,634,3,時,39,3,mot_chieu,0.062,CAN_NGUOI_XEM,,
nói,呐,84,3,内,31,3,CO,0.369,CAN_NGUOI_XEM,,
liền,連,413,3,蓮,30,3,CO,0.073,DI_THE,,
đoạn,断,87,3,段,29,2,CO,0.333,CAN_NGUOI_XEM,,
sự,事,959,3,亊,28,3,CO,0.029,DI_THE,,
càng,强,47,3,強,26,3,CO,0.553,CAN_NGUOI_XEM,,
lắm,廪,45,3,廩,24,1,CO,0.533,CAN_NGUOI_XEM,,
giờ,除,237,3,徐,24,3,CO,0.101,DI_THE,,
được,特,634,3,持,21,3,CO,0.033,DI_THE,,
xin,真,89,3,填,20,1,CO,0.225,DI_THE,,
xin,嗔,75,3,填,20,1,CO,0.267,CAN_NGUOI_XEM,,
đã,㐌,114,3,也,20,2,CO,0.175,DI_THE,,
khăn,中,28,3,巾,20,3,CO,0.714,CAN_NGUOI_XEM,,
một,没,136,3,沒,18,1,CO,0.132,DI_THE,,
thờ,蜍,83,3,除,18,1,CO,0.217,DI_THE,,
mình,命,404,3,𠇮,18,2,CO,0.045,DI_THE,,
trên,連,154,3,蓮,17,3,CO,0.110,DI_THE,,
đến,旦,539,3,且,17,3,CO,0.032,DI_THE,,
một,没,136,3,殳,16,3,CO,0.118,DI_THE,,
ma,魔,22,3,麻,16,3,CO,0.727,CAN_NGUOI_XEM,,
lần,吝,74,3,各,15,3,CO,0.203,DI_THE,,
khỏi,塊,167,3,瑰,15,3,CO,0.090,DI_THE,,
ai,埃,74,3,唉,15,3,CO,0.203,DI_THE,,
kẻo,矯,54,3,喬,15,1,CO,0.278,CAN_NGUOI_XEM,,
câu,拘,25,3,枸,15,3,CO,0.600,CAN_NGUOI_XEM,,
tay,腮,20,3,思,14,3,CO,0.700,CAN_NGUOI_XEM,,
liệt,列,30,3,烈,14,2,CO,0.467,CAN_NGUOI_XEM,,
nhà,茹,110,3,茄,13,3,CO,0.118,DI_THE,,
đến,旦,539,3,但,13,3,CO,0.024,DI_THE,,
tuổi,歲,16,3,歳,13,3,CO,0.812,CAN_NGUOI_XEM,,
nhiêu,僥,13,2,饒,13,2,CO,1.000,CAN_NGUOI_XEM,,
lành,冷,98,3,令,12,3,CO,0.122,DI_THE,,
thật,实,49,3,実,12,2,mot_chieu,0.245,CAN_NGUOI_XEM,,
