page,n_cols,status,chars
page_0012,9,OK,189
page_0014,9,OK,204
page_0016,9,OK,204
page_0018,9,OK,166
page_0020,9,OK,199
page_0022,9,OK,208
page_0024,9,OK,196
page_0026,9,OK,195
page_0028,9,OK,163
page_0030,9,OK,201
page_0032,9,OK,179
page_0034,9,OK,197
page_0036,9,OK,196
page_0038,9,OK,201
page_0040,9,OK,195
page_0042,9,OK,194
page_0044,9,OK,203
page_0046,9,OK,197
page_0048,9,OK,186
page_0050,9,OK,178
page_0052,9,OK,192
page_0054,9,OK,190
page_0056,9,OK,193
page_0058,9,OK,187
page_0060,9,OK,190
page_0062,9,OK,198
page_0064,9,OK,202
page_0066,9,OK,189
page_0068,9,OK,207
page_0070,9,OK,198
page_0072,9,OK,173
page_0074,9,OK,185
page_0076,9,OK,203
page_0078,9,OK,200
page_0080,9,OK,195
page_0082,9,OK,200
page_0084,9,OK,203
page_0086,9,OK,185
page_0088,9,OK,187
page_0090,9,OK,208
page_0092,9,OK,190
page_0094,9,OK,198
page_0096,9,OK,202
page_0098,9,OK,196
page_0100,9,OK,196
page_0102,9,OK,185
page_0104,9,OK,187
page_0108,9,OK,206
page_0110,9,OK,167
page_0112,9,OK,174
page_0114,9,OK,201
page_0116,9,OK,196
page_0118,9,OK,204
page_0120,9,OK,187
page_0122,9,OK,162
page_0124,9,OK,201
page_0126,9,OK,200
page_0128,9,OK,199
page_0130,9,OK,196
page_0132,9,OK,162
page_0134,9,OK,170
page_0136,9,OK,195
page_0138,9,OK,205
page_0140,9,OK,199
page_0142,9,OK,197
page_0144,9,OK,181
page_0146,9,OK,186
page_0148,9,OK,167
page_0150,9,OK,203
page_0152,9,OK,191
page_0154,9,OK,180
page_0156,9,OK,179
page_0158,9,OK,192
page_0160,9,OK,200
page_0162,9,OK,214
page_0164,9,OK,200
page_0166,9,OK,201
page_0168,9,OK,190
page_0170,9,OK,197
page_0172,9,OK,223
page_0174,9,OK,202
page_0176,9,OK,207
page_0178,9,OK,170
page_0182,9,OK,212
page_0184,9,OK,210
page_0186,9,OK,178
page_0188,9,OK,198
page_0190,9,OK,197
page_0192,9,OK,165
page_0194,9,OK,179
page_0196,9,OK,184
page_0198,9,OK,172
page_0200,9,OK,180
page_0202,9,OK,181
page_0204,9,OK,205
page_0206,9,OK,179
page_0208,9,OK,183
page_0210,9,OK,195
page_0212,9,OK,179
page_0214,9,OK,194
page_0216,9,OK,188
page_0218,9,OK,178
page_0220,9,OK,187
page_0222,9,OK,186
page_0224,9,OK,189
page_0226,9,OK,194
page_0228,9,OK,191
page_0230,9,OK,190
page_0232,9,OK,191
page_0234,9,OK,182
page_0236,9,OK,189
page_0238,9,OK,195
page_0240,9,OK,204
page_0242,9,OK,185
page_0244,9,OK,199
page_0246,9,OK,192
page_0248,9,OK,193
page_0250,9,OK,194
page_0252,9,OK,188
page_0254,9,OK,193
page_0256,9,OK,189
page_0258,9,OK,194
page_0260,9,OK,201
page_0262,9,OK,177
page_0264,9,OK,197
page_0266,9,OK,173
page_0268,9,OK,197
page_0270,9,OK,202
page_0272,9,OK,198
page_0274,9,OK,182
page_0276,9,OK,183
page_0278,9,OK,210
page_0280,9,OK,203
page_0282,9,OK,206
page_0284,9,OK,202
page_0286,9,OK,209
page_0288,9,OK,199
page_0290,9,OK,206
page_0292,9,OK,210
page_0294,9,OK,197
page_0296,9,OK,191
page_0298,9,OK,190
page_0300,9,OK,195
page_0302,9,OK,188
page_0304,9,OK,196
