page,W,H,x0,y0,x1,y1,frame_w,frame_h,area_ratio,flag
page_0012,1647,2717,189,410,1572,2516,1383,2106,0.651,
page_0014,1668,2730,174,408,1547,2540,1373,2132,0.643,
page_0016,1637,2711,185,453,1569,2544,1384,2091,0.652,
page_0018,1668,2730,204,411,1584,2518,1380,2107,0.639,
page_0020,1647,2717,138,429,1571,2545,1433,2116,0.678,
page_0022,1684,2740,195,418,1588,2541,1393,2123,0.641,
page_0024,1637,2711,167,403,1549,2534,1382,2131,0.664,
page_0026,1668,2730,178,420,1575,2546,1397,2126,0.652,
page_0028,1637,2711,185,457,1562,2530,1377,2073,0.643,
page_0030,1663,2727,177,475,1534,2566,1357,2091,0.626,
page_0032,1642,2714,199,466,1568,2539,1369,2073,0.637,
page_0034,1652,2720,165,408,1552,2545,1387,2137,0.66,
page_0036,1642,2714,146,408,1551,2546,1405,2138,0.674,
page_0038,1705,2754,209,441,1589,2545,1380,2104,0.618,
page_0040,1647,2717,248,459,1614,2542,1366,2083,0.636,
page_0042,1637,2711,185,418,1539,2538,1354,2120,0.647,
page_0044,1674,2734,180,467,1549,2551,1369,2084,0.623,
page_0046,1674,2734,221,450,1575,2543,1354,2093,0.619,
page_0048,1668,2730,187,468,1553,2536,1366,2068,0.62,
page_0050,1684,2740,208,475,1590,2534,1382,2059,0.617,
page_0052,1647,2717,223,465,1561,2541,1338,2076,0.621,
page_0054,1647,2717,178,458,1552,2527,1374,2069,0.635,
page_0056,1668,2730,174,492,1551,2552,1377,2060,0.623,
page_0058,1684,2740,199,483,1572,2548,1373,2065,0.614,
page_0060,1684,2740,186,485,1564,2538,1378,2053,0.613,
page_0062,1668,2730,184,441,1578,2541,1394,2100,0.643,
page_0064,1652,2720,212,427,1589,2540,1377,2113,0.648,
page_0066,1684,2740,195,479,1594,2559,1399,2080,0.631,
page_0068,1668,2730,201,483,1597,2549,1396,2066,0.633,
page_0070,1684,2740,178,441,1588,2570,1410,2129,0.651,
page_0072,1658,2724,181,427,1570,2539,1389,2112,0.65,
page_0074,1652,2720,176,474,1545,2537,1369,2063,0.629,
page_0076,1652,2720,151,436,1569,2559,1418,2123,0.67,
page_0078,1679,2737,215,474,1586,2548,1371,2074,0.619,
page_0080,1668,2730,182,464,1584,2553,1402,2089,0.643,
page_0082,1668,2730,168,438,1572,2539,1404,2101,0.648,
page_0084,1684,2740,179,473,1579,2557,1400,2084,0.632,
page_0086,1705,2754,215,490,1611,2554,1396,2064,0.614,
page_0088,1652,2720,166,470,1550,2553,1384,2083,0.642,
page_0090,1663,2727,170,458,1547,2550,1377,2092,0.635,
page_0092,1647,2717,153,470,1537,2548,1384,2078,0.643,
page_0094,1647,2717,210,429,1570,2525,1360,2096,0.637,
page_0096,1674,2734,195,452,1570,2551,1375,2099,0.631,
page_0098,1674,2734,177,457,1563,2540,1386,2083,0.631,
page_0100,1647,2717,151,467,1571,2557,1420,2090,0.663,
page_0102,1663,2727,179,437,1566,2541,1387,2104,0.643,
page_0104,1652,2720,172,397,1579,2490,1407,2093,0.655,
page_0106,1674,2734,235,410,1596,2537,1361,2127,0.633,
page_0108,1642,2714,225,443,1587,2518,1362,2075,0.634,
page_0110,1674,2734,174,433,1582,2547,1408,2114,0.65,
page_0112,1663,2727,219,460,1588,2538,1369,2078,0.627,
page_0114,1668,2730,182,480,1587,2486,1405,2006,0.619,
page_0116,1647,2717,177,444,1589,2537,1412,2093,0.66,
page_0118,1663,2727,182,452,1555,2547,1373,2095,0.634,
page_0120,1658,2724,169,456,1578,2537,1409,2081,0.649,
page_0122,1689,2744,206,453,1590,2556,1384,2103,0.628,
page_0124,1637,2711,199,417,1596,2536,1397,2119,0.667,
page_0126,1674,2734,175,442,1573,2554,1398,2112,0.645,
page_0128,1642,2714,156,422,1572,2535,1416,2113,0.671,
page_0130,1674,2734,203,470,1585,2548,1382,2078,0.627,
page_0132,1642,2714,184,465,1553,2541,1369,2076,0.638,
page_0134,1689,2744,180,428,1585,2533,1405,2105,0.638,
page_0136,1647,2717,155,454,1563,2547,1408,2093,0.659,
page_0138,1658,2724,189,454,1583,2532,1394,2078,0.641,
page_0140,1647,2717,183,415,1571,2541,1388,2126,0.659,
page_0142,1689,2744,208,481,1570,2549,1362,2068,0.608,
page_0146,1705,2754,214,462,1596,2568,1382,2106,0.62,
page_0148,1642,2714,170,426,1572,2532,1402,2106,0.663,
page_0150,1679,2737,198,434,1603,2555,1405,2121,0.648,
page_0152,1674,2734,171,468,1574,2545,1403,2077,0.637,
page_0154,1700,2751,206,448,1613,2551,1407,2103,0.633,
page_0156,1637,2711,209,454,1585,2532,1376,2078,0.644,
page_0158,1684,2740,196,461,1580,2548,1384,2087,0.626,
page_0160,1637,2711,149,424,1562,2538,1413,2114,0.673,
page_0162,1700,2751,189,428,1589,2560,1400,2132,0.638,
page_0164,1658,2724,183,429,1592,2540,1409,2111,0.659,
page_0166,1684,2740,177,429,1561,2549,1384,2120,0.636,
page_0168,1652,2720,181,460,1580,2534,1399,2074,0.646,
page_0170,1689,2744,191,459,1585,2552,1394,2093,0.63,
page_0172,1679,2737,208,471,1568,2537,1360,2066,0.611,
page_0174,1663,2727,195,464,1566,2543,1371,2079,0.629,
page_0176,1663,2727,171,438,1573,2544,1402,2106,0.651,
page_0178,1674,2734,194,449,1562,2548,1368,2099,0.627,
page_0180,1668,2730,174,441,1555,2551,1381,2110,0.64,
page_0182,1658,2724,170,427,1550,2537,1380,2110,0.645,
page_0184,1658,2724,217,457,1606,2527,1389,2070,0.637,
page_0186,1652,2720,144,439,1509,2558,1365,2119,0.644,
page_0188,1642,2714,165,428,1539,2538,1374,2110,0.651,
page_0190,1658,2724,174,469,1530,2536,1356,2067,0.621,
page_0192,1652,2720,150,465,1525,2555,1375,2090,0.64,
page_0194,1637,2711,130,428,1534,2540,1404,2112,0.668,
page_0196,1637,2711,196,475,1566,2535,1370,2060,0.636,
page_0198,1658,2724,138,415,1537,2533,1399,2118,0.656,
page_0200,1637,2711,169,439,1568,2532,1399,2093,0.66,
page_0202,1668,2730,204,482,1599,2565,1395,2083,0.638,
page_0204,1658,2724,196,495,1591,2551,1395,2056,0.635,
page_0206,1637,2711,179,470,1574,2559,1395,2089,0.657,
page_0208,1652,2720,202,484,1611,2544,1409,2060,0.646,
page_0210,1637,2711,216,456,1572,2535,1356,2079,0.635,
page_0212,1637,2711,217,437,1583,2538,1366,2101,0.647,
page_0214,1637,2711,223,439,1599,2539,1376,2100,0.651,
page_0216,1647,2717,253,454,1596,2546,1343,2092,0.628,
page_0218,1674,2734,192,440,1596,2564,1404,2124,0.652,
page_0220,1637,2711,206,455,1556,2526,1350,2071,0.63,
page_0222,1652,2720,196,456,1559,2563,1363,2107,0.639,
page_0224,1668,2730,241,463,1601,2544,1360,2081,0.622,
page_0226,1679,2737,257,455,1619,2550,1362,2095,0.621,
page_0228,1647,2717,202,459,1598,2554,1396,2095,0.654,
page_0230,1642,2714,251,454,1580,2553,1329,2099,0.626,
page_0232,1647,2717,256,452,1587,2534,1331,2082,0.619,
page_0234,1652,2720,213,442,1540,2538,1327,2096,0.619,
page_0236,1637,2711,230,448,1558,2536,1328,2088,0.625,
page_0238,1674,2734,240,485,1577,2546,1337,2061,0.602,
page_0240,1652,2720,225,476,1568,2537,1343,2061,0.616,
page_0242,1652,2720,254,435,1558,2533,1304,2098,0.609,
page_0244,1647,2717,236,462,1573,2528,1337,2066,0.617,
page_0246,1647,2717,241,450,1558,2454,1317,2004,0.59,
page_0248,1642,2714,228,476,1568,2532,1340,2056,0.618,
page_0250,1663,2727,246,452,1576,2544,1330,2092,0.614,
page_0252,1663,2727,229,472,1582,2535,1353,2063,0.615,
page_0254,1642,2714,231,448,1567,2559,1336,2111,0.633,
page_0256,1642,2714,230,453,1582,2541,1352,2088,0.633,
page_0258,1647,2717,225,453,1555,2548,1330,2095,0.623,
page_0260,1647,2717,237,453,1581,2535,1344,2082,0.625,
page_0262,1674,2734,208,451,1553,2550,1345,2099,0.617,
page_0264,1637,2711,206,466,1569,2531,1363,2065,0.634,
page_0266,1647,2717,224,451,1564,2544,1340,2093,0.627,
page_0268,1637,2711,223,457,1573,2526,1350,2069,0.629,
page_0270,1652,2720,234,460,1578,2544,1344,2084,0.623,
page_0272,1695,2747,253,467,1604,2545,1351,2078,0.603,
page_0274,1652,2720,198,450,1537,2526,1339,2076,0.619,
page_0276,2480,3504,848,474,2191,2551,1343,2077,0.321,TOO_SMALL
page_0278,1652,2720,224,467,1573,2521,1349,2054,0.617,
page_0280,1663,2727,239,473,1586,2554,1347,2081,0.618,
page_0282,1647,2717,225,438,1564,2546,1339,2108,0.631,
page_0284,1637,2711,207,436,1560,2520,1353,2084,0.635,
page_0286,1647,2717,232,442,1589,2538,1357,2096,0.636,
page_0288,1652,2720,238,455,1576,2536,1338,2081,0.62,
page_0290,1647,2717,218,441,1571,2524,1353,2083,0.63,
page_0292,1637,2711,228,450,1569,2525,1341,2075,0.627,
page_0294,1652,2720,245,468,1585,2523,1340,2055,0.613,
page_0296,1663,2727,236,469,1561,2535,1325,2066,0.604,
page_0298,1637,2711,209,442,1561,2524,1352,2082,0.634,
page_0300,1674,2734,242,471,1568,2537,1326,2066,0.599,
page_0302,1652,2720,224,460,1549,2547,1325,2087,0.615,
page_0304,1658,2724,249,452,1577,2538,1328,2086,0.613,
page_0306,1663,2727,246,464,1568,2532,1322,2068,0.603,
page_0308,1647,2717,235,467,1533,2543,1298,2076,0.602,
page_0310,1658,2724,248,476,1584,2526,1336,2050,0.606,
page_0312,1642,2714,229,473,1560,2543,1331,2070,0.618,
page_0314,1658,2724,236,456,1563,2543,1327,2087,0.613,
page_0316,1674,2734,250,465,1573,2530,1323,2065,0.597,
page_0318,1647,2717,227,459,1567,2535,1340,2076,0.622,
page_0320,1658,2724,251,447,1567,2536,1316,2089,0.609,
page_0322,1684,2740,239,465,1576,2552,1337,2087,0.605,
page_0324,1652,2720,253,443,1568,2534,1315,2091,0.612,
page_0326,1658,2724,202,461,1571,2547,1369,2086,0.632,
page_0328,1674,2734,240,448,1589,2540,1349,2092,0.617,
page_0330,1658,2724,209,444,1567,2538,1358,2094,0.63,
