page,status,reasons,ar,marker_in,pagenum_in,flipped,left,right,W,H
page_0012,PASS,-,0.594,0,0,0,0.0,0.0001,1147,1833
page_0014,PASS,-,0.572,0,0,0,0.0,0.0,1190,1862
page_0016,PASS,-,0.598,0,0,0,0.0006,0.0,1208,1874
page_0018,PASS,-,0.591,0,0,0,0.0001,0.0,1147,1833
page_0020,PASS,-,0.562,0,0,0,0.0,0.0007,1169,1847
page_0022,PASS,-,0.553,0,0,0,0.0001,0.0,1190,1862
page_0024,PASS,-,0.566,0,0,0,0.0001,0.0001,1183,1856
page_0026,PASS,-,0.586,0,0,0,0.0001,0.0001,1158,1840
page_0028,PASS,-,0.578,0,0,0,0.0,0.0001,1144,1831
page_0030,PASS,-,0.596,0,0,0,0.0,0.0,1151,1835
page_0032,PASS,-,0.586,0,0,0,0.0,0.0,1162,1842
page_0034,PASS,-,0.61,0,0,0,0.0,0.0,1133,1824
page_0036,PASS,-,0.551,0,0,0,0.0001,0.0001,1197,1867
page_0038,PASS,-,0.599,0,0,0,0.0,0.0,1140,1828
page_0040,PASS,-,0.597,0,0,0,0.0,0.0008,1151,1835
page_0042,PASS,-,0.587,0,0,0,0.0,0.0001,1172,1849
page_0044,PASS,-,0.579,0,0,0,0.0,0.0005,1151,1835
page_0046,PASS,-,0.625,0,0,0,0.0001,0.0,1162,1842
page_0048,PASS,-,0.574,0,0,0,0.0001,0.0031,1154,1838
page_0050,PASS,-,0.606,0,0,0,0.0,0.0011,1144,1831
page_0052,PASS,-,0.666,0,0,0,0.0,0.0,1147,1833
page_0054,PASS,-,0.591,0,0,0,0.0,0.0053,1169,1847
page_0056,PASS,-,0.596,0,0,0,0.0,0.004,1137,1826
page_0058,PASS,-,0.657,0,0,0,0.0001,0.0,1169,1847
page_0060,PASS,-,0.593,0,0,0,0.0001,0.0051,1130,1822
page_0062,PASS,-,0.613,0,0,0,0.0001,0.005,1144,1831
page_0064,PASS,-,0.586,0,0,0,0.0,0.0,1144,1831
