page,status,reasons,ar,marker_in,pagenum_in,flipped,left,right,W,H
page_0012,PASS,-,0.651,0,0,0,0.0065,0.0,1647,2717
page_0014,PASS,-,0.643,0,0,0,0.0,0.0002,1668,2730
page_0016,PASS,-,0.652,0,0,0,0.0004,0.0,1637,2711
page_0018,PASS,-,0.639,0,0,0,0.0014,0.0001,1668,2730
page_0020,PASS,-,0.678,0,0,0,0.0,0.0,1647,2717
page_0022,PASS,-,0.641,0,0,0,0.0,0.0,1684,2740
page_0024,PASS,-,0.664,0,0,0,0.005,0.0,1637,2711
page_0026,PASS,-,0.652,0,0,0,0.0,0.0,1668,2730
page_0028,PASS,-,0.643,0,0,0,0.0008,0.0,1637,2711
page_0030,PASS,-,0.626,0,0,0,0.0001,0.0048,1663,2727
page_0032,PASS,-,0.637,0,0,0,0.0001,0.0,1642,2714
page_0034,PASS,-,0.66,0,0,0,0.0,0.0,1652,2720
page_0036,PASS,-,0.674,0,0,0,0.0,0.0,1642,2714
page_0038,PASS,-,0.618,0,0,0,0.0041,0.0,1705,2754
page_0040,PASS,-,0.636,0,0,0,0.0002,0.0,1647,2717
page_0042,PASS,-,0.647,0,0,0,0.004,0.0016,1637,2711
page_0044,PASS,-,0.623,0,0,0,0.0,0.0001,1674,2734
page_0046,PASS,-,0.619,0,0,0,0.0003,0.0,1674,2734
page_0048,PASS,-,0.62,0,0,0,0.0,0.0,1668,2730
page_0050,PASS,-,0.617,0,0,0,0.0,0.0,1684,2740
page_0052,PASS,-,0.621,0,0,0,0.0006,0.0,1647,2717
page_0054,PASS,-,0.635,0,0,0,0.0,0.0,1647,2717
page_0056,PASS,-,0.623,0,0,0,0.0,0.0,1668,2730
page_0058,PASS,-,0.614,0,0,0,0.0001,0.0001,1684,2740
page_0060,PASS,-,0.613,0,0,0,0.0,0.0059,1684,2740
page_0062,PASS,-,0.643,0,0,0,0.0,0.0,1668,2730
page_0064,PASS,-,0.648,0,0,0,0.0073,0.0,1652,2720
page_0066,PASS,-,0.631,0,0,0,0.0,0.0,1684,2740
page_0068,PASS,-,0.633,0,0,0,0.0001,0.0,1668,2730
page_0070,PASS,-,0.651,0,0,0,0.0,0.0,1684,2740
page_0072,PASS,-,0.65,0,0,0,0.0004,0.0,1658,2724
page_0074,PASS,-,0.629,0,0,0,0.0005,0.0139,1652,2720
page_0076,PASS,-,0.67,0,0,0,0.0,0.0,1652,2720
page_0078,PASS,-,0.619,0,0,0,0.0,0.0176,1679,2737
page_0080,PASS,-,0.643,0,0,0,0.0,0.0,1668,2730
page_0082,PASS,-,0.648,0,0,0,0.0,0.0001,1668,2730
page_0084,PASS,-,0.632,0,0,0,0.0001,0.0,1684,2740
page_0086,PASS,-,0.614,0,0,0,0.006,0.0,1705,2754
page_0088,PASS,-,0.642,0,0,0,0.0,0.0164,1652,2720
page_0090,PASS,-,0.635,0,0,0,0.0,0.0166,1663,2727
page_0092,PASS,-,0.643,0,0,0,0.0,0.0026,1647,2717
page_0094,PASS,-,0.637,0,0,0,0.0015,0.0001,1647,2717
page_0096,PASS,-,0.631,0,0,0,0.0006,0.0,1674,2734
page_0098,PASS,-,0.631,0,0,0,0.0001,0.0,1674,2734
page_0100,PASS,-,0.663,0,0,0,0.0,0.0,1647,2717
page_0102,PASS,-,0.643,0,0,0,0.0001,0.0001,1663,2727
page_0104,PASS,-,0.655,0,0,0,0.0,0.0,1652,2720
page_0106,PASS,-,0.633,0,0,0,0.0051,0.0,1674,2734
page_0108,PASS,-,0.634,0,0,0,0.0049,0.0,1642,2714
page_0110,PASS,-,0.65,0,0,0,0.0,0.0,1674,2734
page_0112,PASS,-,0.627,0,0,0,0.0006,0.0,1663,2727
page_0114,PASS,-,0.619,0,0,0,0.0001,0.0,1668,2730
page_0116,PASS,-,0.66,0,0,0,0.0,0.0,1647,2717
page_0118,PASS,-,0.634,0,0,0,0.0004,0.0111,1663,2727
page_0120,PASS,-,0.649,0,0,0,0.0,0.0,1658,2724
page_0122,PASS,-,0.628,0,0,0,0.0002,0.0,1689,2744
page_0124,PASS,-,0.667,0,0,0,0.0001,0.0,1637,2711
page_0126,PASS,-,0.645,0,0,0,0.0,0.0,1674,2734
page_0128,PASS,-,0.671,0,0,0,0.0,0.0,1642,2714
page_0130,PASS,-,0.627,0,0,0,0.0004,0.0,1674,2734
page_0132,PASS,-,0.638,0,0,0,0.0007,0.0,1642,2714
page_0134,PASS,-,0.638,0,0,0,0.0,0.0,1689,2744
page_0136,PASS,-,0.659,0,0,0,0.0,0.0,1647,2717
page_0138,PASS,-,0.641,0,0,0,0.0,0.0,1658,2724
page_0140,PASS,-,0.659,0,0,0,0.0007,0.0,1647,2717
page_0142,PASS,-,0.608,0,0,0,0.0068,0.0117,1689,2744
page_0146,PASS,-,0.62,0,0,0,0.0003,0.0,1705,2754
page_0148,PASS,-,0.663,0,0,0,0.0,0.0,1642,2714
page_0150,PASS,-,0.648,0,0,0,0.0,0.0,1679,2737
page_0152,PASS,-,0.637,0,0,0,0.0,0.0,1674,2734
page_0154,PASS,-,0.633,0,0,0,0.0,0.0,1700,2751
page_0156,PASS,-,0.644,0,0,0,0.0005,0.0,1637,2711
page_0158,PASS,-,0.626,0,0,0,0.0,0.0127,1684,2740
page_0160,PASS,-,0.673,0,0,0,0.0,0.0,1637,2711
page_0162,PASS,-,0.638,0,0,0,0.0016,0.0,1700,2751
page_0164,PASS,-,0.659,0,0,0,0.0003,0.0,1658,2724
page_0166,PASS,-,0.636,0,0,0,0.0001,0.0133,1684,2740
page_0168,PASS,-,0.646,0,0,0,0.0002,0.0,1652,2720
page_0170,PASS,-,0.63,0,0,0,0.0001,0.0,1689,2744
page_0172,PASS,-,0.611,0,0,0,0.0006,0.0,1679,2737
page_0174,PASS,-,0.629,0,0,0,0.0001,0.0114,1663,2727
page_0176,PASS,-,0.651,0,0,0,0.0,0.0,1663,2727
page_0178,PASS,-,0.627,0,0,0,0.0,0.0,1674,2734
page_0180,PASS,-,0.64,0,0,0,0.0001,0.0,1668,2730
page_0182,PASS,-,0.645,0,0,0,0.0001,0.0121,1658,2724
page_0184,PASS,-,0.637,0,0,0,0.0001,0.0,1658,2724
page_0186,PASS,-,0.644,0,0,0,0.0001,0.0152,1652,2720
page_0188,PASS,-,0.651,0,0,0,0.0003,0.0,1642,2714
page_0190,PASS,-,0.621,0,0,0,0.0059,0.0038,1658,2724
page_0192,PASS,-,0.64,0,0,0,0.0,0.0113,1652,2720
page_0194,PASS,-,0.668,0,0,0,0.0,0.0,1637,2711
page_0196,PASS,-,0.636,0,0,0,0.0033,0.0,1637,2711
page_0198,PASS,-,0.656,0,0,0,0.0,0.0,1658,2724
page_0200,PASS,-,0.66,0,0,0,0.0001,0.0,1637,2711
page_0202,PASS,-,0.638,0,0,0,0.0001,0.0,1668,2730
page_0204,PASS,-,0.635,0,0,0,0.0001,0.0,1658,2724
page_0206,PASS,-,0.657,0,0,0,0.0,0.0,1637,2711
page_0208,PASS,-,0.646,0,0,0,0.0001,0.0,1652,2720
page_0210,PASS,-,0.635,0,0,0,0.0067,0.0114,1637,2711
page_0212,PASS,-,0.647,0,0,0,0.0221,0.0,1637,2711
page_0214,PASS,-,0.651,0,0,0,0.009,0.0,1637,2711
page_0216,PASS,-,0.628,0,0,0,0.0014,0.0,1647,2717
page_0218,PASS,-,0.652,0,0,0,0.0,0.0,1674,2734
page_0220,PASS,-,0.63,0,0,0,0.0061,0.0,1637,2711
page_0222,PASS,-,0.639,0,0,0,0.0082,0.0,1652,2720
page_0224,PASS,-,0.622,0,0,0,0.0061,0.0,1668,2730
page_0226,PASS,-,0.621,0,0,0,0.0031,0.0,1679,2737
page_0228,PASS,-,0.654,0,0,0,0.0001,0.0,1647,2717
