nom_char,unicode,count,weight_balanced,bucket
㝵,U+3775,1457,0.0101,CJK_EXT_A
麻,U+9EBB,1326,0.0111,HAN_BASIC
朱,U+6731,1209,0.0121,HAN_BASIC
時,U+6642,945,0.0155,HAN_BASIC
主,U+4E3B,923,0.0159,HAN_BASIC
事,U+4E8B,805,0.0182,HAN_BASIC
特,U+7279,733,0.02,HAN_BASIC
連,U+9023,702,0.0209,HAN_BASIC
固,U+56FA,645,0.0227,HAN_BASIC
共,U+5171,634,0.0231,HAN_BASIC
几,U+51E0,582,0.0252,HAN_BASIC
庄,U+5E84,520,0.0282,HAN_BASIC
意,U+610F,514,0.0285,HAN_BASIC
㤫,U+392B,482,0.0304,CJK_EXT_A
旹,U+65F9,480,0.0306,HAN_BASIC
吏,U+540F,442,0.0332,HAN_BASIC
於,U+65BC,438,0.0335,HAN_BASIC
旦,U+65E6,433,0.0339,HAN_BASIC
垩,U+57A9,431,0.034,HAN_BASIC
碎,U+788E,424,0.0346,HAN_BASIC
衤,U+8864,414,0.0354,HAN_BASIC
命,U+547D,412,0.0356,HAN_BASIC
浪,U+6D6A,407,0.036,HAN_BASIC
翁,U+7FC1,401,0.0366,HAN_BASIC
道,U+9053,400,0.0367,HAN_BASIC
体,U+4F53,392,0.0374,HAN_BASIC
丕,U+4E15,372,0.0394,HAN_BASIC
𣈗,U+23217,370,0.0396,NOM_EXT_B_PLUS
女,U+5973,358,0.041,HAN_BASIC
塊,U+584A,355,0.0413,HAN_BASIC
欺,U+6B3A,353,0.0416,HAN_BASIC
漤,U+6F24,340,0.0431,HAN_BASIC
仍,U+4ECD,340,0.0431,HAN_BASIC
奴,U+5974,332,0.0442,HAN_BASIC
尼,U+5C3C,322,0.0456,HAN_BASIC
昆,U+6606,321,0.0457,HAN_BASIC
爲,U+7232,313,0.0469,HAN_BASIC
礼,U+793C,310,0.0473,HAN_BASIC
寺,U+5BFA,292,0.0502,HAN_BASIC
世,U+4E16,291,0.0504,HAN_BASIC
𣩂,U+23A42,290,0.0506,NOM_EXT_B_PLUS
