book,page,col,syl,kim,qwen,nna,label,tier
SachThanhTruyen4,page_0012,2,,崑,昆,昆,昆,MAJORITY
SachThanhTruyen4,page_0012,2,,别,別,別,別,MAJORITY
SachThanhTruyen4,page_0012,4,,廩,廪,廪,廪,MAJORITY
SachThanhTruyen4,page_0012,5,,刍,多,多,多,MAJORITY
SachThanhTruyen4,page_0012,6,,辞,碎,碎,碎,MAJORITY
SachThanhTruyen4,page_0012,6,,取,双,双,双,MAJORITY
SachThanhTruyen4,page_0012,7,,本,麻,麻,麻,MAJORITY
SachThanhTruyen4,page_0012,7,,左,丕,丕,丕,MAJORITY
SachThanhTruyen4,page_0012,8,,乕,沛,沛,沛,MAJORITY
SachThanhTruyen4,page_0012,8,,末,朱,朱,朱,MAJORITY
SachThanhTruyen4,page_0012,8,,㸦,朱,朱,朱,MAJORITY
SachThanhTruyen4,page_0014,0,,僊,德,德,德,MAJORITY
SachThanhTruyen4,page_0014,1,,周,固,固,固,MAJORITY
SachThanhTruyen4,page_0014,2,,存,麻,麻,麻,MAJORITY
SachThanhTruyen4,page_0014,3,,徳,德,德,德,MAJORITY
SachThanhTruyen4,page_0014,5,,存,称,称,称,MAJORITY
SachThanhTruyen4,page_0014,6,,兀,几,几,几,MAJORITY
SachThanhTruyen4,page_0014,6,,思,鬼,鬼,鬼,MAJORITY
SachThanhTruyen4,page_0014,7,,生,庄,庄,庄,MAJORITY
SachThanhTruyen4,page_0014,8,,思,鬼,鬼,鬼,MAJORITY
SachThanhTruyen4,page_0016,0,,徳,德,德,德,MAJORITY
SachThanhTruyen4,page_0016,0,,羙,美,美,美,MAJORITY
SachThanhTruyen4,page_0016,2,,薊,罰,罰,罰,MAJORITY
SachThanhTruyen4,page_0016,2,,施,地,地,地,MAJORITY
SachThanhTruyen4,page_0016,2,,丑,共,共,共,MAJORITY
SachThanhTruyen4,page_0016,5,,别,別,別,別,MAJORITY
SachThanhTruyen4,page_0016,6,,参,各,各,各,MAJORITY
SachThanhTruyen4,page_0016,8,,在,麻,麻,麻,MAJORITY
SachThanhTruyen4,page_0018,1,,𭪙,業,業,業,MAJORITY
SachThanhTruyen4,page_0018,3,,故,姑,姑,姑,MAJORITY
SachThanhTruyen4,page_0018,4,,黍,黎,黎,黎,MAJORITY
SachThanhTruyen4,page_0018,4,,兹,姑,姑,姑,MAJORITY
SachThanhTruyen4,page_0018,5,,丑,共,共,共,MAJORITY
SachThanhTruyen4,page_0018,5,,間,悶,悶,悶,MAJORITY
SachThanhTruyen4,page_0018,7,,獨,禍,禍,禍,MAJORITY
SachThanhTruyen4,page_0018,7,,起,老,老,老,MAJORITY
SachThanhTruyen4,page_0018,8,,方,离,离,离,MAJORITY
SachThanhTruyen4,page_0020,0,,辟,斫,斫,斫,MAJORITY
SachThanhTruyen4,page_0020,0,,屛,麻,麻,麻,MAJORITY
SachThanhTruyen4,page_0020,0,,僊,德,德,德,MAJORITY
SachThanhTruyen4,page_0020,1,,施,姑,姑,姑,MAJORITY
SachThanhTruyen4,page_0020,1,,雲,罢,罢,罢,MAJORITY
SachThanhTruyen4,page_0020,2,,辰,浪,浪,浪,MAJORITY
SachThanhTruyen4,page_0020,2,,生,庄,庄,庄,MAJORITY
SachThanhTruyen4,page_0020,3,,𬻝,無,無,無,MAJORITY
SachThanhTruyen4,page_0020,3,,冉,麻,麻,麻,MAJORITY
SachThanhTruyen4,page_0020,3,,生,庄,庄,庄,MAJORITY
SachThanhTruyen4,page_0020,4,,等,時,時,時,MAJORITY
SachThanhTruyen4,page_0020,4,,准,唯,唯,唯,MAJORITY
SachThanhTruyen4,page_0020,5,,裴,讓,讓,讓,MAJORITY
SachThanhTruyen4,page_0020,5,,𡉄,庄,庄,庄,MAJORITY
SachThanhTruyen4,page_0020,5,,節,郎,郎,郎,MAJORITY
SachThanhTruyen4,page_0020,6,,结,結,結,結,MAJORITY
SachThanhTruyen4,page_0020,6,,矢,天,天,天,MAJORITY
SachThanhTruyen4,page_0020,6,,因,固,固,固,MAJORITY
SachThanhTruyen4,page_0020,7,,河,阿,阿,阿,MAJORITY
SachThanhTruyen4,page_0020,7,,子,于,于,于,MAJORITY
SachThanhTruyen4,page_0020,8,,爺,郎,郎,郎,MAJORITY
SachThanhTruyen4,page_0020,8,,近,丕,丕,丕,MAJORITY
SachThanhTruyen4,page_0020,8,,遠,連,連,連,MAJORITY
