book,page,column,ocr_char,syllable,label,confirmed,rule,s3_cosine,s3_top,bbox
yen2,page_0012,1,六,bát,,0,diverged_column,,,"[1269, 498, 1319, 573]"
yen2,page_0012,1,曰,nhật,,0,diverged_column,,,"[1269, 573, 1319, 649]"
yen2,page_0012,2,祓,NHÁT,,0,diverged_column,,,"[1098, 59, 1202, 156]"
yen2,page_0012,2,依,Thánh,,0,diverged_column,,,"[1098, 544, 1202, 641]"
yen2,page_0012,2,那,Ina,,0,diverged_column,,,"[1098, 641, 1202, 739]"
yen2,page_0012,2,無,vồ,,0,diverged_column,,,"[1098, 933, 1202, 1030]"
yen2,page_0012,2,死,tử,,1,diverged_column,,,"[1098, 1030, 1202, 1127]"
yen2,page_0012,2,乕,vì,,0,diverged_column,,,"[1098, 1127, 1202, 1224]"
yen2,page_0012,2,道,đao,,1,diverged_column,,,"[1098, 1224, 1202, 1321]"
yen2,page_0012,2,傳,truyen,,0,diverged_column,,,"[1098, 1321, 1202, 1419]"
yen2,page_0012,3,圭,Thánh,,0,unconfirmed_no_s3,,,"[922, 150, 1054, 242]"
yen2,page_0012,3,君,này,,0,unconfirmed_no_s3,,,"[922, 242, 1054, 334]"
yen2,page_0012,3,要,là,,0,unconfirmed_no_s3,,,"[922, 334, 1054, 426]"
yen2,page_0012,3,兹,đầy,,0,below_visual_threshold,0.707,𧀟,"[922, 426, 1054, 517]"
yen2,page_0012,3,幹,ong,,0,below_visual_threshold,0.797,蚌,"[922, 884, 1054, 976]"
yen2,page_0012,3,梁,là,,0,below_visual_threshold,0.879,浪,"[922, 976, 1054, 1068]"
yen2,page_0012,3,兹,đầy,,0,below_visual_threshold,0.878,𣹓,"[922, 1068, 1054, 1160]"
yen2,page_0012,3,去,cùng,,0,below_visual_threshold,0.902,𧊮,"[922, 1710, 1054, 1802]"
yen2,page_0012,3,慓,rất,,0,below_visual_threshold,0.824,𫇐,"[922, 1894, 1054, 1986]"
yen2,page_0012,3,圭,Thánh,,0,below_visual_threshold,0.9,喒,"[922, 1986, 1054, 2078]"
yen2,page_0012,4,瑪,Ma,,0,diverged_column,,,"[771, 249, 895, 346]"
yen2,page_0012,4,傾,ri,,0,diverged_column,,,"[771, 346, 895, 442]"
yen2,page_0012,4,而,làm,,0,diverged_column,,,"[771, 1214, 895, 1310]"
yen2,page_0012,4,女,An,,0,diverged_column,,,"[771, 1889, 895, 1985]"
yen2,page_0012,4,卑,ti,,1,diverged_column,,,"[771, 1985, 895, 2082]"
yen2,page_0012,5,冥,ki,,0,unconfirmed_no_s3,,,"[616, 155, 725, 251]"
yen2,page_0012,5,般,Khi,,0,unconfirmed_no_s3,,,"[616, 251, 725, 347]"
yen2,page_0012,5,瑪,ma,,0,below_visual_threshold,0.835,𢣾,"[616, 732, 725, 828]"
yen2,page_0012,5,罪,là,,0,below_visual_threshold,0.896,号,"[616, 924, 725, 1020]"
yen2,page_0012,5,麽,đi,,0,below_visual_threshold,0.836,跢,"[616, 1308, 725, 1405]"
yen2,page_0012,6,用,vua,,0,below_visual_threshold,0.754,用,"[469, 366, 574, 466]"
yen2,page_0012,6,女,An,,0,below_visual_threshold,0.76,貫,"[469, 668, 574, 768]"
yen2,page_0012,6,冥,ki,,0,below_visual_threshold,0.809,其,"[469, 970, 574, 1071]"
yen2,page_0012,6,師,đòi,,0,below_visual_threshold,0.874,𡡦,"[469, 1171, 574, 1272]"
yen2,page_0012,6,噪,quở,,0,below_visual_threshold,0.81,𠵩,"[469, 1473, 574, 1574]"
yen2,page_0012,6,依,I,,0,below_visual_threshold,0.784,䠏,"[469, 1876, 574, 1977]"
yen2,page_0012,7,㑹,gọi,,0,below_visual_threshold,0.747,噲,"[322, 386, 425, 491]"
yen2,page_0012,7,銕,Dêu,,0,below_visual_threshold,0.748,搖,"[322, 597, 425, 703]"
yen2,page_0012,7,𦝫,rô,,0,below_visual_threshold,0.793,𫙔,"[322, 808, 425, 914]"
yen2,page_0012,7,局,vua,,0,below_visual_threshold,0.793,局,"[322, 1020, 425, 1125]"
yen2,page_0012,7,季,bụt,,0,below_visual_threshold,0.77,𡥞,"[322, 1337, 425, 1442]"
yen2,page_0012,7,煉,thưa,,0,below_visual_threshold,0.886,𫄋,"[322, 1654, 425, 1759]"
yen2,page_0012,7,局,vua,,0,below_visual_threshold,0.908,君,"[322, 1971, 425, 2077]"
yen2,page_0012,8,雄,phải,,0,unconfirmed_no_s3,,,"[155, 64, 258, 155]"
yen2,page_0012,8,纊,Dêu,,0,below_visual_threshold,0.766,𢳘,"[155, 613, 258, 705]"
yen2,page_0012,8,屠,rô,,0,below_visual_threshold,0.89,屠,"[155, 797, 258, 888]"
yen2,page_0012,8,恒,hăng,,0,below_visual_threshold,0.773,𦥷,"[155, 1163, 258, 1255]"
yen2,page_0012,8,主,Giê,,0,below_visual_threshold,0.704,𣏃,"[155, 1530, 258, 1621]"
yen2,page_0012,8,冊,là,,0,below_visual_threshold,0.844,容,"[155, 1713, 258, 1805]"
yen2,page_0012,8,暉,tôi,,0,below_visual_threshold,0.817,碎,"[155, 1988, 258, 2080]"
yen2,page_0012,9,困,Vua,,0,diverged_column,,,"[18, 69, 104, 159]"
yen2,page_0012,9,海,hỏi,,0,diverged_column,,,"[18, 159, 104, 250]"
yen2,page_0012,9,浪,răng,,1,diverged_column,,,"[18, 250, 104, 341]"
yen2,page_0012,9,疲,Ví,,0,diverged_column,,,"[18, 341, 104, 431]"
yen2,page_0012,9,平,băng,,0,diverged_column,,,"[18, 431, 104, 522]"
yen2,page_0012,9,石,vậy,,0,diverged_column,,,"[18, 704, 104, 794]"
