book,page,column,ocr_char,syllable,rescued_label,unicode,head_margin,bbox
yen2,page_0012,2,祓,NHÁT,拮,U+62EE,0.913,"[1287, 469, 1391, 576]"
yen2,page_0012,3,幹,ong,螉,U+8789,0.196,"[1111, 1285, 1243, 1395]"
yen2,page_0012,6,用,vua,君,U+541B,0.152,"[658, 766, 763, 886]"
yen2,page_0012,7,昜,dể,易,U+6613,0.427,"[511, 1313, 614, 1440]"
yen2,page_0012,7,局,vua,君,U+541B,1.243,"[511, 1419, 614, 1546]"
yen2,page_0012,8,屠,rô,嚕,U+5695,1.078,"[344, 1198, 447, 1307]"
yen2,page_0012,8,恒,hăng,行,U+884C,1.075,"[344, 1564, 447, 1674]"
yen2,page_0012,9,石,vậy,丕,U+4E15,0.181,"[207, 1105, 293, 1213]"
yen2,page_0012,9,奎,tao,蚤,U+86A4,0.186,"[207, 1286, 293, 1395]"
yen2,page_0014,1,学,bụt,孛,U+5B5B,0.25,"[1444, 653, 1541, 764]"
yen2,page_0014,1,羣,Trời,𡗶,U+215F6,0.13,"[1444, 1304, 1541, 1415]"
yen2,page_0014,1,却,dựng,鄧,U+9127,0.442,"[1444, 1397, 1541, 1508]"
yen2,page_0014,1,季,trời,天,U+5929,0.156,"[1444, 1583, 1541, 1694]"
yen2,page_0014,1,学,bụt,孛,U+5B5B,0.349,"[1444, 2327, 1541, 2438]"
yen2,page_0014,2,医,nước,渃,U+6E03,0.197,"[1272, 564, 1376, 675]"
yen2,page_0014,2,相,vua,君,U+541B,1.18,"[1272, 1029, 1376, 1140]"
yen2,page_0014,2,月,Vua,君,U+541B,0.215,"[1272, 2422, 1376, 2524]"
yen2,page_0014,3,履,rằng,浪,U+6D6A,0.218,"[1120, 856, 1218, 973]"
yen2,page_0014,4,交,lại,吏,U+540F,0.269,"[970, 1312, 1062, 1414]"
yen2,page_0014,5,運,tội,罪,U+7F6A,1.382,"[820, 905, 929, 1012]"
yen2,page_0014,5,㘴,hai,咍,U+548D,0.396,"[820, 1083, 929, 1190]"
yen2,page_0014,5,郎,sa,沙,U+6C99,0.108,"[820, 1351, 929, 1458]"
yen2,page_0014,6,姻,Vua,君,U+541B,1.119,"[665, 1112, 774, 1210]"
yen2,page_0014,7,羽,thịt,舌,U+820C,0.115,"[526, 991, 619, 1097]"
yen2,page_0014,7,伐,ấy,衣,U+8863,0.265,"[526, 1343, 619, 1449]"
yen2,page_0014,8,妄,An,安,U+5B89,0.199,"[368, 740, 465, 850]"
yen2,page_0014,8,陞,ta,些,U+4E9B,0.194,"[368, 2306, 465, 2416]"
yen2,page_0016,2,庚,đường,唐,U+5510,0.229,"[1265, 1623, 1368, 1739]"
yen2,page_0016,3,架,thầy,柴,U+67F4,0.111,"[1114, 1857, 1224, 1969]"
yen2,page_0016,3,膏,le,离,U+79BB,0.347,"[1114, 2137, 1224, 2249]"
yen2,page_0016,5,嗌,hai,台,U+53F0,0.125,"[812, 2034, 919, 2152]"
yen2,page_0016,7,直,nghe,宜,U+5B9C,0.213,"[510, 1637, 602, 1754]"
yen2,page_0016,7,諶,giảng,講,U+8B1B,1.3,"[510, 1734, 602, 1851]"
yen2,page_0016,8,醫,rê,黎,U+9ECE,1.08,"[344, 1447, 442, 1554]"
yen2,page_0018,2,𣈆,Rô,嚕,U+5695,1.158,"[1293, 622, 1396, 738]"
yen2,page_0018,2,揠,xu,樞,U+6A1E,0.337,"[1293, 1296, 1396, 1412]"
yen2,page_0018,2,征,đã,㐌,U+340C,0.126,"[1293, 2355, 1396, 2460]"
yen2,page_0018,4,曙,Rô,嚕,U+5695,0.98,"[975, 794, 1079, 906]"
yen2,page_0018,7,迎,giục,逐,U+9010,1.217,"[502, 612, 611, 730]"
yen2,page_0018,7,玄,đầy,苔,U+82D4,0.201,"[502, 1493, 611, 1611]"
yen2,page_0020,2,证,sạch,泟,U+6CDF,0.158,"[1257, 1579, 1359, 1700]"
yen2,page_0020,2,𭃡,ao,泑,U+6CD1,0.152,"[1257, 2188, 1359, 2309]"
yen2,page_0020,3,潜,chớ,𤀞,U+2401E,0.124,"[1114, 1584, 1223, 1706]"
yen2,page_0020,3,眼,căn,垠,U+57A0,0.224,"[1114, 1889, 1223, 2011]"
yen2,page_0020,7,哩,ra,囉,U+56C9,0.21,"[507, 2403, 611, 2509]"
