coverage,selective_risk,generalised_risk
0.00021,0.0,0.0
0.00253,0.0,0.0
0.00486,0.0,0.0
0.00718,0.0,0.0
0.0095,0.0,0.0
0.01182,0.0,0.0
0.01415,0.0,0.0
0.01647,0.0,0.0
0.01879,0.0,0.0
0.02111,0.0,0.0
0.02344,0.0,0.0
0.02576,0.0,0.0
0.02808,0.0,0.0
0.03041,0.0,0.0
0.03273,0.0,0.0
0.03505,0.0,0.0
0.03737,0.0,0.0
0.0397,0.0,0.0
0.04202,0.0,0.0
0.04434,0.0,0.0
0.04666,0.0,0.0
0.04899,0.0,0.0
0.05131,0.0,0.0
0.05363,0.0,0.0
0.05595,0.0,0.0
0.05828,0.0,0.0
0.0606,0.0,0.0
0.06292,0.0,0.0
0.06524,0.0,0.0
0.06757,0.0,0.0
0.06989,0.00302,0.00021
0.07221,0.00292,0.00021
0.07454,0.00283,0.00021
0.07686,0.00549,0.00042
0.07918,0.00533,0.00042
0.0815,0.00518,0.00042
0.08383,0.00504,0.00042
0.08615,0.0049,0.00042
0.08847,0.00477,0.00042
0.09079,0.00465,0.00042
0.09312,0.00454,0.00042
0.09544,0.00442,0.00042
0.09776,0.00432,0.00042
0.10008,0.00422,0.00042
0.10241,0.00412,0.00042
0.10473,0.00403,0.00042
0.10705,0.00394,0.00042
0.10938,0.00386,0.00042
0.1117,0.00378,0.00042
0.11402,0.0037,0.00042
0.11634,0.00363,0.00042
0.11867,0.00356,0.00042
0.12099,0.00349,0.00042
0.12331,0.00342,0.00042
0.12563,0.00336,0.00042
0.12796,0.0033,0.00042
0.13028,0.00324,0.00042
0.1326,0.00318,0.00042
0.13492,0.00313,0.00042
0.13725,0.00308,0.00042
0.13957,0.00303,0.00042
0.14189,0.00298,0.00042
0.14421,0.00293,0.00042
0.14654,0.00288,0.00042
0.14886,0.00284,0.00042
0.15118,0.00279,0.00042
0.15351,0.00275,0.00042
0.15583,0.00271,0.00042
0.15815,0.00267,0.00042
0.16047,0.00263,0.00042
0.1628,0.00259,0.00042
0.16512,0.00256,0.00042
0.16744,0.00378,0.00063
0.16976,0.00498,0.00084
0.17209,0.00491,0.00084
0.17441,0.00605,0.00106
0.17673,0.00597,0.00106
0.17905,0.0059,0.00106
0.18138,0.00582,0.00106
0.1837,0.00575,0.00106
0.18602,0.00795,0.00148
0.18834,0.00785,0.00148
0.19067,0.00775,0.00148
0.19299,0.00766,0.00148
0.19531,0.00757,0.00148
0.19764,0.00748,0.00148
0.19996,0.00739,0.00148
0.20228,0.00731,0.00148
0.2046,0.00722,0.00148
0.20693,0.00714,0.00148
0.20925,0.00706,0.00148
0.21157,0.00699,0.00148
0.21389,0.00691,0.00148
0.21622,0.00684,0.00148
0.21854,0.00676,0.00148
0.22086,0.00669,0.00148
0.22318,0.00662,0.00148
0.22551,0.00655,0.00148
0.22783,0.00649,0.00148
0.23015,0.00826,0.0019
0.23247,0.00817,0.0019
0.2348,0.00809,0.0019
0.23712,0.00801,0.0019
0.23944,0.00794,0.0019
0.24177,0.00786,0.0019
0.24409,0.00779,0.0019
0.24641,0.00771,0.0019
0.24873,0.00764,0.0019
0.25106,0.00757,0.0019
0.25338,0.0075,0.0019
0.2557,0.00743,0.0019
0.25802,0.00736,0.0019
0.26035,0.0073,0.0019
0.26267,0.00723,0.0019
0.26499,0.00717,0.0019
0.26731,0.0079,0.00211
0.26964,0.00783,0.00211
0.27196,0.00776,0.00211
0.27428,0.0077,0.00211
0.2766,0.00763,0.00211
0.27893,0.00757,0.00211
0.28125,0.00826,0.00232
0.28357,0.00819,0.00232
0.2859,0.00812,0.00232
0.28822,0.00879,0.00253
0.29054,0.00872,0.00253
0.29286,0.00865,0.00253
0.29519,0.00858,0.00253
0.29751,0.00852,0.00253
0.29983,0.00845,0.00253
0.30215,0.00978,0.00296
0.30448,0.00971,0.00296
0.3068,0.00964,0.00296
0.30912,0.00956,0.00296
0.31144,0.00949,0.00296
0.31377,0.00942,0.00296
0.31609,0.00935,0.00296
0.31841,0.00928,0.00296
0.32073,0.00987,0.00317
0.32306,0.01046,0.00338
0.32538,0.01103,0.00359
0.3277,0.01095,0.00359
0.33003,0.01088,0.00359
0.33235,0.01144,0.0038
0.33467,0.01136,0.0038
0.33699,0.0119,0.00401
0.33932,0.01182,0.00401
0.34164,0.01174,0.00401
0.34396,0.01289,0.00443
0.34628,0.0128,0.00443
0.34861,0.01272,0.00443
0.35093,0.01384,0.00486
0.35325,0.01375,0.00486
