book,syl,M,L,nB,look,knn,hog,v
stt11,a,亜,亞,9,False,0.5,0.5,MOT
stt11,a,亜,稼,10,False,0.91,0.76,HAI
stt11,biết,别,別,41,True,0.53,0.43,MOT
stt11,bỏ,補,𥙷,19,False,0.42,0.39,MOT
stt11,chăng,庒,庄,65,True,0.49,0.5,MOT
stt11,chưng,烝,蒸,8,False,0.5,0.47,MOT
stt11,chẳng,庒,庄,14,True,0.52,0.48,MOT
stt11,cùng,共,其,23,True,0.5,0.5,MOT
stt11,cùng,共,穷,19,False,0.92,0.74,HAI
stt11,cũng,共,拱,17,True,0.98,0.64,HAI
stt11,cả,竒,哿,11,False,0.57,0.46,MOT
stt11,hề,兮,係,11,False,1.0,0.68,HAI
stt11,hồn,魂,塊,10,True,0.48,0.45,MOT
stt11,linh,灵,㚑,20,False,0.5,0.53,MOT
stt11,lấy,礼,𢬦,22,False,0.5,0.41,MOT
stt11,lần,吝,各,9,True,0.5,0.54,MOT
stt11,ma,嗎,魔,10,False,0.99,0.84,HAI
stt11,mình,命,𠇮,12,True,0.79,0.5,HAI
stt11,một,更,蔑,10,False,0.58,0.5,MOT
stt11,ngày,時,𣈜,13,False,0.49,0.44,MOT
stt11,nhà,茹,茄,9,True,0.5,0.5,MOT
stt11,thì,時,寺,14,False,0.5,0.54,MOT
stt11,thật,实,實,10,False,1.0,0.64,HAI
stt11,thật,实,実,11,True,0.5,0.49,MOT
stt11,ti,𤰞,司,8,False,1.0,0.78,HAI
stt11,trong,中,盅,9,False,1.0,0.72,HAI
stt11,tử,死,子,13,False,1.0,0.78,HAI
stt11,xin,真,嗔,25,True,0.6,0.56,MOT
stt11,được,特,時,9,True,0.5,0.5,MOT
stt11,đến,旦,且,15,True,0.5,0.5,MOT
stt11,ấy,衣,乙,11,False,0.76,0.62,HAI
stt11,ấy,衣,𧘇,12,True,0.53,0.58,MOT
stt11,ấy,衣,帝,8,False,0.94,0.76,HAI
stt2,ai,埃,唉,9,True,0.46,0.44,MOT
stt2,bấy,悲,闭,10,False,1.0,0.71,HAI
stt2,bỏ,補,𥙷,36,False,0.49,0.59,MOT
stt2,chăng,庄,庒,14,True,0.5,0.5,MOT
stt2,chăng,庄,生,38,False,0.6,0.52,mo
stt2,càng,强,強,14,True,0.62,0.48,mo
stt2,cùng,共,其,58,True,0.52,0.5,MOT
