book,syllable,major,nA,minor,nB,knn_bacc,hog_bacc,perm_bacc,z,ext_chk,verdict
stt4,đức,徳,185,德,127,0.5,0.49,0.51,-0.2,0.0,MỘT HÌNH (OCR nhầm)
stt4,cùng,共,172,其,77,0.48,0.52,0.49,-0.3,1.0,MỘT HÌNH (OCR nhầm)
stt11,chăng,庒,200,庄,65,0.49,0.5,0.5,-0.4,0.0,MỘT HÌNH (OCR nhầm)
stt2,cùng,共,200,其,58,0.52,0.5,0.5,0.7,1.0,MỘT HÌNH (OCR nhầm)
stt11,biết,别,42,別,41,0.53,0.43,0.47,0.9,0.0,MỘT HÌNH (OCR nhầm)
stt2,xin,嗔,40,真,39,0.63,0.47,0.5,1.9,1.0,mờ
stt4,lắm,廪,50,廩,39,0.57,0.49,0.49,1.8,0.0,MỘT HÌNH (OCR nhầm)
stt4,biết,别,41,別,38,0.65,0.47,0.48,3.3,0.0,mờ
stt2,đức,徳,120,德,31,0.56,0.48,0.5,3.5,0.0,MỘT HÌNH (OCR nhầm)
stt4,một,没,87,殳,31,0.54,0.48,0.5,1.4,1.0,MỘT HÌNH (OCR nhầm)
stt2,ấy,衣,200,𧘇,26,0.52,0.5,0.5,1.2,0.0,MỘT HÌNH (OCR nhầm)
stt2,sự,事,200,亊,25,0.56,0.53,0.5,8.5,0.0,MỘT HÌNH (OCR nhầm)
stt11,xin,真,29,嗔,25,0.6,0.56,0.48,1.8,1.0,MỘT HÌNH (OCR nhầm)
stt11,cùng,共,200,其,23,0.5,0.5,0.5,0.7,1.0,MỘT HÌNH (OCR nhầm)
stt2,giờ,除,91,徐,22,0.53,0.45,0.5,1.3,0.0,MỘT HÌNH (OCR nhầm)
stt4,xin,真,22,填,20,0.61,0.47,0.46,1.6,1.0,mờ
stt2,nói,呐,27,内,19,0.56,0.52,0.47,1.3,0.0,MỘT HÌNH (OCR nhầm)
stt2,cũng,共,21,拱,19,0.9,0.66,0.48,5.0,0.0,HAI HÌNH (dị thể thật)
stt4,cũng,拱,22,共,18,0.87,0.6,0.48,4.7,0.0,HAI HÌNH (dị thể thật)
stt4,liền,連,138,蓮,18,0.53,0.5,0.5,2.8,0.0,MỘT HÌNH (OCR nhầm)
stt2,đoạn,段,21,断,18,0.94,0.65,0.48,6.8,0.0,HAI HÌNH (dị thể thật)
stt4,một,没,87,沒,18,0.52,0.49,0.48,3.5,0.0,MỘT HÌNH (OCR nhầm)
stt2,được,特,200,時,17,0.53,0.5,0.5,1.8,1.0,MỘT HÌNH (OCR nhầm)
