book,syl,M,L,nA,nB,v,knn,cosA,cosB,cosAB,db0.15_nc,db0.15_noise,db0.15_ari,db0.25_nc,db0.25_noise,db0.25_ari,db0.35_nc,db0.35_noise,db0.35_ari,km_ari,agg_ari,agg_min
stt11,a,亜,亞,23,9,MOT,0.5,0.415,0.247,0.319,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.25,0.19,2
stt11,a,亜,稼,23,10,HAI,0.91,0.415,0.439,0.245,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.76,0.66,11
stt11,biết,别,別,42,41,MOT,0.53,0.386,0.462,0.422,0,1.0,0.0,0,1.0,0.0,1,0.73,0.0,0.01,-0.0,1
stt11,bỏ,補,𥙷,30,19,MOT,0.42,0.415,0.361,0.39,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.07,0.02,1
stt11,chăng,庒,庄,200,65,MOT,0.49,0.356,0.36,0.356,0,1.0,0.0,0,1.0,0.0,2,0.81,-0.1,0.01,-0.01,1
stt11,chưng,烝,蒸,16,8,MOT,0.5,0.39,0.319,0.364,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.08,-0.04,1
stt11,chẳng,庒,庄,60,14,MOT,0.52,0.392,0.37,0.385,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.01,0.09,1
stt11,cùng,共,其,200,23,MOT,0.5,0.341,0.287,0.312,0,1.0,0.0,0,1.0,0.0,2,0.95,0.0,0.03,0.13,2
stt11,cùng,共,穷,200,19,HAI,0.92,0.341,0.449,0.222,0,1.0,0.0,0,1.0,0.0,3,0.92,0.56,0.55,-0.01,1
stt11,cũng,共,拱,23,17,HAI,0.98,0.289,0.428,0.248,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.81,-0.01,1
stt11,cả,竒,哿,14,11,MOT,0.57,0.364,0.374,0.356,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,-0.01,-0.02,1
stt11,hề,兮,係,11,11,HAI,1.0,0.456,0.434,0.215,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,1.0,1.0,11
stt11,hồn,魂,塊,31,10,MOT,0.48,0.365,0.444,0.401,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.05,-0.03,1
stt11,linh,灵,㚑,31,20,MOT,0.5,0.422,0.399,0.41,0,1.0,0.0,0,1.0,0.0,1,0.88,0.0,0.06,-0.02,2
stt11,lấy,礼,𢬦,27,22,MOT,0.5,0.369,0.372,0.368,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.07,-0.01,2
stt11,lần,吝,各,28,9,MOT,0.5,0.39,0.433,0.398,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.07,-0.04,1
stt11,ma,嗎,魔,36,10,HAI,0.99,0.427,0.362,0.163,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.82,0.21,2
stt11,mình,命,𠇮,95,12,HAI,0.79,0.416,0.385,0.33,0,1.0,0.0,0,1.0,0.0,2,0.73,-0.05,0.59,-0.02,1
stt11,một,更,蔑,30,10,MOT,0.58,0.323,0.293,0.289,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,-0.03,1
stt11,ngày,時,𣈜,20,13,MOT,0.49,0.391,0.307,0.349,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.04,0.03,1
stt11,nhà,茹,茄,76,9,MOT,0.5,0.375,0.389,0.384,0,1.0,0.0,0,1.0,0.0,1,0.93,0.0,0.01,-0.02,1
stt11,thì,時,寺,200,14,MOT,0.5,0.363,0.294,0.306,0,1.0,0.0,0,1.0,0.0,1,0.72,0.0,0.12,-0.01,1
stt11,thật,实,實,36,10,HAI,1.0,0.425,0.38,0.258,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,1.0,0.91,11
stt11,thật,实,実,36,11,MOT,0.5,0.425,0.275,0.337,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.23,0.19,2
stt11,ti,𤰞,司,14,8,HAI,1.0,0.466,0.524,0.225,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,1.0,1.0,8
stt11,trong,中,盅,103,9,HAI,1.0,0.331,0.383,0.186,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.76,1.0,9
stt11,tử,死,子,20,13,HAI,1.0,0.521,0.371,0.176,0,1.0,0.0,0,1.0,0.0,1,0.58,0.0,1.0,1.0,13
stt11,xin,真,嗔,29,25,MOT,0.6,0.419,0.356,0.378,0,1.0,0.0,0,1.0,0.0,1,0.91,0.0,0.01,0.01,1
stt11,được,特,時,196,9,MOT,0.5,0.373,0.295,0.337,0,1.0,0.0,0,1.0,0.0,3,0.7,-0.07,0.05,-0.02,2
stt11,đến,旦,且,189,15,MOT,0.5,0.328,0.345,0.334,0,1.0,0.0,0,1.0,0.0,2,0.73,-0.08,0.01,-0.01,1
stt11,ấy,衣,乙,31,11,HAI,0.76,0.363,0.307,0.279,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.26,0.08,1
stt11,ấy,衣,𧘇,31,12,MOT,0.53,0.363,0.339,0.341,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.06,0.01,3
stt11,ấy,衣,帝,31,8,HAI,0.94,0.363,0.4,0.214,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.88,0.88,7
stt2,ai,埃,唉,26,9,MOT,0.46,0.362,0.383,0.367,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.12,-0.04,1
stt2,bấy,悲,闭,13,10,HAI,1.0,0.327,0.362,0.146,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,1.0,1.0,10
stt2,bỏ,補,𥙷,37,36,MOT,0.49,0.372,0.364,0.37,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.01,-0.0,2
stt2,chăng,庄,庒,179,14,MOT,0.5,0.297,0.233,0.243,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.1,-0.01,1
