sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0000,𐬭,"""𐬭""",1.405,5,323
M1_0001,ส,"""ส""",1.205,3,299
M1_0002,---,"""---""",0.999,2,284
M1_0003,王,"""王""",0.935,2,224
M1_0004,峨,"""峨""",1.153,3,299
M1_0005,闲,"""闲""",1.149,2,295
M1_0006,สร้าง,"""สร้าง""",1.004,7,237
M1_0007,VIA,"""VIA""",0.976,3,250
M1_0008,ក្រុម,"""    ក្រុម""",1.406,12,301
M1_0009,阮 釭,"""阮\n釭""",1.458,6,349
M1_0010,---,"""---""",0.749,2,185
M1_0011,---,"""---""",1.507,2,389
M1_0012,酥,"""酥""",1.521,2,386
M1_0013,一则,"""一则""",0.956,3,263
M1_0014,---,"""---""",1.091,2,285
M1_0015,จ,"""จ""",1.004,3,285
M1_0016,𐬭,"""𐬭""",1.383,5,323
M1_0017,---,"""---""",0.864,2,224
M1_0018,（越南喃字）,"""（越南喃字）""",1.645,6,386
M1_0019,（越南喃字）,"""（越南喃字）""",1.535,6,365
M1_0020,---,"""---""",0.930,2,269
M1_0021,ក្រុម,"""ក្រុម""",1.208,11,224
M1_0022,𐬭,"""𐬭""",1.180,5,301
M1_0023,𐬭𐬭𐬭,"""𐬭𐬭𐬭""",1.468,12,309
M1_0024,สุ,"""สุ""",1.111,5,284
M1_0025,（越南喃字）,"""（越南喃字）""",1.218,6,295
M1_0026,𐬭,"""𐬭""",1.416,5,344
M1_0027,峦,"""峦""",1.274,3,318
M1_0028,สัก,"""สัก""",1.409,5,335
M1_0029,สุด,"""สุด""",1.180,7,257
M1_0030,越南喃字,"""越南喃字""",0.908,4,211
M1_0031,</table>,"""    </table>""",1.497,5,365
M1_0032,）,"""）""",1.158,2,317
M1_0033,𐬭,"""𐬭""",1.197,5,299
M1_0034,𐬭,"""𐬭""",1.029,5,269
M1_0035,หล,"""หล""",1.426,5,349
M1_0036,峦,"""峦""",0.618,3,137
M1_0037,峋,"""峋""",1.606,3,407
M1_0038,</table>,"""    </table>""",1.317,5,318
M1_0039,群,"""群""",0.843,2,209
M1_0040,สร้าง,"""สร้าง""",1.321,7,295
M1_0041,พิ,"""พิ""",1.018,4,269
M1_0042,]],"""]]""",0.978,2,253
M1_0043,---,"""---""",1.129,2,317
M1_0044,𐬭,"""𐬭""",1.273,5,299
M1_0045,𐬭𐬭,"""    𐬭𐬭""",1.651,12,365
M1_0046,峨,"""峨""",1.487,3,386
M1_0047,𐬭,"""𐬭""",1.541,5,369
M1_0048,𠀄,"""𠀄""",1.396,5,352
M1_0049,平,"""平""",0.769,2,189
M1_0050,（越南喃字）,"""（越南喃字）""",1.349,6,333
M1_0051,𐬭,"""𐬭""",1.216,5,309
M1_0052,（越南喃字）,"""（越南喃字）""",1.280,6,295
M1_0053,越南喃字,"""越南喃字""",1.192,4,314
M1_0054,"<table border=""1""><tr><td>库</td","""<table border=\""1\""><tr><td>库</td""",1.435,12,295
M1_0055,---,"""---""",0.902,2,253
M1_0056,ส,"""ส""",1.490,3,390
M1_0057,---,"""---""",1.234,2,317
M1_0058,二,"""二""",1.127,2,314
M1_0059,越南喃字,"""越南喃字""",1.228,4,301
M1_0060,ម្រ,"""ម្រ""",0.942,7,209
M1_0061,𐬭,"""𐬭""",0.971,5,211
M1_0062,---,"""---""",0.728,2,197
M1_0063,越南喃字,"""越南喃字""",1.416,4,344
M1_0064,𐬭,"""𐬭""",1.320,5,333
M1_0065,สุ,"""สุ""",1.167,5,269
M1_0066,𐬭𐬭,"""𐬭𐬭""",1.320,9,295
M1_0067,𐬭𐬭𐬭,"""𐬭𐬭𐬭""",1.255,12,250
M1_0068,请,"""请""",0.953,2,253
M1_0069,មក,"""មក""",1.133,5,285
M1_0070,ติ,"""ติ""",1.038,4,250
M1_0071,𐬭,"""𐬭""",1.144,5,285
M1_0072,---,"""---""",1.363,2,352
M1_0073,殆,"""殆""",1.149,3,317
M1_0074,𐬭,"""𐬭""",1.428,5,349
M1_0075,𐬭,"""𐬭""",1.292,5,314
M1_0076,ក្រុម,"""ក្រុម""",1.352,11,284
M1_0077,ขอ,"""ขอ""",1.349,4,335
M1_0078,𐬭,"""𐬭""",1.040,5,250
M1_0079,^     ㇂,"""    ^\n    ㇂""",1.403,9,317
M1_0080,---,"""---""",0.924,2,237
M1_0081,闪,"""闪""",1.422,2,369
M1_0082,心主,"""心主""",1.395,3,335
M1_0083,点,"""点""",1.444,2,386
M1_0084,ក្រុម,"""    ក្រុម""",1.344,12,263
M1_0085,（越南喃字）,"""（越南喃字）""",1.312,6,314
M1_0086,ตำ,"""ตำ""",1.040,5,250
M1_0087,</table>,"""    </table>""",1.134,5,269
M1_0088,𐬭𐬭𐬭,"""𐬭𐬭𐬭""",1.782,12,386
M1_0089,𠀄,"""𠀄""",0.901,5,209
M1_0090,𐬭,"""𐬭""",1.194,5,281
M1_0091,jit,"""jit""",1.146,3,314
M1_0092,ตัว,"""ตัว""",1.433,6,349
M1_0093,峠,"""峠""",1.005,3,276
M1_0094,สำ,"""สำ""",1.277,5,295
M1_0095,（越南喃字）,"""（越南喃字）""",1.099,6,267
M1_0096,---,"""---""",1.123,2,285
