sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0000,,"""""",1.294,1,323
M1_0001,,"""""",1.123,1,299
M1_0002,,"""""",0.962,1,284
M1_0003,,"""""",0.837,1,224
M1_0004,,"""""",1.024,1,299
M1_0005,闲,"""闲""",1.162,2,295
M1_0006,,"""""",0.884,1,237
M1_0007,,"""""",0.941,1,250
M1_0008,,"""""",1.118,1,301
M1_0009,,"""""",1.319,1,349
M1_0010,,"""""",0.705,1,185
M1_0011,,"""""",1.392,1,389
M1_0012,,"""""",1.461,1,386
M1_0013,,"""""",1.001,1,263
M1_0014,,"""""",1.005,1,285
M1_0015,,"""""",1.081,1,285
M1_0016,,"""""",1.186,1,323
M1_0017,,"""""",0.892,1,224
M1_0018,,"""""",1.432,1,386
M1_0019,,"""""",1.299,1,365
M1_0020,,"""""",0.931,1,269
M1_0021,,"""""",0.886,1,224
M1_0022,,"""""",1.034,1,301
M1_0023,,"""""",1.172,1,309
M1_0024,,"""""",0.940,1,284
M1_0025,,"""""",1.149,1,295
M1_0026,,"""""",1.256,1,344
M1_0027,,"""""",1.181,1,318
M1_0028,,"""""",1.315,1,335
M1_0029,,"""""",0.912,1,257
M1_0030,,"""""",0.830,1,211
M1_0031,,"""""",1.313,1,365
M1_0032,,"""""",1.126,1,317
M1_0033,,"""""",1.025,1,299
M1_0034,,"""""",0.983,1,269
M1_0035,,"""""",1.301,1,349
M1_0036,,"""""",0.542,1,137
M1_0037,,"""""",1.581,1,407
M1_0038,,"""""",1.293,1,318
M1_0039,,"""""",0.726,1,209
M1_0040,,"""""",1.146,1,295
M1_0041,,"""""",0.939,1,269
M1_0042,,"""""",0.897,1,253
M1_0043,,"""""",1.126,1,317
M1_0044,,"""""",1.093,1,299
M1_0045,,"""""",1.304,1,365
M1_0046,,"""""",1.475,1,386
M1_0047,,"""""",1.377,1,369
M1_0048,,"""""",1.223,1,352
M1_0049,,"""""",0.686,1,189
M1_0050,,"""""",1.213,1,333
M1_0051,,"""""",1.193,1,309
M1_0052,,"""""",1.056,1,295
M1_0053,,"""""",1.150,1,314
M1_0054,,"""""",1.054,1,295
M1_0055,,"""""",0.931,1,253
M1_0056,,"""""",1.422,1,390
M1_0057,,"""""",1.198,1,317
M1_0058,,"""""",1.067,1,314
M1_0059,,"""""",1.120,1,301
M1_0060,,"""""",0.751,1,209
M1_0061,,"""""",0.787,1,211
