sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0000,𫴮,"""𫴮""",0.815,5,410
M1_0001,𠊛,"""𠊛""",0.889,5,386
M1_0002,𫴮,"""𫴮""",0.753,5,371
M1_0003,𠊛,"""𠊛""",0.724,5,311
M1_0004,𠊚,"""𠊚""",0.807,5,386
M1_0005,𫴮,"""𫴮""",0.859,5,382
M1_0006,𠊛,"""𠊛""",0.621,5,324
M1_0007,𠊚,"""𠊚""",0.753,5,337
M1_0008,𠊚,"""𠊚""",0.782,5,388
M1_0009,𫴮,"""𫴮""",1.008,5,436
M1_0010,---,"""---""",0.397,2,272
M1_0011,𫴮,"""𫴮""",1.115,5,476
M1_0012,𫴮,"""𫴮""",0.979,5,473
M1_0013,𠊛,"""𠊛""",0.796,5,350
M1_0014,𫴮,"""𫴮""",0.814,5,372
M1_0015,𫴮,"""𫴮""",0.788,5,372
M1_0016,𫴮,"""𫴮""",0.949,5,410
M1_0017,𫴮,"""𫴮""",0.614,5,311
M1_0018,𠊛,"""𠊛""",1.093,5,473
M1_0019,𫴮,"""𫴮""",0.921,5,452
M1_0020,𠊚,"""𠊚""",0.791,5,356
M1_0021,𫴮,"""𫴮""",0.662,5,311
M1_0022,𠊚,"""𠊚""",0.883,5,388
M1_0023,𠊚,"""𠊚""",0.880,5,396
M1_0024,𠊚,"""𠊚""",0.730,5,371
M1_0025,𠊚,"""𠊚""",0.841,5,382
M1_0026,𫴮,"""𫴮""",0.877,5,431
M1_0027,𫴮,"""𫴮""",0.953,5,405
M1_0028,𫴮,"""𫴮""",0.829,5,422
M1_0029,𫴮,"""𫴮""",0.806,5,344
M1_0030,𫴮,"""𫴮""",0.538,5,298
M1_0031,"Actually, the image shows ""仄"" and ""","""Actually, the image shows \""仄\"" and \""""",1.172,12,452
M1_0032,𫴮,"""𫴮""",0.896,5,404
M1_0033,𠊚,"""𠊚""",0.793,5,386
M1_0034,𫴮,"""𫴮""",0.797,5,356
M1_0035,𫴮,"""𫴮""",0.880,5,436
M1_0036,---,"""---""",0.396,2,224
M1_0037,𠊛,"""𠊛""",1.026,5,494
M1_0038,𠊚,"""𠊚""",0.936,5,405
M1_0039,𠊚,"""𠊚""",0.580,5,296
M1_0040,𫴮,"""𫴮""",0.860,5,382
M1_0041,𠊛,"""𠊛""",0.695,5,356
M1_0042,𠊚,"""𠊚""",0.752,5,340
M1_0043,𫴮,"""𫴮""",0.806,5,404
M1_0044,𫴮,"""𫴮""",0.866,5,386
M1_0045,正确答案：𣈗,"""正确答案：𣈗""",1.004,8,452
M1_0046,𫴮,"""𫴮""",1.039,5,473
M1_0047,𫴮,"""𫴮""",1.041,5,456
M1_0048,𫴮,"""𫴮""",0.859,5,439
M1_0049,𠊛,"""𠊛""",0.583,5,276
M1_0050,𫴮,"""𫴮""",0.831,5,420
M1_0051,𠊚,"""𠊚""",0.900,5,396
M1_0052,𫴮,"""𫴮""",0.786,5,382
M1_0053,𠊚,"""𠊚""",0.919,5,401
M1_0054,𫴮,"""𫴮""",0.746,5,382
M1_0055,𠊛,"""𠊛""",0.778,5,340
M1_0056,𫴮,"""𫴮""",0.996,5,477
M1_0057,𫴮,"""𫴮""",0.857,5,404
M1_0058,𠊚,"""𠊚""",0.875,5,401
M1_0059,𫴮,"""𫴮""",0.798,5,388
M1_0060,𠊛,"""𠊛""",0.663,5,296
M1_0061,𫴮,"""𫴮""",0.602,5,298
M1_0062,𫴮,"""𫴮""",0.614,5,284
M1_0063,𫴮,"""𫴮""",0.889,5,431
M1_0064,𠊚,"""𠊚""",0.943,5,420
M1_0065,𫴮,"""𫴮""",0.712,5,356
M1_0066,𫴮,"""𫴮""",0.830,5,382
M1_0067,𠊚,"""𠊚""",0.668,5,337
M1_0068,𠊚,"""𠊚""",0.751,5,340
M1_0069,𠊚,"""𠊚""",0.733,5,372
M1_0070,𠊛,"""𠊛""",0.736,5,337
M1_0071,𫴮,"""𫴮""",0.756,5,372
M1_0072,𫴮,"""𫴮""",0.888,5,439
M1_0073,𫴮,"""𫴮""",0.854,5,404
M1_0074,𠊛,"""𠊛""",0.932,5,436
M1_0075,𫴮,"""𫴮""",0.775,5,401
M1_0076,𫴮,"""𫴮""",0.784,5,371
M1_0077,𫴮,"""𫴮""",0.912,5,422
M1_0078,𫴮,"""𫴮""",0.652,5,337
M1_0079,𠊚,"""𠊚""",0.857,5,404
M1_0080,𠊛,"""𠊛""",0.685,5,324
M1_0081,𫴮,"""𫴮""",0.895,5,456
M1_0082,𠊚,"""𠊚""",0.910,5,422
M1_0083,𫴮,"""𫴮""",1.048,5,473
M1_0084,𠊚,"""𠊚""",0.676,5,350
M1_0085,𠊚,"""𠊚""",0.864,5,401
M1_0086,𠊚,"""𠊚""",0.712,5,337
M1_0087,𠊚,"""𠊚""",0.687,5,356
M1_0088,𫴮,"""𫴮""",1.025,5,473
M1_0089,𠊛,"""𠊛""",0.628,5,296
M1_0090,𠊚,"""𠊚""",0.728,5,368
M1_0091,𫴮,"""𫴮""",0.854,5,401
M1_0092,𫴮,"""𫴮""",0.942,5,436
M1_0093,𫴮,"""𫴮""",0.717,5,363
M1_0094,𠊚,"""𠊚""",0.795,5,382
M1_0095,𠊚,"""𠊚""",0.757,5,354
M1_0096,𫴮,"""𫴮""",0.717,5,372
M1_0097,𠊛,"""𠊛""",0.822,5,386
M1_0098,𠊚,"""𠊚""",0.862,5,404
M1_0099,𫴮,"""𫴮""",0.782,5,473
M1_0100,𠊚,"""𠊚""",0.501,5,354
M1_0101,𫴮,"""𫴮""",0.690,5,456
M1_0102,𫴮,"""𫴮""",0.582,5,401
M1_0103,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.669,12,401
M1_0104,𫴮,"""𫴮""",0.578,5,404
M1_0105,𫴮,"""𫴮""",0.578,5,401
M1_0106,𫴮,"""𫴮""",0.686,5,456
M1_0107,𫴮,"""𫴮""",0.470,5,332
M1_0108,𫴮,"""𫴮""",0.741,5,496
M1_0109,𫴮,"""𫴮""",0.610,5,420
M1_0110,𫴮,"""𫴮""",0.511,5,350
M1_0111,𠊚,"""𠊚""",0.584,5,401
M1_0112,𫴮,"""𫴮""",0.648,5,368
M1_0113,𠊚,"""𠊚""",0.926,5,404
M1_0114,𫴮,"""𫴮""",0.710,5,354
M1_0115,𠊚,"""𠊚""",0.986,5,440
M1_0116,𠊚,"""𠊚""",0.897,5,396
M1_0117,𫴮,"""𫴮""",0.852,5,436
M1_0118,𫴮,"""𫴮""",0.827,5,371
M1_0119,𠊚,"""𠊚""",0.788,5,405
M1_0120,𠊚,"""𠊚""",0.876,5,388
M1_0121,𠊚,"""𠊚""",0.779,5,404
M1_0122,𠊚,"""𠊚""",0.757,5,337
M1_0123,𫴮,"""𫴮""",0.689,5,340
M1_0124,𠊚,"""𠊚""",0.909,5,401
M1_0125,𫴮,"""𫴮""",0.819,5,405
M1_0126,𠊚,"""𠊚""",0.836,5,368
M1_0127,𠊛,"""𠊛""",0.833,5,420
M1_0128,ignou,"""ignou""",0.755,3,356
M1_0129,𠊛,"""𠊛""",0.899,5,404
M1_0130,𫴮,"""𫴮""",0.795,5,388
M1_0131,𫴮,"""𫴮""",0.842,5,382
M1_0132,𫴮,"""𫴮""",0.677,5,337
M1_0133,𠊚,"""𠊚""",0.914,5,401
M1_0134,𠊚,"""𠊚""",0.770,5,382
M1_0135,𫴮,"""𫴮""",0.749,5,340
M1_0136,𠊛,"""𠊛""",0.568,5,308
M1_0137,𠊛,"""𠊛""",0.711,5,324
M1_0138,𫴮,"""𫴮""",0.821,5,416
M1_0139,𫴮,"""𫴮""",0.873,5,382
M1_0140,𠊚,"""𠊚""",0.852,5,422
M1_0141,𫴮,"""𫴮""",0.900,5,404
M1_0142,𫴮,"""𫴮""",0.833,5,422
M1_0143,𫴮,"""𫴮""",0.841,5,371
M1_0144,𫴮,"""𫴮""",0.744,5,356
M1_0145,答案：桅,"""答案：桅""",0.746,5,326
M1_0146,𫴮,"""𫴮""",0.974,5,436
M1_0147,𫴮,"""𫴮""",0.944,5,458
M1_0148,𠊚,"""𠊚""",0.974,5,420
M1_0149,𠊚,"""𠊚""",0.809,5,405
M1_0150,𫴮,"""𫴮""",0.834,5,376
M1_0151,𠊚,"""𠊚""",0.961,5,439
M1_0152,𫴮,"""𫴮""",0.731,5,354
M1_0153,𫴮,"""𫴮""",0.788,5,356
M1_0154,𠊚,"""𠊚""",0.638,5,311
M1_0155,𫴮,"""𫴮""",0.814,5,368
M1_0156,𠊚,"""𠊚""",0.799,5,405
M1_0157,𠊛,"""𠊛""",0.762,5,356
M1_0158,𫴮,"""𫴮""",0.723,5,354
M1_0159,𫴮,"""𫴮""",0.921,5,404
M1_0160,𫴮,"""𫴮""",0.780,5,382
M1_0161,𠊛,"""𠊛""",0.776,5,325
M1_0162,𫴮,"""𫴮""",0.704,5,354
M1_0163,𠊚,"""𠊚""",0.880,5,386
M1_0164,𠊚,"""𠊚""",0.787,5,388
M1_0165,𫴮,"""𫴮""",0.922,5,405
M1_0166,𫴮,"""𫴮""",0.986,5,440
M1_0167,𠊚,"""𠊚""",0.687,5,337
M1_0168,𠊚,"""𠊚""",0.767,5,356
M1_0169,𠊚,"""𠊚""",0.769,5,382
M1_0170,"Actually, the image shows ""仄"" and ""","""Actually, the image shows \""仄\"" and \""""",1.032,12,388
M1_0171,𫴮,"""𫴮""",1.065,5,473
M1_0172,𫴮,"""𫴮""",0.773,5,404
M1_0173,𫴮,"""𫴮""",0.760,5,354
M1_0174,𫴮,"""𫴮""",0.753,5,356
M1_0175,𫴮,"""𫴮""",0.743,5,337
M1_0176,𫴮,"""𫴮""",0.744,5,368
M1_0177,𠊚,"""𠊚""",0.726,5,332
M1_0178,𠊛,"""𠊛""",0.846,5,416
M1_0179,𫴮,"""𫴮""",0.804,5,350
M1_0180,𫴮,"""𫴮""",0.780,5,404
M1_0181,𠊚,"""𠊚""",0.757,5,340
M1_0182,𫴮,"""𫴮""",0.824,5,420
M1_0183,𠊚,"""𠊚""",0.879,5,388
M1_0184,𠊛,"""𠊛""",0.584,5,314
M1_0185,𠊚,"""𠊚""",0.870,5,388
M1_0186,𫴮,"""𫴮""",0.588,5,308
M1_0187,𠊚,"""𠊚""",1.001,5,440
M1_0188,𫴮,"""𫴮""",0.827,5,422
M1_0189,𠊚,"""𠊚""",0.832,5,368
M1_0190,𫴮,"""𫴮""",0.798,5,401
M1_0191,𫴮,"""𫴮""",0.928,5,416
M1_0192,𠊚,"""𠊚""",0.889,5,404
M1_0193,𠊚,"""𠊚""",0.664,5,324
M1_0194,𠊛,"""𠊛""",0.920,5,401
M1_0195,𠊛,"""𠊛""",0.790,5,386
M1_0196,𠊛,"""𠊛""",0.777,5,354
M1_0197,𠊛,"""𠊛""",0.751,5,376
M1_0198,𫴮,"""𫴮""",0.894,5,404
M1_0199,𫴮,"""𫴮""",0.630,5,326
