sample_id,pred,col_pred,col_kinh,pos,align_op,col_lev,n_col_pred,sec
M2_0000,爱,生坤困难禀連迈爱柒因省仁德求朱安慰,膩前生坤困难凛連返妄柴因省仁徳求朱安慰,9,sub,7,17,2.204
M2_0001,閱,命碑朱特旦其僡主立秋麻浩碎文鈷接者閱朱碑,寸俊𠇭碎喁朱時旦兵徳主支秋麻活碎文乾按寿隘朱那,20,sub,15,20,1.949
M2_0002,也,彥德王裔迤宜剐桨也朱思符恕每事世閣,𬽣昆弇徳主裔也直夜架犯朱花屛地每亊世閤,10,sub,15,17,1.899
M2_0003,吏,冷吞事入泉衙旦几助吏体各孥蔼女裈,國在因令共各某為事入欺街旦几𦔳杢体各柴篇女朝,15,sub,15,16,2.118
M2_0004,諈,此二掂在旦窘罷等師理公刻寻以明諈冥圣天神,油麻些推在旦實𫆅亊肺理八商㝵八内事異圣天神,16,sub,15,20,2.186
M2_0005,百,寿已茹除百伴其谷絮仁德辈必滔,欺年返㕮歲秦已茹𠏉可伴共荅架仁徳常唱𨺻,9,sub,15,14,2.291
M2_0006,而,共孔稹斧取谷其而蓖了朱年夜計我車石磊陇酹兮垂范,之共几撰斧奴斧其而葩古朱年衣計移率磊僥面𭔿里苑,8,eq,16,23,1.965
M2_0007,哥,命得妻係男禮哥畢咋寻些呐共命很,多尼拮殻命時妻係罟禮守寺昨㝵些呐共命浪,10,sub,11,15,1.675
M2_0008,,事庫朱眉補主丞眉嗘宧麻,乇壽𡖋林顔事庫朱眉補好主忝眉唉喧官麻,1,del,10,11,1.646
M2_0009,作,奇导連作混字久多吏曰字恪儀尼寸也,侯下燒寺㝵連仰慌字氏多吏曰字怪悢尼卄娘,6,sub,12,16,2.105
M2_0010,民,郎城獅為牙麻諸帝為兩民仍境道摸著不,各柴礼郎城獅為牙麻謁帝為闕安良仍燒道模署丕,14,sub,11,17,1.775
M2_0011,流,主丞天下固選奇底朱俺流燒道閑共浮,罢好主忝罰天下固遜磊寺㡳朱僥淚燒道困共汙,14,sub,12,16,1.637
M2_0012,彂,共擞鵝烨罤馬牙蚕底朱彂不虞舜双雷,官打特共熾姻𤇺䍐馬好主吞底朱弇不属碎双啻可,14,sub,15,16,1.887
M2_0013,,扒本通者拱扒姻名脨寻圭閔麻童尚奇,解欺列孔本通對按扒妃君麻㝵乇固岸麻童百寺,0,del,15,16,1.847
M2_0014,弄,善瑪弄蜀有弘寿真堂珠醉郎庫市朱南私,署瑪弄罰奝孔者𭑨舜至珠辨郎事求來悶礼古,2,eq,15,17,1.707
M2_0015,何,有九奸也劉時宱祀而呃康峠双窗妃韭何崷些浪,特塊斫况奸旦創碍官祀夜呪麻牡双离妃圭傾将些腹,18,sub,17,20,1.943
M2_0016,咽,王愈五麻咽浪芦之蚕蚕心朱眉瑰雅尼麻诸寻訟,如干爺丕麻咽浪事之蚤戞小朱眉塊淮尼麻渚㝵於,5,eq,13,20,2.056
M2_0017,弁,啋勣本特旦昺蕻走結痞帯紶永墓弁,户行吏旦遂囉勧庄特旦淂𩔗委数稜𨺚常麩𣱵墓坌,20,sub,18,15,2.124
M2_0018,前,前要壮怨女麻百受事前势常域别省断浪,用府要仕怨奴麻可幾亊寿将紫域别省断服,1,sub,11,17,2.015
M2_0019,咒,屠体援折唐道旦城那俄汕真因絮先咒潼,馬坦似诸屬体埃折店道旦城那俄涵具因架先芒港,19,sub,12,17,1.602
M2_0020,戢,仍事庄官仪運惲遣笼寻色厨麻踪序戢,君㐌牀麻除仍事庄年官衣連陣遣免㝵色厨麻蜍孛敗,21,sub,14,16,1.767
M2_0021,哩,哩匠依龅牙庄烊黙事対女朱旦副王,事衬麻哿常匠依葩牙庒庠黙事対女朱旦副丕,4,sub,9,15,1.820
M2_0022,,世間清搱毫事之虛女旦川得旱作丰積米泊石福,𬒳於世閻𡸁渚拜竜亊之盈女旦州得㝵代半禎恭日万福,0,del,17,20,1.834
M2_0023,虎,虎叁宠街旦腴寻礼多戈積沛墩,㐌漸翁批鲁輙虎各至䆒術旦歇㝵礼多戈稜沛歇,6,eq,14,13,1.632
M2_0024,耸,支秋罘朱旦耸垂尼特拴獭迈斛,自列主支秋䍐代朱旦弇堊尼特於林返師,9,sub,11,13,1.858
M2_0025,歇,倚長耙认連折想巴哹糖吏届爬浚圭歇,塊幾倘毘報舜入連折思巴呼勝吏后尾後求𣣔,18,sub,15,16,2.130
M2_0026,,安霁冕光垂拓府拈旺彘体话熱禊罡,君於而丕伍餉古安䘮蜀梁奔捲斥枯旺戛体话黙襖罪,2,del,18,15,1.888
M2_0027,徐,倭麻印形像召团徐圣押暑麻遺而礼,㝵預斾連陵麻印形豫𮎛用除冬垩押㝵梁麻遣而礼,12,sub,14,15,1.888
M2_0028,懇,懇敆板侗犊烩麻押色命她辈衣,姑蓮塊懶改神板個膿煜麻押包命地垩伐,4,sub,13,13,2.346
M2_0029,新,固教近松寻窗彻者讥窮麻折歌新天神惊伞,庄悲除固𭭕返释㝵寳泑者沉廟麻折歌都天神保李,16,sub,14,18,1.740
M2_0030,滋,故宸我補妑垂衣包鑊滋煨双寄暑就君,去信竝叚官代補妃季衣包鑊𭰖飧双离㝵於君,12,sub,13,16,1.778
M2_0031,百,得麳罔宜正莫寻百曰無奇每從几庢道能,民在特得輝眉宜石欺㝵百曰無寺所每役几因道能,10,eq,12,17,2.235
M2_0032,放,几罢放主寻前违先仪家昆命君忍刀恐耀,年固僥几罢放盖㝵寺逹先仪來昆命君忍刀理等,5,eq,10,17,1.596
M2_0033,痣,特剃粟漾歹迎罘体希石閭禹痣敢晋群願中品韭兀,特别葉弄好细要体希石固弟底取骨群願中姦垩孔,12,sub,14,21,2.101
M2_0034,,冒別從主爾閱朱埀散谷至中八用,共冬本道置别八徳主裔悶朱塟殻各堊中入用,1,del,15,14,2.037
M2_0035,頂,体布飛之固几底呈翁碎圭頂雎婦共昙翁裱油,衆体布地民之固几浪呈翁碎乇直首婦共昆翁辰神,13,sub,10,19,1.941
M2_0036,吞,体固意万主吞而正罝宜麻旭皇江体暑連明凛毒,双爵体固意歹主吞不丕置宜麻妃皇瓜体㝵連明廪街,7,eq,11,20,1.833
M2_0037,複,宜調及連耸堇衣複袋心在麻眉在固,收字達首調衣連海弇垩伐履衾以石麻眉在固,11,sub,13,15,1.653
M2_0038,,意奈寻厝敞長展德主奣閑,𠬧爵罢屡意真秦者㝵置願殷奏辰恩徳主喬周,0,del,17,11,2.191
M2_0039,救,天下於朱凭清禈義德王支救共熊曰書改朱悯,勧天下於朱凭渚補義徳主支極共能曰書汶朱個,12,sub,9,19,2.069
M2_0040,命,天下麻几庄救姽命庄肯福之共五正圣吏待丑,共粹末天下麻几庄赦媚𠇭庄特福之共知主吞吏特丑,10,sub,11,19,1.734
M2_0041,謜,特吆南寻固侥福伤謜主至善朱哥,帝䏻差特吹南㝵固既福衡漂壽知主吞善朱㝵,13,sub,12,14,1.879
M2_0042,遐,理奇妑以朱殍復妲衣懤唐宜剏遐而至架,团徐禁衣辰理寺妃㪷朱碎欣妃伐慱馬宜夜遥而丕禁,18,sub,18,17,1.824
M2_0043,对,导只对渴麻罢浇要对庄特灵魂罘堀特,妻㝵㝵𡰱対渴麻罢虎要対及庄特女灵魂䍐塊虎特,11,sub,12,16,2.003
M2_0044,娛,侣几折衣叁堇連戮壽衘後散落之娛女,泖仍几折衣冬垩連代據寺術楼歇渚𡖋之族女,17,sub,13,16,1.789
M2_0045,,咒共讫寔伞至抽窗奴箙奏闹市固理之,入連涅䍐共沙麾尋垩抛啻奴浪奏困市固理之,0,del,12,16,2.053
M2_0046,,唐道冷麻飭朱特補麻臻字仍麻曳寻,官㝵𫠉道於麻尒歇飭朱特補麻蜍季仍麻曳㝵,6,del,9,15,1.742
M2_0047,邑,思庄奇朱邑炕赵朱昆在灶新寻笆中赵穗,或沛斫鬼庄香朱色而炕妄外朱昆衣灶都㝵色中数視,8,sub,15,17,1.731
M2_0048,猩,夜即猩明滁盂痴浪碎兕乾稓伤主支秋獰卿子乙,徐𭔿垩夜那福明麻盂病浪碎畏紇楉例主支秋獰獅乙,5,sub,13,20,2.241
M2_0049,,奴毒四結麻吆寻鈣在恣湛頫思体群卞而,唯制要奴詩玄四結麻吰㝵䏻君怪堪獵凜思体群卞而,4,del,13,17,2.108
M2_0050,河,玉石藏出酥美弄吞乐徙接耸望末施河云位奴,徳主左蘇由蘇羙弄各与徒摂弇望末施河公位奴,16,eq,13,19,2.081
M2_0051,,痢搀而所烬當饮女異逐補道固宿時蒟,技極涸按而斫扵與欤女昇逐補通固府時朝,1,del,12,16,2.150
M2_0052,井,朱晃旭禾灵兇命井末倦灵兇几恪事仄罪事呉放祕,诸底朱昆妃末灵魏命安末障灵𨢄几恪事依梁事嬰欣祀,9,sub,14,21,2.273
M2_0053,常,常求直主御年奉坦門物而法之迸朱府,本道缩噲常求宴主鄧年吞坦門物而法之選朱右,4,eq,9,16,1.675
M2_0054,话,爷莘夜即框戈涪奴话箕答本道熊帝霏絽明共,麻虧隆𭔿垩衣那樞戈涯奴居箕冬本道虎帝咤綽明共,11,sub,14,19,1.902
M2_0055,,刻聞卒洽庄沛如女麻歹主蚕朱天下剟暑年,仪䍐末每創朗卒洽庄沛如𭃡女麻知主吞宋天下别㝵年,0,del,12,18,1.770
M2_0056,蚕,体垂安霖保碎麮召道寗帶迈茶福朱碎盾历主蚕,碎体垂安蘇保碎䏻召道嗜常返桒而福朱碎馬𠑶主吞,21,sub,11,20,1.918
M2_0057,人,朱葉弄德主奇至未弄嗣世間為事人,㝵歹斫尼朱葉弄徳主奇案主末弄朝世間為亊入,19,sub,11,15,1.631
M2_0058,必,共奇睾武罘迈耘寻周凑皆事必正曳救,侣罪共奇案数𭩮举返耘㝵洞凑省事而左曳赦,15,sub,13,16,1.948
M2_0059,弁,寻弁堇先罤矢支忌每次巴公位龍之初,後真空常尋𭔿垩𭮀之先畀父支君長次巴公位苑之𭃡,7,sub,15,16,1.761
M2_0060,不,密接不禮麻騰仍寻几德主支教初袍卵念麻躊吏,𢧐般爵按而禮麻賭仍㝵几徳主立壮𭃡𥘍聊命麻賻交,4,sub,16,20,2.108
M2_0061,,固卵冬吏毒祀埽性羝多割吏籡真稆笼边函底衬,君屰固泖冬吏對戰祁捧性弦多断吏綴真魏丸色迅囚底対,1,del,16,20,2.262
M2_0062,,麻迎補道主奉寻只袍共事饵蓖曙,祐喀近𡻕麻通𥙷道好主忝㝵只祐共事仵庫曉曝,1,del,14,14,2.024
M2_0063,,服棉圓冷共芯曰钰寄绵玎不耸开工衣和礼眉,庄宜逆誓浪綿固正冷共谷曰丑寺綿新不𭔿葉衣如礼眉,2,del,17,19,1.830
M2_0064,而,礼翁至托嘈而范之於城安串為妻傳,返咄礼翁至批署而葩之於城安卑烏毒傳,7,eq,8,15,1.598
M2_0065,除,仡蜀瑪先罴歌霄移乌仍几聂除奉德主屈毒,代司晉瑪先罪歌离移烏仍几磊餘奉德主底寺,13,sub,10,18,2.304
M2_0066,馬,君馬主丞匝倭団絫姐仪別寻衣罘天神嘨閃,城君馬知主忝任庚团除迴致别㝵衣罪天神嗜明,2,eq,14,18,1.891
M2_0067,婚,尼甯奴麻固少要婚南对掘豺用葆奎蔻可王麻要婲浏,尼重南奴麻因乂妾𡜞南封樞缾用復奎䕃百王麻委𢲅刻,8,sub,15,22,2.627
M2_0068,儒,那咒召公拜罪儒寄歌俌曰無团徐奇常吆堇明思傀,眉那𭺾尼翁垩面爵歌俌白無困除奇常嗌垩明只境,6,sub,15,21,1.973
M2_0069,乙,老女百法選麻佯末命代乙搭仏,多隔𠰥女百法選麻洋末命代之懿八,12,sub,7,13,1.539
M2_0070,险,官衣羝眉橇馬险翁垂衣秘羽闭睹本道朱旦,貝先官衣㸃羝眉𥟀焉隨翁垩衣祖朝國曉本道朱旦,9,sub,11,18,1.831
M2_0071,器,麻侍器歇毒拮秘鐕响女农裔德王吞固佬,欺多粧麻陼羅歇寺拮祗矯呐女双离德主蚕因雲,5,sub,15,17,2.172
M2_0072,高,鬼毒众徘在宜高儿餘思庄菴特事之冷露,鬼寺分碎在宜馬几餘鬼在竜時事之合幾卷,6,sub,12,17,1.743
