sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M3_0000,,"""""",1.864,1,288
M3_0001,,"""""",0.320,1,88
M3_0002,,"""""",0.362,1,176
M3_0003,14.74,"""14.74""",0.928,6,304
M3_0004,,"""""",0.762,1,286
M3_0005,```markdown  ```,"""```markdown\n\n```""",0.713,6,198
M3_0006,,"""""",0.729,1,286
M3_0007,```markdown  ```,"""```markdown\n\n```""",0.733,6,220
M3_0008,,"""""",0.698,1,268
M3_0009,寸,"""寸""",0.752,2,288
M3_0010,,"""""",0.733,1,286
M3_0011,```markdown  ```,"""```markdown\n\n```""",0.942,6,320
M3_0012,```markdown  ```,"""```markdown\n\n```""",0.745,6,224
M3_0013,,"""""",0.364,1,124
M3_0014,```markdown  ```,"""```markdown\n\n```""",0.563,6,146
M3_0015,```markdown  ```,"""```markdown\n\n```""",0.407,6,88
M3_0016,,"""""",2.016,1,271
M3_0017,,"""""",0.415,1,136
M3_0018,```markdown  ```,"""```markdown\n\n```""",0.478,6,104
M3_0019,),""")""",0.570,2,206
M3_0020,,"""""",0.757,1,304
M3_0021,,"""""",0.700,1,271
M3_0022,```markdown  ```,"""```markdown\n\n```""",0.773,6,137
M3_0023,,"""""",0.720,1,268
M3_0024,```markdown  ```,"""```markdown\n\n```""",0.771,6,256
M3_0025,,"""""",0.911,1,356
M3_0026,104,"""104""",0.427,4,115
M3_0027,,"""""",0.604,1,237
M3_0028,```markdown  ```,"""```markdown\n\n```""",0.748,6,240
M3_0029,.,""".""",0.597,2,212
M3_0030,,"""""",0.794,1,271
M3_0031,,"""""",2.204,1,288
M3_0032,u3,"""u3""",0.277,3,126
M3_0033,.,""".""",0.686,2,237
M3_0034,,"""""",0.265,1,126
M3_0035,,"""""",0.316,1,106
M3_0036,1243,"""1243""",0.442,5,126
M3_0037,,"""""",0.867,1,339
M3_0038,```markdown  ```,"""```markdown\n\n```""",0.531,6,136
M3_0039,,"""""",0.602,1,232
M3_0040,,"""""",0.645,1,254
M3_0041,,"""""",0.692,1,268
M3_0042,,"""""",0.661,1,237
M3_0043,,"""""",0.663,1,256
M3_0044,,"""""",0.759,1,304
M3_0045,,"""""",0.723,1,272
M3_0046,,"""""",0.631,1,240
M3_0047,+,"""+""",0.385,2,112
M3_0048,,"""""",0.403,1,159
M3_0049,```markdown  ```,"""```markdown\n\n```""",0.835,6,304
M3_0050,,"""""",0.627,1,250
M3_0051,```markdown  ```,"""```markdown\n\n```""",0.885,6,288
M3_0052,```markdown  ```,"""```markdown\n\n```""",0.439,6,104
M3_0053,,"""""",0.778,1,254
M3_0054,,"""""",0.400,1,136
M3_0055,,"""""",0.833,1,322
M3_0056,,"""""",0.698,1,288
M3_0057,,"""""",0.697,1,272
M3_0058,,"""""",0.666,1,256
M3_0059,```markdown  ```,"""```markdown\n\n```""",0.484,6,112
M3_0060,```markdown  ```,"""```markdown\n\n```""",1.103,6,336
M3_0061,```markdown  ```,"""```markdown\n\n```""",0.996,6,320
M3_0062,,"""""",0.782,1,288
M3_0063,,"""""",0.924,1,358
M3_0064,,"""""",0.843,1,331
M3_0065,,"""""",0.756,1,286
M3_0066,,"""""",0.845,1,336
M3_0067,```markdown  ```,"""```markdown\n\n```""",0.408,6,96
M3_0068,一,"""一""",0.867,2,320
M3_0069,,"""""",0.669,1,256
M3_0070,```markdown  ```,"""```markdown\n\n```""",0.584,6,148
M3_0071,```markdown  ```,"""```markdown\n\n```""",0.732,6,240
M3_0072,,"""""",0.767,1,304
M3_0073,```markdown  ```,"""```markdown\n\n```""",0.774,6,256
M3_0074,```markdown  ```,"""```markdown\n\n```""",0.731,6,240
M3_0075,,"""""",0.710,1,271
M3_0076,,"""""",0.923,1,358
M3_0077,,"""""",0.681,1,268
M3_0078,,"""""",0.769,1,304
M3_0079,,"""""",0.779,1,320
M3_0080,```markdown  ```,"""```markdown\n\n```""",0.601,6,166
M3_0081,,"""""",0.704,1,271
M3_0082,,"""""",0.764,1,304
M3_0083,,"""""",0.799,1,320
M3_0084,于,"""于""",0.630,2,237
M3_0085,,"""""",0.741,1,301
M3_0086,,"""""",0.763,1,304
M3_0087,,"""""",0.749,1,305
M3_0088,,"""""",0.688,1,272
M3_0089,```markdown  ```,"""```markdown\n\n```""",0.746,6,254
M3_0090,,"""""",0.789,1,320
M3_0091,,"""""",0.714,1,286
M3_0092,,"""""",0.848,1,336
M3_0093,从,"""从""",0.621,2,237
M3_0094,```markdown  ```,"""```markdown\n\n```""",0.570,6,148
M3_0095,,"""""",0.706,1,268
M3_0096,2.15,"""2.15""",0.468,5,137
M3_0097,```markdown  ```,"""```markdown\n\n```""",0.747,6,240
M3_0098,,"""""",0.624,1,237
M3_0099,```markdown  ```,"""```markdown\n\n```""",0.739,6,256
M3_0100,,"""""",0.654,1,286
M3_0101,,"""""",0.838,1,336
M3_0102,,"""""",1.025,1,396
M3_0103,```markdown  ```,"""```markdown\n\n```""",0.911,6,286
M3_0104,,"""""",0.843,1,305
M3_0105,礼,"""礼""",0.763,2,288
M3_0106,```markdown  ```,"""```markdown\n\n```""",0.885,6,304
M3_0107,```,"""```""",0.771,2,288
M3_0108,一,"""一""",0.929,2,346
M3_0109,,"""""",0.911,1,356
M3_0110,,"""""",0.487,1,184
M3_0111,,"""""",0.643,1,237
M3_0112,```markdown  ```,"""```markdown\n\n```""",0.512,6,133
M3_0113,,"""""",0.621,1,224
M3_0114,,"""""",0.658,1,256
M3_0115,,"""""",0.609,1,220
M3_0116,,"""""",0.717,1,282
M3_0117,,"""""",0.632,1,232
M3_0118,,"""""",0.648,1,254
M3_0119,```markdown  ```,"""```markdown\n\n```""",0.484,6,124
M3_0120,,"""""",0.715,1,296
M3_0121,```markdown  ```,"""```markdown\n\n```""",0.565,6,148
M3_0122,,"""""",0.635,1,237
M3_0123,,"""""",0.627,1,237
M3_0124,```,"""```""",0.358,2,115
M3_0125,```markdown  ```,"""```markdown\n\n```""",0.500,6,136
M3_0126,,"""""",0.853,1,322
M3_0127,2,"""2""",0.867,2,322
M3_0128,c f 4,"""c f 4""",0.495,5,136
M3_0129,,"""""",0.931,1,356
M3_0130,,"""""",0.773,1,301
M3_0131,,"""""",0.662,1,237
M3_0132,```markdown  ```,"""```markdown\n\n```""",0.944,6,322
M3_0133,,"""""",0.684,1,272
M3_0134,,"""""",0.717,1,286
M3_0135,```markdown  ```,"""```markdown\n\n```""",0.782,6,256
M3_0136,,"""""",0.903,1,358
M3_0137,.,""".""",0.383,2,115
M3_0138,,"""""",0.751,1,268
M3_0139,```markdown  ```,"""```markdown\n\n```""",0.681,6,170
M3_0140,```markdown  ```,"""```markdown\n\n```""",1.141,6,226
M3_0141,,"""""",1.060,1,237
M3_0142,,"""""",0.427,1,79
M3_0143,,"""""",0.404,1,112
M3_0144,1,"""1""",0.407,2,104
M3_0145,```markdown  ```,"""```markdown\n\n```""",0.561,6,115
M3_0146,1,"""1""",1.042,2,226
M3_0147,,"""""",0.871,1,282
M3_0148,等,"""等""",1.703,2,434
M3_0149,```markdown  ```,"""```markdown\n\n```""",1.651,6,271
M3_0150,```markdown  ```,"""```markdown\n\n```""",0.791,6,124
M3_0151,助,"""助""",0.538,2,148
M3_0152,,"""""",0.811,1,241
M3_0153,```markdown  ```,"""```markdown\n\n```""",0.635,6,146
M3_0154,,"""""",0.746,1,256
M3_0155,```markdown  ```,"""```markdown\n\n```""",1.047,6,282
M3_0156,,"""""",0.729,1,214
M3_0157,,"""""",1.143,1,376
M3_0158,,"""""",1.074,1,250
M3_0159,```markdown  ```,"""```markdown\n\n```""",0.999,6,148
M3_0160,,"""""",1.398,1,301
M3_0161,,"""""",1.024,1,203
M3_0162,```markdown  ```,"""```markdown\n\n```""",1.343,6,268
M3_0163,```markdown  ```,"""```markdown\n\n```""",1.500,6,237
M3_0164,,"""""",1.269,1,271
M3_0165,,"""""",0.750,1,226
M3_0166,```markdown  ```,"""```markdown\n\n```""",1.803,6,316
M3_0167,,"""""",1.305,1,301
M3_0168,,"""""",1.259,1,305
M3_0169,,"""""",1.219,1,250
M3_0170,.,""".""",0.871,2,160
M3_0171,,"""""",0.951,1,256
M3_0172,```markdown  ```,"""```markdown\n\n```""",1.465,6,320
M3_0173,,"""""",1.633,1,282
M3_0174,```markdown  ```,"""```markdown\n\n```""",0.558,6,148
M3_0175,,"""""",2.287,1,304
M3_0176,,"""""",1.492,1,282
M3_0177,,"""""",0.494,1,237
M3_0178,.,""".""",0.396,2,146
M3_0179,```markdown  ```,"""```markdown\n\n```""",0.899,6,288
M3_0180,,"""""",0.587,1,288
M3_0181,,"""""",0.685,1,256
M3_0182,,"""""",0.694,1,268
M3_0183,,"""""",0.669,1,286
M3_0184,```markdown  ```,"""```markdown\n\n```""",0.570,6,166
M3_0185,```markdown  ```,"""```markdown\n\n```""",0.503,6,156
M3_0186,,"""""",0.752,1,301
M3_0187,,"""""",0.822,1,356
M3_0188,,"""""",0.775,1,316
M3_0189,,"""""",0.813,1,339
M3_0190,,"""""",0.634,1,250
M3_0191,```markdown  ```,"""```markdown\n\n```""",0.489,6,126
M3_0192,,"""""",0.724,1,339
M3_0193,```markdown  ```,"""```markdown\n\n```""",0.356,6,76
M3_0194,,"""""",0.447,1,148
M3_0195,,"""""",0.625,1,304
M3_0196,,"""""",0.715,1,288
M3_0197,,"""""",0.674,1,282
M3_0198,> 1/2,"""> 1/2""",0.809,6,271
M3_0199,,"""""",0.287,1,96
M3_0200,,"""""",0.558,1,254
M3_0201,41,"""41""",0.355,3,115
M3_0202,```markdown  ```,"""```markdown\n\n```""",0.686,6,211
M3_0203,I will,"""I will""",0.643,3,240
M3_0204,,"""""",0.364,1,115
M3_0205,```markdown  ```,"""```markdown\n\n```""",0.310,6,72
M3_0206,,"""""",0.839,1,322
M3_0207,,"""""",0.730,1,316
M3_0208,,"""""",0.449,1,176
M3_0209,```,"""```""",0.353,2,126
M3_0210,```markdown  ```,"""```markdown\n\n```""",0.730,6,271
M3_0211,```markdown  ```,"""```markdown\n\n```""",0.499,6,137
M3_0212,,"""""",0.513,1,192
M3_0213,,"""""",0.680,1,322
M3_0214,,"""""",0.652,1,250
M3_0215,,"""""",0.549,1,220
M3_0216,,"""""",0.530,1,198
M3_0217,,"""""",0.669,1,254
M3_0218,,"""""",0.647,1,286
M3_0219,八,"""八""",0.419,2,137
M3_0220,,"""""",0.616,1,254
M3_0221,د,"""د""",0.707,2,268
M3_0222,i,"""i""",0.385,2,120
M3_0223,,"""""",0.639,1,271
M3_0224,答,"""答""",1.047,2,394
M3_0225,,"""""",0.476,1,224
M3_0226,,"""""",0.841,1,336
M3_0227,,"""""",0.709,1,301
M3_0228,,"""""",0.774,1,301
M3_0229,,"""""",0.755,1,336
M3_0230,,"""""",0.638,1,254
M3_0231,,"""""",0.752,1,301
M3_0232,```markdown  ```,"""```markdown\n\n```""",0.726,6,237
M3_0233,,"""""",0.735,1,304
M3_0234,17,"""17""",0.685,3,254
M3_0235,,"""""",0.302,1,97
M3_0236,```markdown  ```,"""```markdown\n\n```""",0.478,6,148
M3_0237,,"""""",0.621,1,240
M3_0238,42,"""42""",0.479,3,148
M3_0239,因之,"""因之""",0.625,3,220
M3_0240,```markdown  ```,"""```markdown\n\n```""",0.661,6,196
M3_0241,,"""""",0.684,1,288
M3_0242,,"""""",0.919,1,356
M3_0243,```markdown  ```,"""```markdown\n\n```""",0.433,6,115
M3_0244,,"""""",0.576,1,211
M3_0245,12 to,"""12\nto""",0.909,5,352
M3_0246,e,"""e""",0.355,2,124
M3_0247,,"""""",0.704,1,288
M3_0248,,"""""",0.705,1,288
M3_0249,,"""""",0.634,1,237
M3_0250,,"""""",0.614,1,268
M3_0251,0,"""0""",0.767,2,288
M3_0252,```markdown  ```,"""```markdown\n\n```""",0.537,6,196
M3_0253,,"""""",0.809,1,320
M3_0254,```markdown  ```,"""```markdown\n\n```""",0.635,6,226
M3_0255,,"""""",0.472,1,185
M3_0256,,"""""",0.597,1,220
M3_0257,,"""""",0.491,1,232
M3_0258,,"""""",0.607,1,226
M3_0259,,"""""",0.352,1,115
