luat,set,n,fired,fired_pct,fired_ci,prop_n,prop_inR,prop_inR_pct_of_fired,prop_inR_pct_of_n,prop_inR_ci_of_n,prop_eqK,prop_eqK_pct_of_fired,prop_inR_neK,perm_fired_mean,perm_fired_p95,perm_inR_mean,perm_inR_p95,lift_fired_vs_perm,lift_inR_vs_perm,lift_inR_vs_freq,p_perm_ge_obs,p_random_freq,p_random_uniform,by_tier,by_book,SILVER_inR_eq_pipeline_label,dist_top,pct_𠊚,pct_㝵
A1 P==G (2 engine mới trùng nhau),M1,600,235,39.2,"[35.3, 43.1]",235.0,222.0,94.5,37.0,"[33.23, 40.93]",212.0,90.2,10.0,3.2,7.0,0.08,1.0,72.3,2775.0,40.1,0.0,0.922,0.059,,,,,,
A2 P==G ∧ ∈R,M1,600,222,37.0,"[33.2, 40.9]",222.0,222.0,100.0,37.0,"[33.23, 40.93]",212.0,95.5,10.0,0.1,1.0,0.08,1.0,2775.0,2775.0,40.1,0.0,0.922,0.059,,,,,,
"A3 ≥2/3 trong {K,P,G} trùng (bất kỳ)",M1,600,459,76.5,"[72.9, 79.7]",459.0,446.0,97.2,74.33,"[70.69, 77.67]",436.0,95.0,10.0,11.5,17.0,8.362,13.0,39.8,53.3,80.6,0.0,0.922,0.059,,,,,,
A4 K==P hoặc K==G (engine mới XÁC NHẬN K),M1,600,436,72.7,"[69.0, 76.1]",436.0,436.0,100.0,72.67,"[68.96, 76.08]",436.0,100.0,0.0,8.3,13.0,8.34,13.0,52.3,52.3,78.8,0.0,0.922,0.059,,,,,,
A5 K==P==G (3/3),M1,600,212,35.3,"[31.6, 39.2]",212.0,212.0,100.0,35.33,"[31.61, 39.24]",212.0,100.0,0.0,0.1,1.0,0.058,1.0,3655.2,3655.2,38.3,0.0,0.922,0.059,,,,,,
A1v P≈G (chuẩn hoá giản/phồn),M1,600,245,40.8,"[37.0, 44.8]",245.0,230.0,93.9,38.33,"[34.53, 42.29]",215.0,87.8,15.0,3.4,7.0,0.08,1.0,71.4,2875.0,41.6,0.0,0.922,0.059,,,,,,
A2v P≈G ∧ (P∈R ∨ G∈R) → lấy dạng ∈R,M1,600,230,38.3,"[34.5, 42.3]",230.0,230.0,100.0,38.33,"[34.53, 42.29]",215.0,93.5,15.0,0.1,1.0,0.08,1.0,2875.0,2875.0,41.6,0.0,0.922,0.059,,,,,,
"A4v K≈P hoặc K≈G (xác nhận K, chuẩn hoá giản/phồn)",M1,600,448,74.7,"[71.0, 78.0]",448.0,448.0,100.0,74.67,"[71.04, 77.98]",448.0,100.0,0.0,8.5,13.0,8.502,13.0,52.7,52.7,80.9,0.0,0.922,0.059,,,,,,
B1 P∈R ? P : (G∈R ? G : ∅),M1,600,468,78.0,"[74.5, 81.1]",468.0,468.0,100.0,78.0,"[74.51, 81.13]",427.0,91.2,41.0,13.1,19.0,13.102,19.0,35.7,35.7,84.6,0.0,0.922,0.059,,,,,,
B2 G∈R ? G : (P∈R ? P : ∅),M1,600,468,78.0,"[74.5, 81.1]",468.0,468.0,100.0,78.0,"[74.51, 81.13]",431.0,92.1,37.0,13.1,19.0,13.102,19.0,35.7,35.7,84.6,0.0,0.922,0.059,,,,,,
