sample_id,book,page,column,tier,rule,K,syllable,label,R_size,P,P_y,P_all,G,G_op,P6c,P5c,PVL,Gf,K_inR
M3_0000,stt2,page_0324,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,等,寻,导,,True
M3_0001,stt4,page_0084,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,哥,sub,寻,寻,导,尋,True
M3_0002,stt2,page_0270,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,骂,sub,得,等,等,,True
M3_0003,stt2,page_0084,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,冊,冊,冊,罟,sub,粤,鲁,哥,峙,True
M3_0004,stt2,page_0262,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,來,來,來,寻,sub,今,李,导,,True
M3_0005,stt2,page_0148,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,暑,sub,寻,导,旱,,True
M3_0006,stt2,page_0314,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,景,景,号,sub,葉,,寺,,True
M3_0007,stt2,page_0314,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,丕,景,景,旱,sub,是,旱,早,,True
M3_0008,stt2,page_0314,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,康,康等,,del,号,时,时,,True
M3_0009,stt2,page_0318,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,寻,导,导,导,True
M3_0010,stt2,page_0128,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,命,命,命,寻,sub,仲,中,仲,,True
M3_0011,stt2,page_0210,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,暑,sub,如,,九,,True
M3_0012,stt2,page_0096,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等戈,暑,sub,等,景,等,,True
M3_0013,stt4,page_0092,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,本,本,本,尋,sub,体,体,体,徵,True
M3_0014,stt4,page_0078,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寄,sub,导,寻,导,,True
M3_0015,stt4,page_0078,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,寻,导,,True
M3_0016,stt2,page_0040,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,哥,sub,哥,等,等,,True
M3_0017,stt4,page_0062,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,為,為,為,寻,sub,龙,营,若,言,True
M3_0018,stt4,page_0026,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,,,,寻,sub,守,寻,尊,境,True
M3_0019,stt11,page_0284,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,中,中,中折,仟,sub,身,,等,,True
M3_0020,stt2,page_0202,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,畢,,,是,sub,星,是,早,,True
M3_0021,stt2,page_0206,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,,del,是,寻,等,答,True
M3_0022,stt4,page_0030,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,寻,,,True
M3_0023,stt2,page_0174,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,等,等,等,,True
M3_0024,stt2,page_0028,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,,del,寻,等,等,,True
M3_0025,stt2,page_0296,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,导,sub,守,导,导,,True
M3_0026,stt4,page_0204,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,,,尊,,True
M3_0027,stt2,page_0138,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,子,学,等,,True
M3_0028,stt2,page_0016,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,景,sub,等,,吉,,True
M3_0029,stt4,page_0092,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,斗,寻,寻,,True
M3_0030,stt2,page_0280,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,,,,导,sub,导,,早,,True
M3_0031,stt2,page_0214,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,,del,等,等,等,,True
M3_0032,stt4,page_0118,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,导,寻,昌,,True
M3_0033,stt2,page_0312,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,导,尊,大,,True
M3_0034,stt4,page_0120,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,膝,膝,膝,寻,sub,膝,膝,一,,True
M3_0035,stt4,page_0242,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,皇,皇,皇,哥,sub,寻,寻,寻,,True
M3_0036,stt4,page_0152,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,守,等,等,,True
M3_0037,stt2,page_0148,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,是,,导,一,True
M3_0038,stt4,page_0166,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,尊,哥,,True
M3_0039,stt11,page_0292,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尼,尼,尼,导,sub,旦,尽,仓,,True
M3_0040,stt11,page_0292,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,畢,畢,畢,學,sub,旱,享,旱,,True
M3_0041,stt2,page_0304,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,寻,sub,是,,旱,,True
M3_0042,stt2,page_0088,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,景,sub,音,哥,四,,True
M3_0043,stt11,page_0074,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,罟,sub,果,早,旱,一,True
M3_0044,stt2,page_0184,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,寻,导,,True
M3_0045,stt2,page_0084,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,正,正,正,寻,sub,正,主,正,,True
M3_0046,stt2,page_0138,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,,旱,一,True
M3_0047,stt4,page_0080,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,學,享,,,True
M3_0048,stt4,page_0048,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,号,享,寻,,True
M3_0049,stt2,page_0110,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,握,握,握,暑,sub,,但,惟,县,True
M3_0050,stt2,page_0180,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,斗,斗,卄,,True
M3_0051,stt2,page_0104,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,鹿,sub,等,等,等,,True
M3_0052,stt4,page_0068,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,子,,得,,True
M3_0053,stt2,page_0050,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,子,,大,,True
M3_0054,stt4,page_0160,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,心,等,早,,True
M3_0055,stt2,page_0186,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,等,等,等,,True
M3_0056,stt2,page_0066,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,晉,晉,晉,景,sub,号,,等,,True
M3_0057,stt2,page_0294,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,寻,导,一,True
M3_0058,stt2,page_0314,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,导,sub,导,导,导,,True
M3_0059,stt4,page_0024,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,干,干,半,,True
M3_0060,stt2,page_0226,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,導,导,导,,True
M3_0061,stt2,page_0174,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,旱,旱,旱,寻,sub,即,即,仰,,True
