sample_id,image,book,page,column,bbox,col_w,col_h,kinhhannom_text,kinhhannom_n
M4_00,cot/stt2_page_0198_c02.png,stt2,page_0198,2,"[1262, 484, 1373, 2517]",127,2049,𭃡代困𣈆瑪先要妄尋君奴固𭁡㝵先罡遁程,18
M4_01,cot/stt2_page_0316_c07.png,stt2,page_0316,7,"[567, 467, 687, 2510]",136,2059,翁堊卷生罪於城敬些伎那昇尼郎重禀㝵,17
M4_02,cot/stt2_page_0240_c05.png,stt2,page_0240,5,"[862, 478, 973, 2504]",127,2042,附愧事与吏朱塊几奸女欺㝵䏻旦㢤巴㝵胡聘庄,20
M4_03,cot/stt2_page_0182_c06.png,stt2,page_0182,6,"[685, 488, 794, 2501]",125,2029,真理僚生共扛䍐麻烟咍𭔿垂在計事衣詩喝,18
M4_04,cot/stt2_page_0034_c03.png,stt2,page_0034,3,"[1101, 475, 1199, 2526]",114,2067,麻兹埋共移街丹多群𠂯麻呌法銜主吞重凜朱些唐功,22
M4_05,cot/stt2_page_0050_c05.png,stt2,page_0050,5,"[853, 496, 965, 2504]",128,2024,蓬耨如除詩罢謙議庄召虎秩衲如里魯代扶外于尼天下,23
M4_06,cot/stt2_page_0172_c03.png,stt2,page_0172,3,"[1137, 498, 1239, 2491]",118,2009,下盈曙戛除奉好主尽麻𥙷事対䏻双𡗚鬼体,18
M4_07,cot/stt4_page_0188_c04.png,stt4,page_0188,4,"[654, 242, 727, 1639]",89,1413,起皇意僑几死庫其科命為應主支啾女特記堊意壬邁,22
M4_08,cot/stt4_page_0060_c06.png,stt4,page_0060,6,"[471, 242, 541, 1632]",86,1406,門萬㝵多件唐麻打沉固及吝罸具屯犯及濁重在旦称,22
M4_09,cot/stt4_page_0044_c01.png,stt4,page_0044,1,"[946, 265, 1030, 1633]",100,1384,嗽思庵意欽埋者体㝵等茶盆古也生寺名宅而牢歌,21
M4_10,cot/stt4_page_0278_c07.png,stt4,page_0278,7,"[552, 214, 656, 2315]",120,2117,弄乇夷時㝵迹没俗欺以率丕𬼘有徳主爾罰肺生塊𮎛妻生,24
M4_11,cot/stt4_page_0200_c02.png,stt4,page_0200,2,"[898, 248, 972, 1631]",90,1399,乕風波况竈歇越邁艣将漂多厉奴屍其寺在媿鍾几,21
M4_12,cot/stt4_page_0126_c02.png,stt4,page_0126,2,"[865, 278, 931, 1651]",82,1389,書㐌所𡻕𫞹尼在班店翁𦤳挑鲁現勻共㝵保浪㐌祧共,22
M4_13,cot/stt4_page_0234_c08.png,stt4,page_0234,8,"[278, 243, 348, 1669]",86,1442,寺補庄朱於篇兵本適實女雄丐瑜耒生翁朱捕尾眞論,22
M4_14,cot/stt11_page_0286_c03.png,stt11,page_0286,3,"[1146, 425, 1250, 2448]",120,2039,哈𥙷每事𠀍間麻燒与莒四㝵屬代旦欺柴𠇮色建天堂,22
M4_15,cot/stt11_page_0292_c03.png,stt11,page_0292,3,"[1211, 456, 1312, 2484]",117,2044,磊申折以之仍麻翁垩安移干庒朱呌麻昇洋於賖㐌,21
M4_16,cot/stt11_page_0276_c06.png,stt11,page_0276,6,"[744, 416, 864, 2498]",136,2098,時語寽𫟒感吏戰擦真昇避庻邲每沚竈垣凜几佇伎,21
M4_17,cot/stt11_page_0064_c06.png,stt11,page_0064,6,"[761, 432, 886, 2478]",141,2062,皇太子明各柴凜退㴱仪乞除明時璃桃冼丕因欺榮尼,22
M4_18,cot/stt11_page_0094_c02.png,stt11,page_0094,2,"[1326, 440, 1429, 2509]",119,2085,䏷娄浄困凜麻翁宋碎厶仕守時悶朱秤浄因座歇仕油,22
M4_19,cot/stt11_page_0200_c07.png,stt11,page_0200,7,"[558, 431, 653, 2504]",111,2089,𮧻寄共生時麻早拈売共哭咬燒聘爲末吒㚑魂命断㝵畧,23
