sample_id,pred,score,sec
M1_0000,利据,0.486,0.0804
M1_0001,厥众,0.2807,0.062
M1_0002,来,0.6971,0.0664
M1_0003,从玉,0.3564,0.0673
M1_0004,命,0.1357,0.0634
M1_0005,季南,0.3745,0.066
M1_0006,慢王,0.5361,0.0687
M1_0007,也呐,0.582,0.072
M1_0008,道,0.4108,0.0678
M1_0009,成命,0.2568,0.0643
M1_0010,诸,0.9898,0.0627
M1_0011,官,0.6947,0.067
M1_0012,蛇底,0.2281,0.0618
M1_0013,一别,0.317,0.0686
M1_0014,箱,0.17,0.0692
M1_0015,正,0.6049,0.0623
M1_0016,時,0.2435,0.0628
M1_0017,修,0.9959,0.0642
M1_0018,,0.0,0.0609
M1_0019,丑酉,0.3519,0.0708
M1_0020,德,0.9996,0.0645
M1_0021,量,0.4756,0.0651
M1_0022,救,0.4819,0.0629
M1_0023,到论,0.318,0.0685
M1_0024,来,0.2884,0.0697
M1_0025,等,0.7493,0.064
M1_0026,堂,0.6985,0.0619
M1_0027,市,0.4299,0.0598
M1_0028,天金,0.5317,0.0612
M1_0029,退激,0.4748,0.0681
M1_0030,華,0.1308,0.0719
M1_0031,徐,0.8258,0.0638
M1_0032,歲,0.6644,0.0609
M1_0033,外篇,0.532,0.0622
M1_0034,等,0.4475,0.0669
M1_0035,茶,0.417,0.064
M1_0036,丕,0.8717,0.0643
M1_0037,居底,0.5044,0.0591
M1_0038,麻,0.9945,0.0649
M1_0039,群,0.9874,0.0643
M1_0040,收砸,0.5722,0.066
M1_0041,为玉,0.4196,0.0615
M1_0042,麻,0.9964,0.0622
M1_0043,施,0.9959,0.0605
M1_0044,平,0.5562,0.0629
M1_0045,砸,0.4154,0.0668
M1_0046,事,0.7499,0.0673
M1_0047,香味,0.2596,0.0657
M1_0048,我奇,0.4722,0.0665
M1_0049,中,0.7411,0.0635
M1_0050,获,0.1849,0.0679
M1_0051,敬放,0.2114,0.0663
M1_0052,走,0.4555,0.0631
M1_0053,達,0.6276,0.0596
M1_0054,庫,0.3112,0.0652
M1_0055,空,0.9184,0.076
M1_0056,金,0.6333,0.0675
M1_0057,裔,0.6557,0.0672
M1_0058,驭硅,0.2509,0.0634
M1_0059,最,0.9842,0.0638
M1_0060,奔,0.5026,0.067
M1_0061,,0.0,0.0661
M1_0062,其,0.3696,0.0695
M1_0063,事,0.5785,0.0641
M1_0064,秘重,0.5698,0.0637
M1_0065,多,0.8566,0.0627
M1_0066,别本,0.6707,0.0639
M1_0067,试公,0.1379,0.0644
M1_0068,总依,0.3818,0.0633
M1_0069,K,0.4481,0.0706
M1_0070,,0.0,0.07
M1_0071,侯,0.116,0.0676
M1_0072,真,0.7902,0.0636
M1_0073,孤脂,0.7352,0.0642
M1_0074,命威,0.273,0.0629
M1_0075,八身,0.2231,0.0638
M1_0076,景,0.5316,0.0654
M1_0077,宿,0.1888,0.0701
M1_0078,每,0.4273,0.0669
M1_0079,委张,0.3716,0.0678
M1_0080,差,0.7538,0.0641
M1_0081,中内,0.9736,0.0662
M1_0082,玉,0.8506,0.0703
M1_0083,神,0.8983,0.0667
M1_0084,德,0.975,0.0751
M1_0085,此,0.2065,0.0753
M1_0086,薄由,0.3805,0.0646
M1_0087,一稷,0.2015,0.076
M1_0088,考,0.3104,0.0947
M1_0089,,0.0,0.079
M1_0090,心悲,0.4166,0.0866
M1_0091,世,0.9914,0.0676
M1_0092,打助,0.7835,0.0704
M1_0093,之,0.7843,0.0695
M1_0094,基,0.124,0.0652
M1_0095,初,0.1878,0.0566
M1_0096,支,0.4046,0.0742
M1_0097,舒断,0.2583,0.0734
M1_0098,太福,0.4848,0.0693
M1_0099,特,0.9982,0.068
M1_0100,期役,0.4006,0.0623
M1_0101,,0.0,0.0652
M1_0102,角备,0.4893,0.0691
M1_0103,憾,0.3937,0.0683
M1_0104,洗,0.5525,0.0677
M1_0105,任,0.3732,0.0702
M1_0106,,0.0,0.0709
M1_0107,共,0.3585,0.0679
M1_0108,,0.0,0.06
M1_0109,生,0.1663,0.0632
M1_0110,傅王,0.6457,0.0665
M1_0111,入爵,0.6204,0.0633
M1_0112,玄,0.2788,0.0583
M1_0113,魂,0.3897,0.0615
M1_0114,代壽,0.2701,0.0624
M1_0115,幾,0.2498,0.0656
M1_0116,来,0.6108,0.0663
M1_0117,役,0.3685,0.0687
M1_0118,齿加,0.5813,0.0635
M1_0119,酒显,0.2263,0.0628
M1_0120,毛,0.3201,0.0626
M1_0121,平底,0.4229,0.0628
M1_0122,因代,0.482,0.0695
M1_0123,之,0.8863,0.0613
M1_0124,重放,0.3652,0.0682
M1_0125,中,0.9992,0.067
M1_0126,心愁,0.5421,0.0696
M1_0127,正因,0.5632,0.0704
M1_0128,等垂,0.2668,0.0658
M1_0129,道,0.1562,0.0641
M1_0130,重,0.99,0.0629
M1_0131,少依,0.3118,0.0645
M1_0132,右理,0.3861,0.063
M1_0133,冠主,0.2862,0.0639
M1_0134,途,0.2911,0.077
M1_0135,壽,0.2762,0.0665
M1_0136,如生,0.2179,0.0644
M1_0137,恩,0.7825,0.0657
M1_0138,余汇,0.1831,0.0689
M1_0139,特工,0.284,0.0679
M1_0140,山,0.1998,0.0652
M1_0141,稻,0.0722,0.0821
M1_0142,率,0.1678,0.065
M1_0143,基,0.7419,0.0643
M1_0144,李全,0.2103,0.0673
M1_0145,連,0.6439,0.0645
M1_0146,,0.0,0.0655
M1_0147,,0.0,0.0651
M1_0148,支动,0.6522,0.0623
M1_0149,語,0.4964,0.0642
M1_0150,進,0.3305,0.0663
M1_0151,李朱,0.4515,0.0609
M1_0152,,0.0,0.0668
M1_0153,悲,0.3724,0.0663
M1_0154,数水,0.3491,0.0674
M1_0155,服导,0.5215,0.0954
M1_0156,女,0.9913,0.1259
M1_0157,食,0.2141,0.0735
M1_0158,心渊,0.3616,0.0658
M1_0159,,0.0,0.0678
M1_0160,邑,0.4751,0.0782
M1_0161,年,0.9568,0.2352
M1_0162,特,0.9978,0.1067
M1_0163,野京,0.3622,0.1064
M1_0164,楚,0.3333,0.0873
M1_0165,晨,0.5848,0.0601
M1_0166,麻,0.3505,0.063
M1_0167,烯制,0.327,0.069
M1_0168,我,0.9826,0.081
M1_0169,星王,0.6863,0.0822
M1_0170,,0.0,0.0867
M1_0171,事制,0.6423,0.1805
M1_0172,使用,0.2974,0.0627
M1_0173,位接,0.302,0.0991
M1_0174,,0.0,0.1171
M1_0175,因,0.3494,0.0813
M1_0176,休,0.8258,0.131
M1_0177,自,0.1843,0.0674
M1_0178,九,0.4054,0.0709
M1_0179,,0.0,0.1525
M1_0180,妙导,0.5943,0.0718
