sample_id,pred,score,sec
M1_0000,利据,0.4929,0.0844
M1_0001,厥众,0.2736,0.0585
M1_0002,来,0.6689,0.0661
M1_0003,从玉,0.3012,0.061
M1_0004,命,0.1318,0.0657
M1_0005,事南,0.3841,0.0646
M1_0006,慢王,0.5427,0.0659
M1_0007,也呐,0.5491,0.0672
M1_0008,道,0.4169,0.0667
M1_0009,成命,0.2469,0.0654
M1_0010,诸,0.9867,0.0652
M1_0011,官,0.6635,0.0647
M1_0012,蛇底,0.256,0.0714
M1_0013,别,0.1655,0.0671
M1_0014,箱,0.1683,0.0674
M1_0015,正,0.5802,0.0624
M1_0016,骑,0.2341,0.0681
M1_0017,修,0.9945,0.0655
M1_0018,,0.0,0.077
M1_0019,丑酉,0.352,0.0702
M1_0020,德,0.9996,0.0694
M1_0021,量,0.4609,0.0634
M1_0022,救,0.4577,0.0633
M1_0023,到论,0.3355,0.0631
M1_0024,来,0.2736,0.0653
M1_0025,等,0.7276,0.0648
M1_0026,堂,0.7088,0.0613
M1_0027,市,0.4216,0.0639
M1_0028,天金,0.5138,0.0636
M1_0029,退激,0.5159,0.0667
M1_0030,華,0.1427,0.0659
M1_0031,徐,0.8562,0.0672
M1_0032,歲,0.6615,0.0657
M1_0033,外篇,0.5259,0.0657
M1_0034,等,0.4024,0.0662
M1_0035,茶,0.4229,0.0687
M1_0036,丕,0.8625,0.07
M1_0037,居底,0.4927,0.0644
M1_0038,麻,0.9934,0.0665
M1_0039,群,0.988,0.0684
M1_0040,收砸,0.5429,0.0692
M1_0041,为玉,0.3965,0.0692
M1_0042,麻,0.9963,0.0589
M1_0043,施,0.9962,0.0662
M1_0044,平,0.614,0.0708
M1_0045,砸,0.4066,0.0667
M1_0046,事,0.7448,0.0703
M1_0047,香味,0.2398,0.0649
M1_0048,我奇,0.4741,0.0632
M1_0049,中,0.7534,0.0674
M1_0050,获,0.1708,0.0713
M1_0051,敬放,0.1958,0.0652
M1_0052,走,0.465,0.0662
M1_0053,達,0.5942,0.0701
M1_0054,庫,0.2718,0.0654
M1_0055,空,0.9034,0.0634
M1_0056,金,0.6171,0.0657
M1_0057,裔,0.6393,0.064
M1_0058,驭硅,0.2295,0.069
M1_0059,最,0.984,0.0651
M1_0060,奔,0.509,0.0637
M1_0061,,0.0,0.0619
M1_0062,身,0.3635,0.066
M1_0063,事,0.5452,0.0695
M1_0064,秘重,0.5791,0.0647
M1_0065,多,0.8574,0.0635
M1_0066,别本,0.6894,0.068
M1_0067,试公,0.1272,0.0618
M1_0068,总依,0.3631,0.0708
M1_0069,K,0.4654,0.0693
M1_0070,,0.0,0.0628
M1_0071,,0.0,0.0648
M1_0072,真,0.8011,0.0589
M1_0073,孤脂,0.7109,0.0696
M1_0074,命威,0.2535,0.0645
M1_0075,八身,0.2307,0.0723
M1_0076,景,0.5219,0.0613
M1_0077,宿,0.1992,0.0645
M1_0078,海,0.4195,0.0688
M1_0079,委张,0.3819,0.0651
M1_0080,差,0.7658,0.0633
M1_0081,中内,0.9721,0.0652
M1_0082,玉,0.845,0.0686
M1_0083,神,0.8969,0.062
M1_0084,德,0.964,0.0581
M1_0085,此,0.2165,0.064
M1_0086,薄由,0.4036,0.0655
M1_0087,一稷,0.203,0.0684
M1_0088,考白,0.2063,0.0711
M1_0089,,0.0,0.063
M1_0090,心悲,0.4174,0.0651
M1_0091,世,0.9761,0.0655
M1_0092,打助,0.7579,0.0691
M1_0093,之,0.7981,0.0733
M1_0094,狐,0.1025,0.0708
M1_0095,和,0.1915,0.0693
M1_0096,支,0.4225,0.0622
M1_0097,舒鄙,0.2545,0.0664
M1_0098,太福,0.507,0.067
M1_0099,特,0.9977,0.076
M1_0100,期役,0.3887,0.0692
M1_0101,,0.0,0.0598
M1_0102,角备,0.4646,0.0631
M1_0103,憾,0.3812,0.0649
M1_0104,洗,0.567,0.0688
M1_0105,任,0.3693,0.0664
M1_0106,,0.0,0.0647
M1_0107,共,0.3478,0.0758
M1_0108,,0.0,0.066
M1_0109,生,0.1682,0.0689
M1_0110,傅王,0.6324,0.066
M1_0111,入爵,0.6296,0.0673
M1_0112,有去,0.2469,0.0819
M1_0113,魂,0.3737,0.0686
M1_0114,代壽,0.2355,0.0624
M1_0115,幾,0.2542,0.0763
M1_0116,来,0.622,0.0673
M1_0117,役,0.3664,0.063
M1_0118,齿加,0.5812,0.0692
M1_0119,酒显,0.2228,0.0678
M1_0120,毛,0.315,0.0664
M1_0121,平底,0.4082,0.0655
M1_0122,因代,0.4813,0.0701
M1_0123,之,0.8792,0.0699
M1_0124,重放,0.3659,0.0751
M1_0125,中,0.999,0.066
M1_0126,心愁,0.5381,0.0679
M1_0127,正因,0.5824,0.0603
M1_0128,等垂,0.2703,0.0634
M1_0129,道,0.1679,0.0665
M1_0130,重,0.9914,0.0709
M1_0131,少依,0.307,0.0683
M1_0132,右理,0.3715,0.0653
M1_0133,冠主,0.304,0.0651
M1_0134,途,0.2854,0.0624
M1_0135,壽,0.2465,0.0658
M1_0136,如生,0.2371,0.0712
M1_0137,恩,0.7372,0.0664
M1_0138,汇,0.2252,0.0617
M1_0139,特工,0.2821,0.0648
M1_0140,山,0.4877,0.0701
M1_0141,稻,0.0896,0.0643
M1_0142,率,0.1576,0.0661
M1_0143,基,0.7407,0.068
M1_0144,李孔,0.2129,0.0628
