sample_id,pred,score,sec
M1_0000,福 福,,3.0
M1_0001,欺公,,2.7
M1_0002,朱,,2.7
M1_0003,王,,2.7
M1_0004,吨 堆,,2.8
M1_0005,等闲,,2.7
M1_0006,忿,,2.8
M1_0007,41 VAT,,2.9
M1_0008,道,,2.7
M1_0009,MA JT,,2.8
M1_0010,诸,,2.7
M1_0011,情,,2.7
M1_0012,喫 麻,,2.9
M1_0013,别,,2.6
M1_0014,眉,,2.8
M1_0015,正,,2.8
M1_0016,時,,2.8
M1_0017,修,,2.7
M1_0018,廢,,2.8
M1_0019,又 或,,3.0
M1_0020,由德,,2.8
M1_0021,等,,2.7
M1_0022,趙,,2.8
M1_0023,判 祿,,3.0
M1_0024,朱,,3.0
M1_0025,等,,2.6
M1_0026,堂也,,3.0
M1_0027,!,,2.7
M1_0028,态 态,,2.8
M1_0029,畏,,2.8
M1_0030,等,,2.7
M1_0031,徐,,2.9
M1_0032,崇,,2.8
M1_0033,水 霜,,2.8
M1_0034,寺,,2.8
M1_0035,本,,2.8
M1_0036,左,,2.7
M1_0037,灼厥,,2.7
M1_0038,西 珠,,2.9
M1_0039,群,,2.8
M1_0040,以 極,,3.0
M1_0041,灯王,,2.8
M1_0042,森,,2.7
M1_0043,施,,2.7
M1_0044,下 法,,2.8
M1_0045,寸 福,,3.0
M1_0046,等,,2.7
M1_0047,等,,2.7
M1_0048,私 寺,,2.8
M1_0049,中,,2.8
M1_0050,春秋,,2.7
M1_0051,斷,,2.7
M1_0052,之,,2.6
M1_0053,遠,,2.9
M1_0054,库,,2.9
M1_0055,空,,2.7
M1_0056,笠,,2.8
M1_0057,者,,2.7
M1_0058,取二,,2.8
M1_0059,最,,2.8
M1_0060,伞,,2.8
M1_0061,ぐー,,2.9
M1_0062,其,,2.8
M1_0063,李,,2.6
M1_0064,母妻,,2.8
M1_0065,多,,2.7
M1_0066,ガラ,,3.0
M1_0067,筆,,3.0
M1_0068,忌 诀,,3.1
M1_0069,✗ ✗,,3.0
M1_0070,江,,2.7
M1_0071,贺,,2.7
M1_0072,箕,,2.9
M1_0073,人 宿,,2.8
M1_0074,印 安,,2.8
M1_0075,刘,,2.9
M1_0076,等,,2.9
M1_0077,佰,,2.8
M1_0078,每 27,,2.8
M1_0079,其 承,,2.8
M1_0080,差,,2.7
M1_0081,中风,,2.8
M1_0082,王,,2.7
M1_0083,押 勾,,2.8
M1_0084,德,,2.6
M1_0085,欺,,2.7
M1_0086,库 西,,3.0
M1_0087,襯,,2.8
M1_0088,者,,2.7
M1_0089,十 玉,,2.8
M1_0090,非,,2.7
M1_0091,世,,2.7
M1_0092,打 印,,2.8
M1_0093,え,,2.8
M1_0094,仲玉,,2.8
M1_0095,仍,,2.7
M1_0096,双,,2.5
M1_0097,對 廚,,2.9
M1_0098,入福,,3.0
M1_0099,特,,2.8
M1_0100,従 14,,2.9
M1_0101,伏曰上,,2.8
M1_0102,真,,2.7
M1_0103,何,,2.7
M1_0104,先,,2.8
M1_0105,招,,2.7
M1_0106,聖,,2.8
M1_0107,共工,,2.9
M1_0108,渇,,2.8
M1_0109,いま,,3.0
M1_0110,僊主,,2.8
M1_0111,入壽,,2.8
M1_0112,俯 若,,2.8
M1_0113,誼,,2.8
M1_0114,依 者,,2.8
M1_0115,端 一,,2.5
M1_0116,朱,,2.6
M1_0117,従,,2.8
M1_0118,巧 下2,,2.8
M1_0119,曲,,2.7
M1_0120,丑 田太,,2.8
M1_0121,竹浪,,2.8
M1_0122,时代,,2.9
M1_0123,之,,2.7
M1_0124,寺放,,2.7
M1_0125,竹中,,2.5
M1_0126,恙,,3.0
M1_0127,並因,,2.7
M1_0128,等,,2.7
M1_0129,弟 太,,2.8
M1_0130,重,,2.7
M1_0131,坎,,2.6
M1_0132,在 堂,,3.0
M1_0133,筵 天,,2.9
M1_0134,登,,2.6
M1_0135,寺,,2.7
M1_0136,始 苏,,2.7
M1_0137,恩,,2.7
M1_0138,来几,,3.0
M1_0139,符土,,2.7
M1_0140,尋,,2.8
M1_0141,仍,,2.7
M1_0142,1 2 2,,2.9
M1_0143,具,,2.7
M1_0144,朱忠,,2.8
M1_0145,连,,2.7
M1_0146,今,,2.9
M1_0147,曰,,2.7
M1_0148,立功,,2.7
M1_0149,語,,2.7
M1_0150,连,,2.8
M1_0151,子朱,,2.8
M1_0152,令,,2.7
M1_0153,悲,,2.8
M1_0154,朱,,3.1
M1_0155,祭 景,,3.0
M1_0156,女,,2.8
M1_0157,曰 人,,2.8
M1_0158,京,,2.7
M1_0159,等,,2.8
M1_0160,屯 太,,3.0
M1_0161,年,,2.6
M1_0162,特,,2.7
M1_0163,時 か,,2.7
M1_0164,生之,,2.9
M1_0165,福,,2.7
M1_0166,床,,2.7
M1_0167,师 共,,2.8
M1_0168,代,,2.7
M1_0169,星,,2.6
M1_0170,是,,2.7
M1_0171,李 诗,,2.9
M1_0172,处 勾,,2.9
M1_0173,兰 李,,2.8
M1_0174,李 陈,,2.9
M1_0175,閑,,3.0
M1_0176,体,,2.8
M1_0177,自,,2.8
M1_0178,九,,3.0
M1_0179,去,,2.9
M1_0180,纳 等,,2.9
M1_0181,迈 给你,,2.9
M1_0182,乾,,2.7
M1_0183,景,,2.7
M1_0184,上 虧,,2.9
M1_0185,4 4 4,,2.9
M1_0186,也,,3.0
M1_0187,师,,2.7
M1_0188,12 艾,,2.8
M1_0189,守時,,3.0
M1_0190,仍,,2.6
M1_0191,姑悲,,3.0
M1_0192,对毛,,2.8
M1_0193,溶,,2.7
M1_0194,年第,,3.0
M1_0195,歇一,,2.7
M1_0196,朱,,2.7
M1_0197,宰,,2.9
M1_0198,奈,,3.2
M1_0199,箴,,2.9
M1_0200,碎,,2.7
M1_0201,連,,2.7
M1_0202,莞,,2.7
M1_0203,畧,,2.8
M1_0204,歪,,2.7
M1_0205,42,,2.7
M1_0206,02 意,,2.9
M1_0207,凜、,,2.9
M1_0208,答,,2.7
M1_0209,j j j,,2.9
M1_0210,朱,,2.7
M1_0211,罔 珮,,3.0
M1_0212,守重,,2.7
M1_0213,苞 土,,3.0
M1_0214,翁,,2.6
M1_0215,致,,2.6
M1_0216,生,,2.9
M1_0217,奪,,3.0
M1_0218,先生,,2.8
M1_0219,宜,,3.0
M1_0220,芯,,2.7
M1_0221,連,,2.7
M1_0222,事,,2.6
M1_0223,得,,2.9
M1_0224,奎,,2.8
M1_0225,特,,2.7
M1_0226,浑,,2.7
M1_0227,沛 然,,2.9
M1_0228,大特,,2.8
M1_0229,等,,2.9
M1_0230,\(2^{20}\),,3.0
M1_0231,\(\frac{Q}{s^{2}}\),,3.3
M1_0232,5,,2.9
M1_0233,拭,,2.7
M1_0234,朱,,2.8
M1_0235,屯,,2.7
M1_0236,2 疾,,2.9
M1_0237,艮,,2.8
M1_0238,毛,,2.7
M1_0239,課 的,,2.9
M1_0240,故,,2.7
M1_0241,劄音,,2.8
M1_0242,生,,2.7
M1_0243,但 旦,,3.3
M1_0244,德,,2.8
M1_0245,林,,2.7
M1_0246,主,,2.7
M1_0247,变,,2.7
M1_0248,天,,2.7
M1_0249,色,,2.6
M1_0250,絲,,2.8
M1_0251,四 雲,,3.0
M1_0252,\(1\frac{4}{5}\),,3.2
M1_0253,自,,2.7
M1_0254,木 兀,,2.8
M1_0255,答,,2.7
M1_0256,向冬,,2.8
M1_0257,十 年,,2.8
M1_0258,住,,2.7
M1_0259,如何,,2.7
M1_0260,四 联,,3.1
M1_0261,浪,,2.7
M1_0262,心 主,,3.0
M1_0263,全,,2.7
M1_0264,具示,,2.7
M1_0265,偕 五,,2.9
M1_0266,末,,2.8
M1_0267,吏,,2.7
M1_0268,生,,2.7
M1_0269,E 50,,3.1
M1_0270,干朱,,2.8
M1_0271,烧,,2.7
M1_0272,竹源,,2.8
M1_0273,特 导,,2.8
M1_0274,堯,,2.9
M1_0275,朱,,2.6
M1_0276,祗,,2.8
M1_0277,朱,,2.7
M1_0278,王德,,2.9
M1_0279,丁德,,2.8
M1_0280,苟,,2.7
M1_0281,自,,2.7
M1_0282,陶,,2.7
M1_0283,絲,,2.8
M1_0284,范,,2.8
M1_0285,閉,,2.8
M1_0286,潤,,3.0
M1_0287,寺 者,,2.9
M1_0288,續,,2.9
M1_0289,庄,,2.7
M1_0290,火 多,,2.8
M1_0291,第三,,2.7
M1_0292,更,,2.7
M1_0293,化 库,,3.2
M1_0294,十法,,2.7
M1_0295,也 破,,2.8
M1_0296,朱,,2.7
M1_0297,年 位,,2.8
M1_0298,末,,2.8
M1_0299,罢,,2.7
M1_0300,零,,3.0
