sample_id,pred,pred_seq,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M1_0000,极,,极,习女未影强则极圣,8,19,0.3303,欣,ok
M1_0001,联,等,联,清国生称中弄等联,8,21,0.2071,欺,ok
M1_0002,来,,来,自生来取真理麻朱特街,10,22,0.2213,朱,ok
M1_0003,主,主,主,今体市者接巴调主度,9,22,0.2704,主,ok
M1_0004,,,,昌呈青同理之,6,21,0.2288,吒,ok
M1_0005,,,,辣冲南建帮使未因命歌群事团,13,21,0.2264,困,ok
M1_0006,伤,主,伤,程除伤主毒接导不日命,10,22,0.2555,主,ok
M1_0007,呐,呐,呐,活后斯除呐对旅之不保来特固,13,22,0.237,呐,ok
M1_0008,通,,通,称道真民景研共果通文,10,22,0.2889,衣,ok
M1_0009,,,,官衣固教毒导安奇本道置麻赫歌吏,15,19,0.3124,折,ok
M1_0010,诸,诸,诸,导诸固道青補筆共法麻展事奉固理之麻代,18,22,0.231,渚,ok
M1_0011,,,,朱先歌早酸与連星教,9,18,0.1872,官,ok
M1_0012,,麻,,站本鼓导建县主初碎固麻平主,13,19,0.2418,麻,ok
M1_0013,别,别,别,固别埃重饮举臻举几,9,21,0.2415,别,ok
M1_0014,眉,眉,眉,安眉多麻,4,21,0.2159,眉,ok
M1_0015,,,,共新女我图康麻导補事信特,12,22,0.2557,㝵,ok
M1_0016,时,底,时,技据按西可女逐通因底时,11,18,0.2156,時,ok
M1_0017,修,行,修,更主再修行通事等,8,21,0.1703,行,ok
M1_0018,,,,麻遣悲几果几库中,8,17,0.1728,察,ok
M1_0019,改,改,改,至驿吏改来教马体,8,19,0.2189,改,ok
M1_0020,德,德,德,晋庄美寿蚕底不事罪奔圣托德,13,20,0.2176,德,ok
M1_0021,,,,源体本通关天旅谷委水共街主,13,23,0.2462,㝵,ok
M1_0022,数,,数,主支秋数景庄陈調之女共真麻左,14,22,0.2369,赦,ok
M1_0023,判,展,判,固联最库冷康麻判展衣像库王麻,14,18,0.2736,浪,ok
M1_0024,来,来,来,店尋朱特取几库中泣每来年天下會导昇,17,19,0.2323,朱,ok
M1_0025,导,,导,下除奉导社中改磨景鞋,10,12,0.2425,㝵,ok
M1_0026,堂,堂,堂,天堂欺认导特罢近歲,9,10,0.1655,堂,ok
M1_0027,庄,庄,庄,碎庄夫教如越寻放平奴毒异,12,21,0.2361,庄,ok
M1_0028,,命,,蘇日弄命氏,5,21,0.2255,命,ok
M1_0029,,关,,号关加末导酸旦入建印导福,12,20,0.2019,矣,ok
M1_0030,导,,导,超导麻被固旦真求蘭事之,11,22,0.2656,㝵,ok
M1_0031,徐,除,徐,车在县孝吏遣像朱除徐,10,18,0.2358,除,ok
M1_0032,,,,更浪主巴平,5,21,0.1948,歳,ok
M1_0033,,报,,师朱报双教如床限吏本道,11,22,0.2015,矯,ok
M1_0034,学,学,学,垂马意運未取者因礼因公事学,13,18,0.2468,㝵,ok
M1_0035,木,木,木,更科真来昌共社阳兼木麻,11,19,0.2052,木,ok
M1_0036,,,,固道固弄事团拱福,8,22,0.2912,丕,ok
M1_0037,,麻,,灵魂几库中青麻卓导,9,18,0.2042,麻,ok
M1_0038,麻,麻,麻,垂过瑪麻旦陵被術道,9,22,0.3009,麻,ok
M1_0039,群,群,群,初耿晋共德主支我诸固天下麻群,14,24,0.3131,群,ok
M1_0040,在,在,在,称罪加旦座德主技在到察得天召,14,20,0.2332,樞,ok
M1_0041,主,主,主,排明分旦取未主在楼形如,11,25,0.3285,主,ok
M1_0042,麻,麻,麻,麻行命师子旦体壳圣毒奴多敬麻等,15,18,0.2341,麻,ok
M1_0043,施,施,施,碾黄麻多氏王团黄為施便不,12,20,0.2482,施,ok
M1_0044,正,正,正,礼各圣无通教正查為安斯為通,13,19,0.272,正,ok
M1_0045,辉,辉,辉,及固法声灵麻退麻期骨辉算信手,14,18,0.2775,弹,ok
M1_0046,事,,事,用奇委社麻事常协副新派,11,18,0.244,亊,ok
M1_0047,导,来,导,各鬼色来导吏浪除体毒,10,19,0.2361,㝵,ok
M1_0048,奇,奇,奇,瑪不固作城眉奇,7,19,0.5723,奇,ok
M1_0049,有,,有,北听有庄庄导速奏,8,22,0.4602,弄,ok
M1_0050,支,,支,固功共福体支取课代共,10,20,0.2231,秋,ok
M1_0051,新,,新,麻末灵竭新麻邦自某队,10,19,0.3023,断,ok
M1_0052,之,之,之,事之可目得外在麻压体,10,19,0.2635,之,ok
M1_0053,達,達,達,为何教排達旦得接导日被各本,13,20,0.2365,逹,ok
M1_0054,库,库,库,朱几库架由麻中弄在国奋共礼巴近碾日旅,18,20,0.2117,庫,ok
M1_0055,空,空,空,空麻罢各日安意通分分毒,11,23,0.2921,空,ok
M1_0056,吏,吏,吏,在麻社之神麻奇天下吏麻,11,20,0.3703,吏,ok
M1_0057,,,,车辉女朱甲歌果调数共与共,12,19,0.3397,寺,ok
M1_0058,取,衫,取,举是古衫取即,6,20,0.3537,馭,ok
M1_0059,最,最,最,最相青剧几寺特几鬼暗寺,11,21,0.2135,最,ok
M1_0060,,,,命至省事旦永麻末慰,9,20,0.2168,垩,ok
M1_0061,,,,女如年底主调寻,7,26,0.3755,衣,ok
M1_0062,,,,2共几我取算其朱年計我車,1,23,0.5479,其,ok
M1_0063,事,事,事,徐中在华后事庙世间,9,18,0.2403,事,ok
M1_0064,事,事,事,麻斗相柴要教事朱碎共罢思次,13,20,0.4912,事,ok
M1_0065,多,多,多,多唐车来特意,6,22,0.422,多,ok
M1_0066,,庄,,自事折庄不导能事旦色断生毒因,14,20,0.3446,庄,ok
M1_0067,,度,,度共口在连直共日其麻真,11,22,0.4891,苓,ok
M1_0068,总,法,总,诸系库麻街主之总法扶,10,24,0.547,法,ok
M1_0069,,,,界江后双先昆奇果腰先,10,21,0.6464,奴,ok
M1_0070,几,几,几,共几奉主庄敢,6,17,0.374,几,ok
M1_0071,,,,回强重女舞社多荣修行麻子乃闲中,15,20,0.4385,欣,ok
M1_0072,其,其,其,珠海展盆之得初其架安求德主,13,19,0.2966,真,ok
M1_0073,,,,建俊連術呈官事選不官其师子,13,21,0.3078,獅,ok
M1_0074,冷,麻,冷,魂等形捕鸿卒冷麻毒主礼雪麻,13,20,0.3197,麻,ok
M1_0075,功,,功,百為功见明為仍几列每種仍几,13,19,0.2337,㓛,ok
M1_0076,导,团,导,冯电导都体团导接歌,9,21,0.2748,㝵,ok
M1_0077,,,,麻取双不靓色煙连师几开连,12,19,0.2961,仍,ok
M1_0078,每,每,每,年每福街共法调麻特群吃,11,22,0.3135,每,ok
M1_0079,,景,,召累景天下麻少几磨思,10,21,0.297,逐,ok
M1_0080,差,差,差,奇依差麻行,5,21,0.5248,差,ok
M1_0081,中,,中,思中麻共要承巴暖教夜儿中四信,14,19,0.3064,囚,ok
M1_0082,主,主,主,自德主技秋果代各特辽,10,20,0.2163,主,ok
M1_0083,押,,押,莲改飛板奴麻押色地,9,17,0.1689,包,ok
M1_0084,德,和,德,寻得光術瑪中和德瑪移特,11,21,0.254,徳,ok
