sample_id,pred,score,sec
M2_0000,舞,0.6928,0.1928
M2_0001,窗,0.1057,0.1098
M2_0002,茶,0.1642,0.0998
M2_0003,,0.0,0.1294
M2_0004,,0.0,0.0957
M2_0005,除,0.3835,0.1225
M2_0006,心,0.1571,0.1254
M2_0007,\,0.3215,0.1262
M2_0008,弄,0.4712,0.0675
M2_0009,是,0.2504,0.1139
M2_0010,良,0.3094,0.0893
M2_0011,流,0.1337,0.085
M2_0012,,0.0,0.1476
M2_0013,警,0.1567,0.1238
M2_0014,善,0.2648,0.1338
M2_0015,商,0.3266,0.1209
M2_0016,,0.0,0.089
M2_0017,李,0.09,0.1037
M2_0018,等,0.3019,0.1127
M2_0019,第,0.0415,0.1042
M2_0020,戴,0.1244,0.097
M2_0021,青,0.1374,0.1304
M2_0022,被,0.5367,0.104
M2_0023,虎,0.914,0.1078
M2_0024,金,0.1285,0.1074
M2_0025,歌,0.4168,0.0941
M2_0026,2,0.0627,0.0948
M2_0027,答,0.4001,0.0904
M2_0028,随,0.1322,0.0895
M2_0029,敬,0.4196,0.0983
M2_0030,检流,0.378,0.1087
M2_0031,可,0.0696,0.121
M2_0032,爱,0.1152,0.2029
M2_0033,茶,0.0415,0.1763
M2_0034,答,0.4117,0.112
M2_0035,宜,0.1458,0.1363
M2_0036,秦,0.1837,0.2433
M2_0037,,0.0,0.1078
M2_0038,,0.0,0.1422
M2_0039,文,0.5188,0.0955
M2_0040,今,0.4407,0.0889
M2_0041,时,0.2151,0.0998
M2_0042,夜,0.1549,0.0805
M2_0043,对,0.2574,0.1222
M2_0044,溪,0.1163,0.1029
M2_0045,,0.0,0.1954
M2_0046,萧,0.0708,0.216
M2_0047,色,0.2148,0.0845
M2_0048,箍,0.1834,0.0728
M2_0049,香,0.1107,0.1125
M2_0050,施,0.9535,0.1127
M2_0051,摧,0.318,0.2597
M2_0052,共,0.289,0.0994
M2_0053,常,0.3051,0.1242
M2_0054,医,0.0716,0.1299
M2_0055,,0.0,0.0852
M2_0056,泰,0.1975,0.1674
M2_0057,子,0.0668,0.0854
M2_0058,事,0.1308,0.0879
M2_0059,垂,0.5942,0.0757
M2_0060,按,0.4264,0.1729
M2_0061,希,0.189,0.1496
M2_0062,容,0.0578,0.1893
M2_0063,茶,0.1423,0.1656
M2_0064,百,0.2589,0.1271
M2_0065,徐,0.238,0.0936
M2_0066,1,0.1066,0.1422
M2_0067,婚,0.9174,0.1862
M2_0068,重,0.2,0.135
M2_0069,代,0.3202,0.1711
M2_0070,,0.0,0.1836
M2_0071,性链,0.091,0.2024
M2_0072,菁,0.1457,0.1583
M2_0073,衡,0.0839,0.1409
M2_0074,宽,0.2283,0.1525
M2_0075,加,0.2224,0.1601
M2_0076,甲,0.0493,0.2052
M2_0077,是,0.0243,0.1664
M2_0078,吧,0.2933,0.2013
M2_0079,设,0.3311,0.1158
M2_0080,陵,0.6645,0.1741
M2_0081,光游,0.0996,0.1651
M2_0082,等,0.7894,0.1321
M2_0083,我,0.052,0.1386
M2_0084,因,0.1024,0.1558
M2_0085,新,0.0708,0.1321
M2_0086,,0.0,0.1485
M2_0087,茶,0.3449,0.1835
M2_0088,可,0.0511,0.1315
M2_0089,,0.0,0.1458
M2_0090,已,0.3233,0.1604
M2_0091,房,0.3638,0.1469
M2_0092,西,0.1456,0.1567
M2_0093,的诗,0.1245,0.1245
M2_0094,泰,0.1385,0.1045
M2_0095,妃,0.5118,0.1233
M2_0096,曾,0.1467,0.1113
M2_0097,,0.0,0.1107
M2_0098,\,0.0643,0.1175
M2_0099,富,0.0761,0.1164
M2_0100,孝,0.1464,0.1267
M2_0101,\,0.1165,0.1273
M2_0102,,0.0,0.1492
M2_0103,塔,0.34,0.1132
M2_0104,黄,0.1111,0.1062
M2_0105,“青,0.4328,0.1335
M2_0106,夜,0.2019,0.1076
M2_0107,文,0.1067,0.1068
M2_0108,东,0.137,0.1267
M2_0109,美,0.8273,0.112
M2_0110,在,0.051,0.1002
M2_0111,富,0.2695,0.1316
M2_0112,富,0.2845,0.1081
M2_0113,,0.0,0.1056
M2_0114,一羊,0.3949,0.1399
M2_0115,属,0.0558,0.1275
M2_0116,民A,0.1499,0.1
