sample_id,pred,score,sec
M2_0000,舞,0.6667,0.1588
M2_0001,商,0.2356,0.1036
M2_0002,朵,0.4191,0.1064
M2_0003,张,0.0853,0.1347
M2_0004,通,0.0449,0.1098
M2_0005,除百,0.1217,0.0818
M2_0006,,0.0,0.1025
M2_0007,\fra,0.6143,0.1245
M2_0008,等,0.5568,0.096
M2_0009,花,0.0877,0.0998
M2_0010,民,0.7975,0.1226
M2_0011,流,0.5407,0.1214
M2_0012,象,0.0917,0.106
M2_0013,期,0.0971,0.1241
M2_0014,善,0.4796,0.1194
M2_0015,商,0.4753,0.1318
M2_0016,,0.0,0.0937
M2_0017,李斧,0.1827,0.1052
M2_0018,寺,0.1907,0.0894
M2_0019,,0.0,0.1194
M2_0020,欺,0.1395,0.1008
M2_0021,味,0.068,0.1223
M2_0022,被,0.9666,0.1267
M2_0023,壳,0.4451,0.1237
M2_0024,全,0.0801,0.0969
M2_0025,歌,0.4411,0.0986
M2_0026,2,0.0819,0.1383
M2_0027,客,0.6491,0.1016
M2_0028,限陵,0.1548,0.1032
M2_0029,敬,0.3922,0.1039
M2_0030,注流,0.2136,0.0862
M2_0031,\,0.1653,0.1264
M2_0032,汝,0.7508,0.1237
M2_0033,店,0.2234,0.0924
M2_0034,冬,0.8583,0.0967
M2_0035,宜,0.2414,0.0971
M2_0036,奉,0.4067,0.0982
M2_0037,夜德,0.2767,0.0911
M2_0038,双汉,0.5676,0.1009
M2_0039,文种,0.4199,0.0786
M2_0040,今,0.4899,0.1034
M2_0041,时行,0.3762,0.0938
M2_0042,夜,0.3214,0.0946
M2_0043,艾,0.1752,0.1011
M2_0044,族,0.271,0.1113
M2_0045,,0.0,0.1317
M2_0046,燕,0.1427,0.1163
M2_0047,2,0.0505,0.0805
M2_0048,福,0.1899,0.085
M2_0049,奇,0.0897,0.082
M2_0050,施,0.9402,0.0728
M2_0051,枢,0.298,0.08
M2_0052,共,0.4411,0.0787
M2_0053,常,0.2269,0.088
M2_0054,话应,0.2767,0.0957
M2_0055,仪,0.1735,0.0924
M2_0056,泰,0.1927,0.1049
M2_0057,人,0.3845,0.0655
M2_0058,事人,0.5548,0.0878
M2_0059,垂,0.2171,0.0825
M2_0060,按,0.544,0.0908
M2_0061,辛,0.1262,0.085
