sample_id,pred,score,sec
M2_0000,幕,0.1195,0.094
M2_0001,商,0.2594,0.0682
M2_0002,余杨,0.3913,0.0751
M2_0003,查,0.9154,0.0733
M2_0004,施,0.4455,0.0631
M2_0005,る,0.1392,0.0672
M2_0006,,0.0,0.064
M2_0007,,0.0,0.0619
M2_0008,籌,0.4103,0.0628
M2_0009,逆你,0.593,0.0602
M2_0010,女民,0.9031,0.0615
M2_0011,质,0.1885,0.0643
M2_0012,如安,0.6484,0.0629
M2_0013,再,0.1151,0.0612
M2_0014,善,0.1472,0.064
M2_0015,荷,0.2729,0.062
M2_0016,必,0.0917,0.0591
M2_0017,生弃,0.4982,0.0594
M2_0018,萧,0.2532,0.0574
M2_0019,—,0.1315,0.0608
M2_0020,敷,0.1743,0.0678
M2_0021,止,0.1638,0.0611
M2_0022,被,0.5526,0.0641
M2_0023,虎,0.8354,0.0604
M2_0024,弃,0.1441,0.0668
M2_0025,象,0.2382,0.0649
M2_0026,公,0.1986,0.0617
M2_0027,全,0.4791,0.0639
M2_0028,设,0.2974,0.0654
M2_0029,敬招,0.4112,0.0625
M2_0030,冷医,0.3546,0.0611
M2_0031,きる,0.257,0.0645
M2_0032,安,0.5786,0.0616
M2_0033,我,0.4997,0.0649
M2_0034,冬,0.9825,0.0613
M2_0035,值,0.8736,0.063
M2_0036,基,0.3846,0.064
M2_0037,衣,0.5753,0.0678
M2_0038,双,0.9998,0.0643
M2_0039,文砂,0.4762,0.0686
M2_0040,命,0.9996,0.0597
M2_0041,前,0.2071,0.0612
M2_0042,例,0.2877,0.0647
M2_0043,对,0.7369,0.0636
M2_0044,笑,0.5691,0.0626
M2_0045,合浦,0.2887,0.0622
M2_0046,燕,0.3499,0.064
M2_0047,白,0.3277,0.0669
M2_0048,福,0.2228,0.0681
M2_0049,奇,0.4018,0.0674
M2_0050,施,0.9993,0.0633
M2_0051,樞,0.5008,0.0657
M2_0052,共,0.7811,0.0676
M2_0053,品带,0.3039,0.0665
M2_0054,诱,0.5287,0.0664
M2_0055,衣,0.4883,0.0592
M2_0056,丞,0.0999,0.0646
M2_0057,重众,0.6427,0.0623
M2_0058,事,0.7486,0.0683
M2_0059,主,0.3383,0.0679
M2_0060,按,0.6214,0.0655
M2_0061,第,0.1436,0.061
M2_0062,哈,0.6048,0.0657
M2_0063,#,0.2311,0.0632
M2_0064,百,0.5634,0.0643
M2_0065,—,0.7402,0.0646
M2_0066,馬,0.4371,0.0612
M2_0067,俺,0.8069,0.064
M2_0068,傅,0.7437,0.065
M2_0069,化,0.2003,0.0653
M2_0070,旋,0.1549,0.0644
M2_0071,地鏈,0.2977,0.0631
M2_0072,,0.0,0.0666
M2_0073,商,0.2801,0.0658
M2_0074,完,0.1732,0.0664
M2_0075,奴女,0.4975,0.0663
M2_0076,甲,0.205,0.0691
M2_0077,舉,0.1126,0.0636
M2_0078,润,0.3268,0.064
M2_0079,设,0.7999,0.0664
M2_0080,限,0.2679,0.0652
M2_0081,迁后,0.3783,0.0674
M2_0082,等,0.9462,0.0611
M2_0083,枝,0.3045,0.0645
M2_0084,医公,0.3132,0.0685
M2_0085,同,0.444,0.069
M2_0086,事,0.7633,0.0684
M2_0087,会,0.5206,0.0656
M2_0088,可食,0.4041,0.0583
M2_0089,万,0.3064,0.0663
M2_0090,尽干,0.3673,0.0694
M2_0091,书,0.5323,0.0641
M2_0092,,0.0,0.0648
M2_0093,白语,0.303,0.0659
M2_0094,吞,0.4124,0.0638
M2_0095,从妃,0.5949,0.0641
M2_0096,善,0.2764,0.0647
M2_0097,寿,0.3184,0.0652
M2_0098,,0.0,0.0631
M2_0099,爵,0.3225,0.0658
M2_0100,共,0.6414,0.0633
M2_0101,知,0.3337,0.0664
M2_0102,旦,0.3407,0.0658
M2_0103,堪,0.9889,0.0654
M2_0104,詩,0.4097,0.0637
M2_0105,壽,0.5364,0.0643
M2_0106,初,0.5068,0.0593
M2_0107,文国,0.6237,0.0623
M2_0108,茶,0.5745,0.0644
M2_0109,美,0.8297,0.068
M2_0110,庄,0.6014,0.0645
M2_0111,八醫,0.1734,0.0586
M2_0112,富,0.1197,0.0613
M2_0113,豺,0.302,0.0618
M2_0114,弄,0.3488,0.0657
M2_0115,店,0.2039,0.0693
M2_0116,氏,0.8498,0.0666
M2_0117,洋,0.4087,0.0628
M2_0118,色,0.6083,0.0647
M2_0119,支,0.9324,0.0665
M2_0120,商,0.3635,0.0705
M2_0121,登然,0.2914,0.0626
M2_0122,福,0.1688,0.062
M2_0123,福,0.8894,0.0657
M2_0124,理,0.3851,0.0676
M2_0125,,0.0,0.065
M2_0126,的容,0.5072,0.0656
M2_0127,居,0.8382,0.0616
M2_0128,味,0.4511,0.0662
M2_0129,展,0.6639,0.0673
M2_0130,世,0.8631,0.0672
M2_0131,仙像,0.4433,0.0671
M2_0132,政,0.4814,0.0641
M2_0133,煙,0.328,0.0625
M2_0134,方贵,0.3224,0.07
M2_0135,詩,0.1489,0.0671
M2_0136,廚,0.1525,0.0676
M2_0137,定,0.3673,0.0669
M2_0138,研,0.6721,0.0656
M2_0139,周,0.1038,0.0778
M2_0140,折,0.7233,0.0671
M2_0141,歌,0.7904,0.0649
M2_0142,,0.0,0.068
M2_0143,教,0.1137,0.0627
M2_0144,建,0.2927,0.0669
M2_0145,也周,0.5773,0.0706
M2_0146,悲,0.136,0.0729
M2_0147,臻,0.2822,0.0661
M2_0148,吒,0.2578,0.0691
M2_0149,街,0.3289,0.0772
M2_0150,升骤,0.5131,0.068
M2_0151,是,0.9211,0.0696
M2_0152,吏,0.323,0.0625
M2_0153,图,0.1985,0.0639
M2_0154,七,0.2078,0.0658
M2_0155,安,0.8607,0.0694
M2_0156,理,0.3619,0.0646
M2_0157,手,0.3179,0.0733
M2_0158,左王,0.6878,0.0737
M2_0159,詩,0.702,0.081
M2_0160,氏,0.7927,0.068
M2_0161,丑秋,0.4227,0.0849
M2_0162,西法,0.7399,0.0753
M2_0163,,0.0,0.0671
M2_0164,4理,0.5054,0.0624
M2_0165,双,0.4502,0.0643
M2_0166,准,0.9448,0.0675
M2_0167,俸,0.6674,0.0711
M2_0168,力,0.1917,0.1044
M2_0169,茶,0.717,0.0725
M2_0170,花,0.1029,0.067
M2_0171,,0.0,0.0735
M2_0172,刃,0.1248,0.0696
M2_0173,,0.0,0.0592
M2_0174,齋山,0.5436,0.06
