sample_id,pred,score,sec
M2_0000,幕,0.1352,0.11
M2_0001,商,0.2563,0.0727
M2_0002,余杨,0.4082,0.0685
M2_0003,查,0.9173,0.0657
M2_0004,施,0.481,0.0731
M2_0005,る,0.1415,0.0693
M2_0006,,0.0,0.0828
M2_0007,,0.0,0.0704
M2_0008,籌,0.4121,0.0734
M2_0009,逆你,0.5976,0.0793
M2_0010,女民,0.912,0.0871
M2_0011,质,0.186,0.0881
M2_0012,如安,0.6368,0.0664
M2_0013,再,0.1202,0.0922
M2_0014,葬,0.1395,0.0657
M2_0015,荷,0.3297,0.1284
M2_0016,必,0.1024,0.081
M2_0017,生弃,0.479,0.1256
M2_0018,萧,0.2431,0.1316
M2_0019,—,0.1292,0.0892
M2_0020,欺,0.1698,0.1071
M2_0021,止,0.1775,0.189
M2_0022,被,0.5738,0.0756
M2_0023,虎,0.844,0.1004
M2_0024,弃,0.1315,0.0987
M2_0025,歇,0.2291,0.1003
M2_0026,公,0.1893,0.0913
M2_0027,全,0.4803,0.0851
M2_0028,设,0.285,0.118
M2_0029,敬招,0.4179,0.1296
M2_0030,冷鹿,0.3546,0.1243
M2_0031,きる,0.2628,0.0652
M2_0032,安,0.5658,0.0656
M2_0033,我,0.4858,0.0864
M2_0034,冬,0.9861,0.0643
M2_0035,值,0.8747,0.0681
M2_0036,基,0.3604,0.0841
M2_0037,衣,0.5554,0.0733
M2_0038,双,0.9999,0.0821
M2_0039,文砂,0.4911,0.0711
M2_0040,命,0.9995,0.0948
M2_0041,前,0.2038,0.153
M2_0042,例,0.2962,0.1031
M2_0043,对,0.729,0.121
M2_0044,笑,0.5825,0.0979
M2_0045,合浦,0.2869,0.0907
M2_0046,燕,0.3185,0.1268
M2_0047,白,0.3157,0.1211
M2_0048,福,0.2559,0.0658
M2_0049,奇,0.4003,0.0507
M2_0050,施,0.9993,0.1015
M2_0051,樞,0.5048,0.095
M2_0052,共,0.7659,0.0823
M2_0053,品带,0.312,0.058
M2_0054,诱,0.4783,0.0719
M2_0055,衣,0.5038,0.0934
M2_0056,丞,0.0976,0.0681
M2_0057,重众,0.6455,0.0903
M2_0058,事,0.7528,0.09
M2_0059,主,0.3518,0.0864
M2_0060,按,0.6254,0.1321
M2_0061,第,0.1357,0.1379
M2_0062,哈,0.5645,0.1488
M2_0063,#,0.2066,0.1324
M2_0064,百,0.5501,0.0974
M2_0065,—,0.7412,0.082
M2_0066,馬,0.4311,0.0829
M2_0067,俺,0.8184,0.1199
M2_0068,傅,0.7311,0.0775
M2_0069,,0.0,0.0906
M2_0070,旋,0.1704,0.1183
M2_0071,地鏈,0.3044,0.105
M2_0072,,0.0,0.0539
M2_0073,商,0.2617,0.0689
M2_0074,完,0.1576,0.0808
M2_0075,奴女,0.5059,0.0822
M2_0076,甲,0.2188,0.0671
M2_0077,舉,0.1166,0.0715
M2_0078,润,0.3237,0.0952
M2_0079,设,0.7894,0.0573
M2_0080,限,0.257,0.0494
M2_0081,迁后,0.3899,0.0729
M2_0082,等,0.9474,0.0836
M2_0083,枝,0.2977,0.0903
M2_0084,医公,0.3163,0.0853
M2_0085,同,0.4357,0.0923
M2_0086,事,0.7809,0.0519
M2_0087,会,0.5156,0.0789
M2_0088,可食,0.399,0.068
M2_0089,万,0.2989,0.0689
M2_0090,尽干,0.3836,0.0926
M2_0091,书,0.5453,0.1004
M2_0092,,0.0,0.1213
M2_0093,白语,0.3067,0.1095
M2_0094,吞,0.4092,0.1067
M2_0095,从妃,0.5967,0.1285
M2_0096,普,0.2791,0.0757
M2_0097,寿,0.3256,0.0739
M2_0098,,0.0,0.1142
M2_0099,费,0.3375,0.0667
M2_0100,共,0.6256,0.0733
M2_0101,知,0.3485,0.0945
M2_0102,星,0.3118,0.099
M2_0103,堪,0.9886,0.0982
M2_0104,詩,0.4135,0.0656
M2_0105,壽,0.5411,0.0687
M2_0106,初,0.4868,0.0849
M2_0107,文国,0.6291,0.0695
M2_0108,茶,0.5948,0.0629
M2_0109,美,0.8219,0.0982
M2_0110,庄,0.5713,0.0602
M2_0111,八醫,0.1803,0.0523
M2_0112,富,0.1139,0.0612
M2_0113,豺,0.2813,0.0516
M2_0114,弄,0.3646,0.0819
M2_0115,店,0.1965,0.0513
M2_0116,氏,0.8768,0.0497
M2_0117,洋,0.4111,0.0662
M2_0118,色,0.6187,0.0531
M2_0119,支,0.9263,0.0503
M2_0120,商,0.3564,0.0617
M2_0121,登然,0.3036,0.0525
M2_0122,福,0.2004,0.0478
M2_0123,福,0.9089,0.0718
M2_0124,理,0.3953,0.0615
M2_0125,,0.0,0.0564
M2_0126,的容,0.498,0.0578
M2_0127,居,0.8351,0.1058
M2_0128,味,0.4435,0.0554
M2_0129,展,0.6959,0.067
M2_0130,世,0.8784,0.0837
M2_0131,仙像,0.447,0.0986
M2_0132,政,0.4906,0.065
M2_0133,煙,0.3071,0.0746
M2_0134,方贵,0.3222,0.0886
M2_0135,時,0.1462,0.0651
M2_0136,廚,0.1576,0.078
M2_0137,定,0.3778,0.0676
M2_0138,研,0.683,0.0939
M2_0139,周,0.1036,0.1242
M2_0140,折,0.7545,0.1544
M2_0141,歌,0.7736,0.1346
M2_0142,,0.0,0.0767
M2_0143,教,0.1003,0.1531
M2_0144,建,0.2644,0.0712
M2_0145,也周,0.573,0.0658
M2_0146,慧,0.1111,0.0495
M2_0147,臻,0.2844,0.0655
M2_0148,吒,0.2497,0.0957
M2_0149,街,0.3444,0.0641
M2_0150,升骤,0.5009,0.073
M2_0151,是,0.9228,0.0728
M2_0152,吏,0.3094,0.0727
M2_0153,图,0.2174,0.0799
M2_0154,七,0.2103,0.059
