sample_id,pred,score,sec,n_boxes
M2_0000,夏,0.2924,1.6794,1
M2_0001,,0.0,1.0278,1
M2_0002,术私,0.4672,1.4795,1
M2_0003,变,0.4228,1.0611,1
M2_0004,施,0.2919,1.4231,1
M2_0005,野曰,0.4242,1.235,1
M2_0006,,0.0,1.279,1
M2_0007,可,0.571,1.9527,1
M2_0008,等,0.721,1.8754,1
M2_0009,建你,0.4046,2.0103,1
M2_0010,女民,0.8829,1.5302,1
M2_0011,,0.0,1.7156,1
M2_0012,如安,0.4304,2.1414,1
M2_0013,解,0.1515,2.1253,1
M2_0014,善,0.0821,1.9444,1
M2_0015,宿,0.5406,1.6041,1
M2_0016,烟记,0.1344,1.2692,1
M2_0017,金,0.5067,1.5819,1
M2_0018,箭,0.2894,1.9043,1
M2_0019,22,0.4084,1.8521,1
M2_0020,蒸,0.1109,1.8682,1
M2_0021,蜚,0.3115,1.3387,1
M2_0022,被,0.5252,1.4778,1
M2_0023,壳,0.4346,1.4624,1
M2_0024,其,0.0854,1.8514,1
M2_0025,歐,0.331,1.8253,1
M2_0026,成,0.0546,1.4621,1
M2_0027,,0.0,1.9443,1
M2_0028,14改,0.3262,2.1842,2
M2_0029,试我,0.2701,1.7499,1
M2_0030,八,0.2218,1.6713,1
M2_0031,奇而,0.3321,2.4423,1
M2_0032,放,0.2374,1.1641,1
M2_0033,店,0.359,1.4328,1
M2_0034,答下,0.5509,2.0092,1
M2_0035,真,0.4333,1.1459,1
M2_0036,墓,0.2746,1.1288,1
M2_0037,我德,0.1822,1.7586,1
M2_0038,,0.0,1.7661,0
M2_0039,支移,0.1957,1.9704,1
M2_0040,命,0.9977,1.7395,1
M2_0041,,0.0,1.6981,0
M2_0042,例,0.2883,1.3887,1
M2_0043,,0.0,1.4873,0
M2_0044,族,0.1196,1.5615,1
M2_0045,入浦,0.2699,1.6642,1
M2_0046,楚,0.0747,1.2092,1
M2_0047,2,0.5416,1.1199,1
M2_0048,壁,0.1043,1.3411,1
M2_0049,奇,0.6273,1.247,1
M2_0050,施,0.9996,1.4574,1
M2_0051,箍,0.3234,1.4357,1
M2_0052,井,0.3329,1.0045,1
M2_0053,常,0.1777,1.5284,1
M2_0054,活,0.1119,1.2838,1
M2_0055,衣,0.9635,1.768,1
M2_0056,恭,0.1125,1.6531,1
M2_0057,事,0.4086,1.2261,1
M2_0058,第八,0.3261,1.7358,1
M2_0059,華,0.5744,1.2687,1
M2_0060,按,0.7691,1.1573,1
M2_0061,華,0.2447,1.4895,1
M2_0062,陰,0.1358,1.8242,1
M2_0063,4,0.2894,1.4886,1
M2_0064,古,0.6578,0.9525,1
M2_0065,臻,0.4716,1.5283,1
M2_0066,唐,0.0587,1.4884,1
M2_0067,婚,0.7775,1.294,1
M2_0068,重,0.2046,1.288,1
M2_0069,PU,0.1892,1.8157,1
M2_0070,P,0.4793,1.4082,1
M2_0071,也冠,0.6163,1.3774,1
M2_0072,4,0.567,1.8542,1
M2_0073,前,0.109,1.5661,1
M2_0074,毫,0.2385,1.2984,1
M2_0075,奴资,0.2744,2.1755,1
M2_0076,成,0.2317,1.1302,1
M2_0077,漂,0.2132,1.4573,1
M2_0078,物花,0.3055,1.5216,1
M2_0079,设,0.7387,1.1885,1
M2_0080,後,0.0543,2.2583,1
M2_0081,北,0.1245,1.4658,1
M2_0082,等,0.3602,2.7589,1
M2_0083,殺,0.2658,1.4684,1
M2_0084,H,0.447,1.2247,1
M2_0085,,0.0,1.9011,1
M2_0086,事,0.4662,1.8713,1
M2_0087,衣,0.5471,1.1897,1
M2_0088,九,0.0846,1.2151,1
M2_0089,万,0.2348,1.2382,1
M2_0090,24,0.3525,0.8586,1
M2_0091,,0.0,1.5396,1
M2_0092,四,0.1934,0.8471,1
M2_0093,高矮,0.3793,1.1525,1
M2_0094,丞,0.182,1.7219,1
M2_0095,妃,0.6595,1.2047,1
M2_0096,曾,0.3851,1.3438,1
M2_0097,爵,0.2586,1.3397,1
M2_0098,雲,0.3694,1.484,1
M2_0099,3,0.0268,1.3038,1
M2_0100,苦,0.3741,1.7727,1
M2_0101,知二,0.5068,1.633,1
M2_0102,弘县,0.3114,1.7675,1
M2_0103,堪,0.984,1.1774,1
M2_0104,詩,0.3717,1.8189,1
M2_0105,壽,0.4074,1.8189,1
M2_0106,初,0.2552,1.787,1
M2_0107,文,0.7808,2.1908,1
M2_0108,茶,0.7597,0.9802,1
M2_0109,美,0.1317,1.4871,1
M2_0110,庄,0.7025,1.0249,1
M2_0111,曰,0.1552,1.4208,1
M2_0112,属,0.0253,1.262,1
M2_0113,十然,0.2843,1.5491,1
M2_0114,一,0.3715,0.9282,1
M2_0115,爲,0.3268,1.1676,1
M2_0116,戶氏,0.5166,0.8796,1
M2_0117,洋,0.4833,1.3151,1
M2_0118,包,0.887,0.8884,1
M2_0119,支,0.9947,1.3251,1
M2_0120,,0.0,1.0371,1
M2_0121,略,0.3171,2.2575,1
M2_0122,福,0.3324,0.8874,1
M2_0123,和,0.1922,1.5887,1
M2_0124,儿世,0.1773,1.0746,1
M2_0125,肺,0.4085,0.9562,1
M2_0126,的,0.1358,1.7913,1
M2_0127,启,0.414,1.6635,1
M2_0128,集,0.2951,0.8129,1
M2_0129,展,0.8454,1.0159,1
M2_0130,我接,0.5535,0.8374,1
M2_0131,仙儒,0.5665,1.7881,1
M2_0132,盛,0.269,1.2134,1
M2_0133,煙,0.2183,1.6811,1
M2_0134,百此,0.5516,1.9012,1
M2_0135,廚,0.2219,1.5093,1
M2_0136,爵,0.2557,1.2692,1
M2_0137,定,0.5148,2.2674,1
M2_0138,114,0.3307,1.7924,2
M2_0139,,0.0,1.5961,1
M2_0140,哲工,0.4625,1.3677,1
M2_0141,敷,0.2614,2.0797,1
M2_0142,者,0.1785,1.1544,1
M2_0143,教,0.2703,1.7221,1
M2_0144,建,0.4334,1.7284,1
M2_0145,也君,0.1328,1.7345,1
M2_0146,梦你,0.4338,1.4619,1
M2_0147,產,0.2629,1.161,1
M2_0148,尾,0.7216,1.235,1
M2_0149,甫略,0.6029,1.9194,1
M2_0150,升狐,0.3772,2.9675,1
M2_0151,是,0.3249,1.6611,1
M2_0152,建,0.1653,2.9889,1
M2_0153,避,0.1237,1.5237,1
M2_0154,血,0.2645,1.5465,1
M2_0155,安,0.8152,1.4867,1
M2_0156,瑟,0.3873,1.3757,1
M2_0157,等云,0.4419,1.2399,1
M2_0158,左,0.1848,1.688,1
M2_0159,詩,0.2591,0.9835,1
M2_0160,民,0.4092,1.2021,1
M2_0161,立软,0.3212,1.0338,1
M2_0162,四洛,0.1265,1.8788,1
M2_0163,宋,0.0744,1.1619,1
M2_0164,学,0.1189,1.0666,1
M2_0165,A代,0.2019,1.7182,1
M2_0166,准,0.9086,1.1173,1
M2_0167,俸,0.9318,1.647,1
M2_0168,石,0.405,1.1253,1
M2_0169,余,0.2599,1.1834,1
M2_0170,我,0.131,1.3243,1
M2_0171,3,0.1566,0.9434,1
M2_0172,万,0.4657,1.2661,1
M2_0173,,0.0,1.1905,1
M2_0174,郡,0.1475,1.7547,1
