sample_id,kinh_n,kinh_text,pipe_text,pipe_n_boxes,pipe_sec,pipe_boxes,pipe_ori_text,pipe_ori_n_boxes,pipe_ori_sec,pipe_ori_boxes,pipe_rot90ccw_text,pipe_rot90ccw_n_boxes,pipe_rot90ccw_sec,pipe_rot90ccw_boxes,pipe_up2_text,pipe_up2_n_boxes,pipe_up2_sec,pipe_up2_boxes,rec_rot90ccw_text,rec_rot90ccw_sec,rec_rot90cw_text,rec_rot90cw_sec
M4_00,18,𭃡代困𣈆瑪先要妄尋君奴固𭁡㝵先罡遁程,初代因晉瑪先眾妄尋君奴固奔是先罡跡程,1,1.44,"[[[1, 0], [127, 0], [122, 2049], [0, 2049]]]",初代因晉瑪先眾妄尋君奴固奔是先罡跡程,1,1.079,"[[[1, 0], [127, 0], [122, 2049], [0, 2049]]]",初代困晉瑪先罪妄尋君奴固奔是先罡遠程,1,1.042,"[[[0, 0], [2049, 0], [2049, 127], [0, 127]]]",初代困晉瑪先罪妄尋君奴固奔是先罡遠程,1,4.533,"[[[0, 0], [254, 0], [254, 4098], [0, 4098]]]",初代困晉瑪先罪妄尋君奴固奔是先罡遠程,0.176,公民务学务务安学房园司,0.146
M4_01,17,翁堊卷生罪於城敬些伎那昇尼郎重禀㝵,翁至君生混於齊歌此支那要尼即重筆等,1,1.001,"[[[1, 6], [136, 6], [128, 2059], [0, 2059]]]",翁至君生混於齊歌此支那要尼即重筆等,1,1.214,"[[[1, 6], [136, 6], [128, 2059], [0, 2059]]]",翁至君生罪於齊歌此沒那異尼郎重凜等,1,0.951,"[[[9, 0], [2059, 8], [2059, 136], [8, 132]]]",翁至看生罪於母歌此支那異尼郎重凜等,1,3.389,"[[[0, 0], [272, 0], [272, 4118], [0, 4118]]]",翁至看生罪於母歌此支那異尼郎重凜等,0.154,永宇安学安司司,0.149
M4_02,20,附愧事与吏朱塊几奸女欺㝵䏻旦㢤巴㝵胡聘庄,阴隱事与吏朱僊几奸女欺等結旦我巴尋相陟主,1,1.025,"[[[0, 0], [126, 0], [127, 2042], [0, 2042]]]",阴隱事与吏朱僊几奸女欺等結旦我巴尋相陟主,1,1.167,"[[[0, 0], [126, 0], [127, 2042], [0, 2042]]]",阴隱事与吏朱僊几奸女欺等結旦我巴尋相陟主,1,1.208,"[[[0, 0], [2042, 0], [2042, 127], [0, 127]]]",阴隱事与吏朱僊几奸女欺等結旦我巴尋相陟主,1,4.366,"[[[0, 0], [254, 0], [254, 4084], [0, 4084]]]",阴隱事与吏朱僊几奸女欺等結旦我巴尋相陟主,0.222,明理学司安学理学市司,0.196
M4_03,18,真理僚生共扛䍐麻烟咍𭔿垂在計事衣詩喝,真理僚蓮共在罪麻烟哈尊垂在計事入詩唱,1,1.365,"[[[0, 0], [125, 0], [125, 2029], [0, 2029]]]",真理僚蓮共在罪麻烟哈尊垂在計事入詩唱,1,1.475,"[[[0, 0], [125, 0], [125, 2029], [0, 2029]]]",真理僚蓮共在罪麻烟哈尊垂在計事入詩唱,1,0.859,"[[[0, 0], [2029, 0], [2029, 125], [0, 125]]]",真理僚蓮共在罪麻烟哈尊垂在計事入詩唱,1,5.846,"[[[0, 0], [250, 0], [250, 4058], [0, 4058]]]",真理僚蓮共在罪麻烟哈尊垂在計事入詩唱,0.34,具务零委,0.289
M4_04,22,麻兹埋共移街丹多群𠂯麻呌法銜主吞重凜朱些唐功,麻茲埋身移者拱矣群雜麻四諸衡主吞重凜朱此為功,1,1.71,"[[[2, 0], [114, 0], [114, 2067], [6, 2067]]]",麻茲埋身移者拱矣群雜麻四諸衡主吞重凜朱此為功,1,1.397,"[[[2, 0], [114, 0], [114, 2067], [6, 2067]]]",麻旋四其移者供矣群無麻四諸衡主每重廩朱此唐功,1,1.063,"[[[0, 0], [2067, 0], [2067, 110], [0, 114]]]",麻茲坦其稷者拱矣群雜麻四諸衡主每重廩家此為政,1,3.49,"[[[0, 0], [228, 0], [228, 4134], [4, 4134]]]",麻該坦其稷者拱矣群雜麻四諸衡主每重廩家此為政,0.204,府民司市务院市房市房明院局房市房司,0.235
M4_05,23,蓬耨如除詩罢謙議庄召虎秩衲如里魯代扶外于尼天下,蓮耨如餘壽罢謙議庄召虎扶龍如垂是代扶外午尼天下,1,1.027,"[[[0, 0], [128, 0], [128, 2024], [5, 2024]]]",民民府务元民民务明务后务,1,1.029,"[[[0, 0], [128, 0], [128, 2024], [5, 2024]]]",蓮耨如餘壽罢謙讓庄召虎扶龍如垂是代哉外午尼天下,1,1.131,"[[[0, 0], [2024, 0], [2024, 128], [0, 128]]]",蓮耨如餘壽罢謙讓庄召虎扶龍如垂是代哉外午尼天下,1,3.86,"[[[0, 0], [256, 0], [256, 4048], [0, 4048]]]",蓮耨如餘壽罢謙讓庄召虎扶龍如垂是代哉外午尼天下,0.189,民务民民务元务品局元务务司,0.141
M4_06,18,下盈曙戛除奉好主尽麻𥙷事対䏻双𡗚鬼体,下奔時舜除奉知主奉廉補事对結双壽鬼休,1,1.024,"[[[2, 0], [118, 0], [114, 2009], [0, 2009]]]",下奔時舜除奉知主奉廉補事对結双壽鬼休,1,1.08,"[[[2, 0], [118, 0], [114, 2009], [0, 2009]]]",下年時舜除奉知主奉廉補事对然双南鬼休,1,1.008,"[[[0, 0], [2009, 1], [2009, 118], [0, 116]]]",下年時年徐奉知主奉廉補事对然双窗鬼休,1,3.24,"[[[0, 0], [236, 0], [236, 4018], [0, 4018]]]",下年時年徐奉知主奉廉補事对然双者鬼休,0.191,全民房民司务务理务司司,0.172
M4_07,22,起皇意僑几死庫其科命為應主支啾女特記堊意壬邁,把皇意僞几云庫共科命為應主支秋文時記皇意共處,1,0.706,"[[[6, 4], [89, 4], [86, 1413], [0, 1413]]]",把皇意僞几云庫共科命為應主支秋文時記皇意共處,1,0.594,"[[[6, 4], [89, 4], [86, 1413], [0, 1413]]]",把皇意伯几云庫共科命為應主支秋文時記皇意共處,1,0.542,"[[[8, 4], [1406, 7], [1406, 80], [8, 76]]]",把皇意僞几云庫共科命為應主支秋文等記皇意共逼,1,2.572,"[[[0, 0], [178, 0], [178, 2826], [0, 2826]]]",把皇意僞几云庫共科命善應主支秋文等記至意共處,0.141,公安元堂务堂院居学务安务堂元分房司,0.127
M4_08,22,門萬㝵多件唐麻打沉固及吝罸具屯犯及濁重在旦称,門萬尋多佇唐麻打沉同反吝等真也犯及罪重奔旦称,1,0.737,"[[[6, 1], [83, 1], [74, 1404], [0, 1404]]]",門萬尋多佇唐麻打沉同反吝等真也犯及罪重奔旦称,1,0.679,"[[[6, 1], [83, 1], [74, 1404], [0, 1404]]]",門蕃尋多佇唐麻打冠同反吝等真也犯及罪重在旦称,1,0.674,"[[[9, 3], [1402, 12], [1402, 84], [9, 75]]]",門萬尋多佇唐麻打沉同反吝尋真也犯及罪重奔旦祿,1,1.645,"[[[0, 9], [172, 10], [164, 2812], [0, 2812]]]",門萬尋多佇唐麻打沉同反吝尋真也犯及罪重在旦称,0.19,堂市路卫务府务堂务务公,0.133
M4_09,21,嗽思庵意欽埋者体㝵等茶盆古也生寺名宅而牢歌,厭旦庵意欽埋清本尋時紫金去也生時當要而牢歌,1,0.555,"[[[3, 4], [96, 3], [100, 1384], [19, 1384]]]",民堂务市务堂后里居定市司,1,0.684,"[[[3, 4], [96, 3], [100, 1384], [19, 1384]]]",噉旦庵意欽埋清本尋等紫金吉也生等吃罡而牢歌,1,0.56,"[[[8, 7], [1379, 0], [1380, 76], [9, 94]]]",歌旦庵意欽理清本尋時紫金之也先等宮罡而牢歌,1,2.09,"[[[0, 9], [200, 6], [200, 2768], [32, 2768]]]",寂三庵意欽埋清本尋時紫金之也生等俗罪而牢欺,0.157,里公学务房务堂管号后公市司,0.134
