set,cfg,n,pred_nonempty,one_cjk,in_R,eq_kinh,sec,rescue,lift_freq,lift_unif,rescue_eq_label,silver_in_R,syl_in_R,pct_nguoi_dung,pct_nguoi_dac,top
M1,PP-OCRv5_server_rec_pad,600,549,0.737,0.278,0.253,0.113,,,,,,,,,
M1,PP-OCRv5_server_rec_raw,600,573,0.77,0.372,0.34,0.103,,,,,,,,,
M1,PP-OCRv6_medium_rec_pad,600,575,0.595,0.282,0.253,0.07,,,,,,,,,
M1,PP-OCRv6_medium_rec_padup3,600,574,0.597,0.278,0.248,0.084,,,,,,,,,
M1,PP-OCRv6_medium_rec_raw,600,570,0.695,0.343,0.315,0.067,,,,,,,,,
M1,PP-OCRv6_medium_rec_up3,600,568,0.692,0.345,0.317,0.078,,,,,,,,,
M1,PaddleOCR-VL-1.6,600,600,0.617,0.315,0.288,2.822,,,,,,,,,
M1,col-PP-OCRv5_server_rec,600,371,0.618,0.313,0.285,0.265,,,,,,,,,
M1,col-PP-OCRv5_server_rec+seq,600,377,0.627,0.407,0.387,0.265,,,,,,,,,
M1,col-PP-OCRv6_medium_rec,600,544,0.907,0.523,0.48,0.167,,,,,,,,,
M1,col-PP-OCRv6_medium_rec+seq,600,582,0.97,0.71,0.648,0.167,,,,,,,,,
M1,pipe-PP-OCRv6_padup3,600,580,0.623,0.292,0.272,1.08,,,,,,,,,
M2,PP-OCRv5_server_rec_pad,600,522,0.695,0.048,0.055,0.128,29/600,7.6,83.0,0.31,0.064,0.039,,,
M2,PP-OCRv5_server_rec_raw,600,553,0.753,0.067,0.078,0.105,40/600,10.5,115.0,0.33,0.078,0.06,,,
M2,PP-OCRv6_medium_rec_pad,600,571,0.567,0.035,0.07,0.071,21/600,5.5,60.0,0.43,0.059,0.021,,,
M2,PP-OCRv6_medium_rec_raw,600,548,0.635,0.065,0.108,0.068,39/600,10.2,112.0,0.41,0.087,0.052,,,
M2,PP-OCRv6_medium_rec_up3,600,548,0.638,0.072,0.105,0.079,43/600,11.3,124.0,0.42,0.1,0.055,,,
M2,PaddleOCR-VL-1.6,600,600,0.605,0.055,0.06,2.831,33/600,8.6,95.0,0.27,0.073,0.045,,,
M2,col-PP-OCRv5_server_rec,600,281,0.468,0.055,0.055,0.227,33/600,8.6,95.0,0.33,0.055,0.055,,,
M2,col-PP-OCRv5_server_rec+seq,600,251,0.418,0.032,0.078,0.227,19/600,5.0,55.0,0.26,0.027,0.034,,,
M2,col-PP-OCRv6_medium_rec,600,550,0.917,0.09,0.193,0.195,54/600,14.1,155.0,0.44,0.142,0.06,,,
M2,col-PP-OCRv6_medium_rec+seq,600,582,0.97,0.102,0.257,0.195,61/600,16.0,176.0,0.41,0.142,0.079,,,
M2,pipe-PP-OCRv6_padup3,600,566,0.582,0.052,0.077,1.031,31/600,8.1,89.0,0.29,0.059,0.047,,,
M3,PP-OCRv5_server_rec_pad,300,260,0.73,0.0,0.0,0.097,,,,,,,0.0,0.0,<rỗng>:66 等:52 导:23 寻:20 景:13 哥:7
M3,PP-OCRv5_server_rec_raw,300,279,0.763,0.0,0.0,0.087,,,,,,,0.0,0.0,<rỗng>:51 寻:45 等:36 导:29 享:13 尊:8
M3,PP-OCRv6_medium_rec_pad,300,289,0.663,0.0,0.0,0.105,,,,,,,0.0,0.0,导:63 等:25 <rỗng>:21 寻:15 哥:10 旱:7
M3,PP-OCRv6_medium_rec_raw,300,286,0.767,0.0,0.0,0.068,,,,,,,0.0,0.0,寻:45 导:38 <rỗng>:30 等:26 是:21 守:9
M3,PaddleOCR-VL-1.6,300,300,0.703,0.0,0.0,2.763,,,,,,,0.0,0.0,等:71 导:45 尊:20 旱:18 寻:9 寺:8
M3,col-PP-OCRv6_medium_rec,300,282,0.94,0.007,0.0,0.164,,,,,,,0.0,0.0,尋:97 等:46 是:31 得:23 <rỗng>:18 景:12
M3,col-PP-OCRv6_medium_rec+seq,300,295,0.983,0.0,0.0,0.164,,,,,,,0.0,0.0,尋:121 等:53 是:40 得:27 景:17 畢:8
