sample_id,pred_iou,pred_mono,pred_all,note,score_iou,cell_char
M2_0000,,,,no_page,,
M2_0001,,,,no_page,,
M2_0002,,,,no_page,,
M2_0003,,,,no_page,,
M2_0004,,,,no_page,,
M2_0005,,,,no_page,,
M2_0006,,,,no_page,,
M2_0007,,,,no_page,,
M2_0008,,,,no_page,,
M2_0009,,,,no_page,,
M2_0010,,,,no_page,,
M2_0011,,,,no_page,,
M2_0012,,,,no_page,,
M2_0013,,,,no_page,,
M2_0014,,,,no_page,,
M2_0015,,,,no_page,,
M2_0016,,,,no_page,,
M2_0017,,,,no_page,,
M2_0018,,,,no_page,,
M2_0019,,,,no_page,,
M2_0020,,,,no_page,,
M2_0021,,,,no_page,,
M2_0022,,,,no_page,,
M2_0023,,,,no_page,,
M2_0024,,,,no_page,,
M2_0025,,,,no_page,,
M2_0026,,,,no_page,,
M2_0027,,,,no_page,,
M2_0028,,,,no_page,,
M2_0029,,,,no_page,,
M2_0030,,,,no_page,,
M2_0031,,,,no_page,,
M2_0032,,,,no_page,,
M2_0033,,,,no_page,,
M2_0034,,,,no_page,,
M2_0035,,,,no_page,,
M2_0036,,,,no_page,,
M2_0037,,,,no_page,,
M2_0038,,,,no_page,,
M2_0039,,,,no_page,,
M2_0040,,,,no_page,,
M2_0041,,,,no_page,,
M2_0042,,,,no_page,,
M2_0043,,,,no_page,,
M2_0044,,,,no_page,,
M2_0045,,,,no_page,,
M2_0046,,,,no_page,,
M2_0047,,,,no_page,,
M2_0048,,,,no_page,,
M2_0049,,,,no_page,,
M2_0050,,,,no_page,,
M2_0051,,,,no_page,,
M2_0052,,,,no_page,,
M2_0053,,,,no_page,,
M2_0054,,,,no_page,,
M2_0055,,,,no_page,,
M2_0056,,,,no_page,,
M2_0057,,,,no_page,,
M2_0058,,,,no_page,,
M2_0059,,,,no_page,,
M2_0060,,,,no_page,,
M2_0061,,,,no_page,,
M2_0062,,,,no_page,,
M2_0063,,,,no_page,,
M2_0064,,,,no_page,,
M2_0065,,,,no_page,,
M2_0066,,,,no_page,,
M2_0067,,,,no_page,,
M2_0068,,,,no_page,,
M2_0069,,,,no_page,,
M2_0070,,,,no_page,,
M2_0071,,,,no_page,,
M2_0072,,,,no_page,,
M2_0073,,,,no_page,,
M2_0074,,,,no_page,,
M2_0075,,,,no_page,,
M2_0076,,,,no_page,,
M2_0077,,,,no_page,,
M2_0078,,,,no_page,,
M2_0079,,,,no_page,,
M2_0080,,,,no_page,,
M2_0081,,,,no_page,,
M2_0082,,,,no_page,,
M2_0083,,,,no_page,,
M2_0084,,,,no_page,,
M2_0085,,,,no_page,,
M2_0086,,,,no_page,,
M2_0087,,,,no_page,,
M2_0088,,,,no_page,,
M2_0089,,,,no_page,,
M2_0090,,,,no_page,,
