book,page,n_boxes,n_junk_boxes,junk,n_col_boxes,n_kinh_cols,n_kcols_hit,n_chars,n_kinh,n_cells_hit_iou,n_cells_hit_mono,sec
stt11,page_0010,18,9,91|8→|6|5→|4|3→|2→|1|10,9,9,9,172,176,164,171,14.223972082138062
stt11,page_0010_p0028,23,11,10→|9→|8→|7|6→|5→|4→|3→|2→|1|38,10,8,8,197,207,191,194,14.261918783187866
stt11,page_0010_p0220,19,10,9→|8→|7→|6→|5→|4|3→|2→|11|230,9,9,9,196,197,179,191,16.12872076034546
stt11,page_0012,19,10,9→|8→|71|6→|5|4|3→|2→|11|12,9,9,9,191,192,179,189,12.843591928482056
stt11,page_0014,18,9,9→|∞→|6→|5→|4|3→|2→|1|14,9,9,9,195,193,180,192,12.777592897415161
stt11,page_0016,19,9,9→|8→|7→|6→|5→|4|3→|2→|16,9,9,9,197,201,182,190,14.763713836669922
stt11,page_0018,19,10,9→|8→|7→|6→|5→|4|3→|2→|1→|18,9,9,9,168,175,160,165,14.458977937698364
stt11,page_0020,20,10,9→|8|7→|6→|5→|4→|3→|2→|1|20,9,9,9,197,202,187,192,16.792984008789062
stt11,page_0022,19,10,9→|8→|7→|6|5→|4|3→|2|→|22,8,9,8,185,212,178,182,15.978524923324585
stt11,page_0024,19,10,9→|8→|7→|6→|5|41|3→|2→|11|24,8,9,8,178,207,168,176,16.432621002197266
