syllable,so_o,phan_bo_sach,chu_ocr_pho_bien_nhat,ty_le_dong_thuan,phan_loai
giu,22,"stt11:12, stt2:6, stt4:4",扭,9.1%,tu_co_hoac_di_the
ay,18,"stt11:11, stt2:7",入,16.7%,tu_co_hoac_di_the
ga,16,"stt11:4, stt2:6, stt4:6",將,12.5%,tu_co_hoac_di_the
trấy,12,"stt11:4, stt2:4, stt4:4",祖,16.7%,tu_co_hoac_di_the
0,10,"stt11:2, stt2:6, stt4:2",烏,60.0%,tu_co_hoac_di_the
1,10,"stt11:4, stt2:5, stt4:1",衣,50.0%,tu_co_hoac_di_the
chin,10,"stt11:2, stt2:3, stt4:5",含,40.0%,tu_co_hoac_di_the
r1,9,"stt11:4, stt2:3, stt4:2",移,88.9%,tu_co_hoac_di_the
vậv,7,"stt11:4, stt2:3",丕,57.1%,tu_co_hoac_di_the
5,5,stt11:5,契,20.0%,tu_co_hoac_di_the
mot,5,"stt11:4, stt2:1",戞,40.0%,tu_co_hoac_di_the
com,5,"stt11:3, stt4:2",餌,80.0%,tu_co_hoac_di_the
ấv,5,"stt11:1, stt2:4",入,20.0%,tu_co_hoac_di_the
ây,4,"stt11:3, stt2:1",人,25.0%,tu_co_hoac_di_the
nhieu,4,"stt11:3, stt2:1",燒,75.0%,tu_co_hoac_di_the
g,4,"stt11:1, stt2:3",之,75.0%,tu_co_hoac_di_the
th,4,"stt11:1, stt2:2, stt4:1",時,25.0%,tu_co_hoac_di_the
ldm,3,"stt11:1, stt2:1, stt4:1",凜,66.7%,tu_co_hoac_di_the
thit,3,"stt11:1, stt4:2",姻,33.3%,tu_co_hoac_di_the
r,3,"stt11:2, stt2:1",移,33.3%,tu_co_hoac_di_the
den,3,"stt11:2, stt2:1",習,33.3%,tu_co_hoac_di_the
songle,3,"stt11:1, stt4:2",离,66.7%,tu_co_hoac_di_the
v,3,"stt11:1, stt2:1, stt4:1",人,33.3%,tu_co_hoac_di_the
sê,3,"stt11:1, stt2:2",榔,33.3%,tu_co_hoac_di_the
goi,3,stt2:3,奢,66.7%,tu_co_hoac_di_the
chảng,3,"stt2:2, stt4:1",庄,100.0%,tu_co_hoac_di_the
19,3,"stt2:2, stt4:1",证,33.3%,tu_co_hoac_di_the
17,2,"stt11:1, stt4:1",㸃,50.0%,tu_co_hoac_di_the
8,2,"stt11:1, stt4:1",糁,50.0%,tu_co_hoac_di_the
xuong,2,"stt11:1, stt2:1",竈,50.0%,tu_co_hoac_di_the
6,2,"stt11:1, stt2:1",老,50.0%,tu_co_hoac_di_the
ngays,2,stt11:2,将,50.0%,tu_co_hoac_di_the
101,2,"stt11:1, stt4:1",為,50.0%,tu_co_hoac_di_the
7,2,"stt11:1, stt4:1",靜,50.0%,tu_co_hoac_di_the
300,2,stt11:2,将,50.0%,tu_co_hoac_di_the
ng,2,"stt11:1, stt4:1",庒,50.0%,tu_co_hoac_di_the
s,2,"stt11:1, stt4:1",欽,50.0%,tu_co_hoac_di_the
rôn,2,stt11:2,尊,100.0%,tu_co_hoac_di_the
x1,2,"stt11:1, stt2:1",槎,50.0%,tu_co_hoac_di_the
tran,2,"stt11:1, stt4:1",葡,50.0%,tu_co_hoac_di_the
4,2,stt11:2,舉,100.0%,tu_co_hoac_di_the
d,2,stt11:2,趍,50.0%,tu_co_hoac_di_the
mươl,2,"stt11:1, stt2:1",邁,50.0%,tu_co_hoac_di_the
tav,2,"stt11:1, stt2:1",魏,50.0%,tu_co_hoac_di_the
18,2,"stt11:1, stt2:1",糁,50.0%,tu_co_hoac_di_the
307,2,stt11:2,奔,50.0%,tu_co_hoac_di_the
truven,2,"stt11:1, stt2:1",岱,50.0%,tu_co_hoac_di_the
lấv,2,"stt11:1, stt2:1",祀,50.0%,tu_co_hoac_di_the
chet,2,stt2:2,我,50.0%,tu_co_hoac_di_the
đ,2,"stt2:1, stt4:1",道,50.0%,tu_co_hoac_di_the
trằng,2,"stt2:1, stt4:1",晨,50.0%,tu_co_hoac_di_the
ka,2,"stt2:1, stt4:1",歌,50.0%,tu_co_hoac_di_the
but,2,stt2:2,季,50.0%,tu_co_hoac_di_the
dố,2,stt2:2,𤰞,50.0%,tu_co_hoac_di_the
vao,2,stt2:2,𭃡,50.0%,tu_co_hoac_di_the
sàu,2,"stt2:1, stt4:1",教,50.0%,tu_co_hoac_di_the
valentê,2,stt2:2,暗,50.0%,tu_co_hoac_di_the
2017,2,"stt2:1, stt4:1",抛,50.0%,tu_co_hoac_di_the
2000,2,"stt2:1, stt4:1",如,50.0%,tu_co_hoac_di_the
ii,2,"stt2:1, stt4:1",离,50.0%,tu_co_hoac_di_the
xac,2,stt2:2,虎,50.0%,tu_co_hoac_di_the
dau,2,"stt2:1, stt4:1",權,50.0%,tu_co_hoac_di_the
thấv,2,"stt2:1, stt4:1",体,100.0%,tu_co_hoac_di_the
ràv,2,stt2:2,曷,50.0%,tu_co_hoac_di_the
148,1,stt11:1,嗜,100.0%,tu_co_hoac_di_the
nguyen,1,stt11:1,領,100.0%,tu_co_hoac_di_the
lap,1,stt11:1,立,100.0%,tu_co_hoac_di_the
608,1,stt11:1,糁,100.0%,tu_co_hoac_di_the
900,1,stt11:1,森,100.0%,tu_co_hoac_di_the
20,1,stt11:1,祀,100.0%,tu_co_hoac_di_the
g101,1,stt11:1,蛛,100.0%,tu_co_hoac_di_the
cuagi,1,stt11:1,之,100.0%,tu_co_hoac_di_the
imình,1,stt11:1,𠇮,100.0%,tu_co_hoac_di_the
45,1,stt11:1,椒,100.0%,tu_co_hoac_di_the
1584,1,stt11:1,班,100.0%,tu_co_hoac_di_the
303,1,stt11:1,巴,100.0%,tu_co_hoac_di_the
loc,1,stt11:1,易,100.0%,tu_co_hoac_di_the
conhiều,1,stt11:1,燒,100.0%,tu_co_hoac_di_the
conthương,1,stt11:1,賞,100.0%,tên_riêng_latinh
33,1,stt11:1,巴,100.0%,tu_co_hoac_di_the
commolien,1,stt11:1,連,100.0%,tên_riêng_latinh
mongsau,1,stt11:1,赵,100.0%,tu_co_hoac_di_the
trs,1,stt11:1,底,100.0%,tu_co_hoac_di_the
nghiep,1,stt11:1,荼,100.0%,tu_co_hoac_di_the
